method_name	method_family	method_role	uses_public_pretraining	training_overlap_audited	clean_comparator_allowed	mean_AUPRC	mean_top10_precision	mean_ECE	source_collapse_rate	utility_score	posterior_alpha	public_overlap_penalty	bounded_fallback_penalty	uncertainty_only_penalty	calibration_penalty	abstention_penalty	posterior_weight_global	selector_context	redundancy_penalty	selector_objective	selector_weight
Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.7899999999999999	0.1573594162403874	0.0	0.8087866417968184	7.470293134374547	0.0	0.0	0.0	0.0573594162403874	0.06566127175244799	0.017617128733738458	default	0.0	0.8087866417968184	0.16371835582251854
source_balanced_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.8018477297085784	0.7886734693877551	0.1185004547209218	0.5	0.7154761639668954	6.723809311735163	0.0	0.0	0.0	0.018500454720921794	0.09161786237915384	0.0158567022866721	default	0.0	0.7154761639668954	0.14735847517362338
source_balanced_plus_pu_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7835661250612553	0.7801020408163266	0.1274281647560252	0.5	0.6905140313291454	6.524112250633163	0.0	0.0	0.0	0.027428164756025192	0.09161786237915384	0.015385758406706439	default	0.0	0.6905140313291454	0.14298193011466623
pu_weighted_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7856412585510668	0.7786734693877552	0.1299403753005572	0.5	0.6883002471536757	6.506401977229405	0.0	0.0	0.0	0.02994037530055718	0.09161786237915384	0.015343992419635863	default	0.0	0.6883002471536757	0.14259379315796658
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.6032679738562092	0.1775082996033321	0.0	0.6823254143640347	6.458603314912278	0.0	0.0	0.0	0.07750829960333208	0.0	0.015231269241014327	default	0.0	0.6823254143640347	0.14154624144020778
W7B_stacked	ensemble_or_fusion	internal_candidate	False	True	True	0.6905238146782089	0.8083333333333333	0.2251069620054684	0.0	0.6237485944447576	5.989988755558061	0.0	0.0	0.0	0.1251069620054684	0.0730811495825032	0.014126139513151437	default	0.0	0.6237485944447576	0.1312761216749022
W7A_full	classical_biophysical	internal_candidate	False	True	True	0.7105353164970405	0.8177083333333334	0.2583388533028453	0.0	0.6194649560155808	5.955719648124647	0.0	0.0	0.0	0.15833885330284528	0.0730811495825032	0.014045322968688578	default	0.0	0.6194649560155808	0.1305250826161152
Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.7899999999999999	0.1573594162403874	0.0	0.8087866417968184	7.470293134374547	0.0	0.0	0.0	0.0573594162403874	0.06566127175244799	0.017617128733738458	clean_internal	0.0	0.9887866417968183	0.17153142947536437
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.6032679738562092	0.1775082996033321	0.0	0.6823254143640347	6.458603314912278	0.0	0.0	0.0	0.07750829960333208	0.0	0.015231269241014327	clean_internal	0.0	0.8623254143640346	0.1483012030576743
source_balanced_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.8018477297085784	0.7886734693877551	0.1185004547209218	0.5	0.7154761639668954	6.723809311735163	0.0	0.0	0.0	0.018500454720921794	0.09161786237915384	0.0158567022866721	clean_internal	0.0	0.7154761639668954	0.15439081198227472
source_balanced_plus_pu_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7835661250612553	0.7801020408163266	0.1274281647560252	0.5	0.6905140313291454	6.524112250633163	0.0	0.0	0.0	0.027428164756025192	0.09161786237915384	0.015385758406706439	clean_internal	0.0	0.6905140313291454	0.14980540659901953
pu_weighted_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7856412585510668	0.7786734693877552	0.1299403753005572	0.5	0.6883002471536757	6.506401977229405	0.0	0.0	0.0	0.02994037530055718	0.09161786237915384	0.015343992419635863	clean_internal	0.0	0.6883002471536757	0.1493987467185167
anchor_rf	internal_baseline	anchor	False	True	True	0.6145059707030316	0.7098214285714285	0.2820268271796063	0.3333333333333333	0.49580188079708337	4.966415046376667	0.0	0.0	0.0	0.1820268271796063	0.08543224747088764	0.011712254344423242	clean_internal	0.0	0.6758018807970834	0.11403786396988197
anchor_rf_retrained_cf	internal_baseline	anchor	False	True	True	0.6338654497872817	0.7443877551020408	0.2757104258121499	0.5	0.4876180422490748	4.900944337992598	0.0	0.0	0.0	0.17571042581214988	0.09161786237915384	0.011557855329934266	clean_internal	0.0	0.6676180422490747	0.11253453819726832
Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.7899999999999999	0.1573594162403874	0.0	0.8087866417968184	7.470293134374547	0.0	0.0	0.0	0.0573594162403874	0.06566127175244799	0.017617128733738458	sparse_hla	0.0	0.8087866417968184	0.16371835582251854
source_balanced_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.8018477297085784	0.7886734693877551	0.1185004547209218	0.5	0.7154761639668954	6.723809311735163	0.0	0.0	0.0	0.018500454720921794	0.09161786237915384	0.0158567022866721	sparse_hla	0.0	0.7154761639668954	0.14735847517362338
source_balanced_plus_pu_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7835661250612553	0.7801020408163266	0.1274281647560252	0.5	0.6905140313291454	6.524112250633163	0.0	0.0	0.0	0.027428164756025192	0.09161786237915384	0.015385758406706439	sparse_hla	0.0	0.6905140313291454	0.14298193011466623
pu_weighted_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7856412585510668	0.7786734693877552	0.1299403753005572	0.5	0.6883002471536757	6.506401977229405	0.0	0.0	0.0	0.02994037530055718	0.09161786237915384	0.015343992419635863	sparse_hla	0.0	0.6883002471536757	0.14259379315796658
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.6032679738562092	0.1775082996033321	0.0	0.6823254143640347	6.458603314912278	0.0	0.0	0.0	0.07750829960333208	0.0	0.015231269241014327	sparse_hla	0.0	0.6823254143640347	0.14154624144020778
W7B_stacked	ensemble_or_fusion	internal_candidate	False	True	True	0.6905238146782089	0.8083333333333333	0.2251069620054684	0.0	0.6237485944447576	5.989988755558061	0.0	0.0	0.0	0.1251069620054684	0.0730811495825032	0.014126139513151437	sparse_hla	0.0	0.6237485944447576	0.1312761216749022
W7A_full	classical_biophysical	internal_candidate	False	True	True	0.7105353164970405	0.8177083333333334	0.2583388533028453	0.0	0.6194649560155808	5.955719648124647	0.0	0.0	0.0	0.15833885330284528	0.0730811495825032	0.014045322968688578	sparse_hla	0.0	0.6194649560155808	0.1305250826161152
