candidate_id	method_name	method_role	method_family	score_for_fusion	candidate_method_weight	candidate_method_contribution	context_adjustment_reasons
CNV0_00023	source_balanced_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.918032786885246	0.3712798509442358	0.34084707627667554	method source-shift collapse
CNV0_00023	pu_weighted_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.927710843373494	0.3635600935313962	0.3372786409869579	method source-shift collapse
CNV0_00023	source_balanced_plus_pu_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.9218241042345277	0.3621251703673725	0.33381571079467887	method source-shift collapse
CNV0_00023	sourceheld_counterfactual_rf	internal_candidate	internal_baseline	0.6575342465753424	0.29040860047523903	0.19095360031248593	method source-shift collapse; method calibration risk
CNV0_00023	D_positive_class_reweighting	internal_candidate	classical_biophysical	0.9305555555555556	0.19349256381712177	0.18005558021871054	method source-shift collapse; method HLA-heldout collapse; method calibration risk
CNV0_00023	sourceheld_prespecified_late_fusion_w0.5	internal_candidate	ensemble_or_fusion	0.4655021834061135	0.18326598584365156	0.08531071655429369	method source-shift collapse; method HLA-heldout collapse; method calibration risk
CNV0_00023	hard_decoy_sequence_only_source_stress	internal_candidate	classical_biophysical	0.6175514626218852	0.0854804494940821	0.052788576610646586	method source-shift collapse; method HLA-heldout collapse; method Korean-HLA collapse; method calibration risk
CNV0_00026	source_balanced_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.918032786885246	0.3712798509442358	0.34084707627667554	method source-shift collapse
CNV0_00026	pu_weighted_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.9245283018867924	0.3635600935313962	0.33612159590638513	method source-shift collapse
CNV0_00026	source_balanced_plus_pu_rf_train_prior_calibrated	internal_candidate	classical_biophysical	0.9218241042345277	0.3621251703673725	0.33381571079467887	method source-shift collapse
CNV0_00026	D_positive_class_reweighting	internal_candidate	classical_biophysical	0.9305555555555556	0.19349256381712177	0.18005558021871054	method source-shift collapse; method HLA-heldout collapse; method calibration risk
CNV0_00026	sourceheld_counterfactual_rf	internal_candidate	internal_baseline	0.4403292181069959	0.29040860047523903	0.12787539197880896	method source-shift collapse; method calibration risk
CNV0_00026	sourceheld_prespecified_late_fusion_w0.5	internal_candidate	ensemble_or_fusion	0.4632224168126095	0.18326598584365156	0.08489291288204176	method source-shift collapse; method HLA-heldout collapse; method calibration risk
CNV0_00026	hard_decoy_sequence_only_source_stress	internal_candidate	classical_biophysical	0.5714285714285714	0.0854804494940821	0.04884597113947548	method source-shift collapse; method HLA-heldout collapse; method Korean-HLA collapse; method calibration risk
