candidate_id	axis	status	value	detail
CNV0_02407	exact_phla_risk	clear	0	no exact peptide-HLA overlap
CNV0_02407	hla_contract	heldout	1	held-out HLA=HLA-A*02:01
CNV0_02407	korean_hla_focus	focus	1	Korean HLA focus slice
CNV0_02407	low_prevalence	ok	0	not low prevalence
CNV0_02407	near_peptide_risk	clear	0	no near-peptide cluster hit
CNV0_02407	public_overlap	clear	0	no_inhouse_master_overlap
CNV0_02407	source_contract	heldout	1	held-out source=ITSNdb_main
CNV0_02407	supertype_contract	heldout	1	held-out supertype=A02
CNV0_02410	exact_phla_risk	clear	0	no exact peptide-HLA overlap
CNV0_02410	hla_contract	heldout	1	held-out HLA=HLA-A*02:01
CNV0_02410	korean_hla_focus	focus	1	Korean HLA focus slice
CNV0_02410	low_prevalence	ok	0	not low prevalence
CNV0_02410	near_peptide_risk	clear	0	no near-peptide cluster hit
CNV0_02410	public_overlap	clear	0	no_inhouse_master_overlap
CNV0_02410	source_contract	heldout	1	held-out source=ITSNdb_main
CNV0_02410	supertype_contract	heldout	1	held-out supertype=A02
CNV0_02504	exact_phla_risk	clear	0	no exact peptide-HLA overlap
CNV0_02504	hla_contract	heldout	1	held-out HLA=HLA-A*02:01
CNV0_02504	korean_hla_focus	focus	1	Korean HLA focus slice
CNV0_02504	low_prevalence	ok	0	not low prevalence
CNV0_02504	near_peptide_risk	clear	0	no near-peptide cluster hit
CNV0_02504	public_overlap	clear	0	no_inhouse_master_overlap
CNV0_02504	source_contract	heldout	1	held-out source=ITSNdb_main
CNV0_02504	supertype_contract	heldout	1	held-out supertype=A02
