candidate_id	top_internal_methods	top_public_methods	top_fallback_methods	n_internal_methods_in_top_contrib	n_public_methods_in_top_contrib	n_fallback_methods_in_top_contrib	top_method	top_method_role	top_method_score	top_method_weight	top_method_contribution
CNV0_00061	source_balanced_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, sourceheld_counterfactual_rf, D_positive_class_reweighting, sourceheld_prespecified_late_fusion_w0.5, pu_weighted_rf			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	0.9411764705882352	0.3712798509442358	0.3494398597122219
CNV0_00231	source_balanced_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, sourceheld_counterfactual_rf, D_positive_class_reweighting, sourceheld_prespecified_late_fusion_w0.5, hard_decoy_sequence_only_source_stress			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	0.9498069498069498	0.3712798509442358	0.3526441827501236
CNV0_00028	source_balanced_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, sourceheld_counterfactual_rf, sourceheld_prespecified_late_fusion_w0.5, D_positive_class_reweighting, hard_decoy_sequence_only_source_stress			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	0.9498069498069498	0.3712798509442358	0.3526441827501236
CNV0_00751	source_balanced_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, sourceheld_counterfactual_rf, sourceheld_prespecified_late_fusion_w0.5, D_positive_class_reweighting, pu_weighted_rf			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	0.990990990990991	0.3712798509442358	0.3679349874222157
CNV0_00156	source_balanced_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, sourceheld_counterfactual_rf, sourceheld_prespecified_late_fusion_w0.5, D_positive_class_reweighting, hard_decoy_sequence_only_source_stress			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	0.9372937293729372	0.3712798509442358	0.347998276132551
CNV0_00487	source_balanced_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, sourceheld_counterfactual_rf, D_positive_class_reweighting, sourceheld_prespecified_late_fusion_w0.5, hard_decoy_sequence_only_source_stress			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	1.0	0.3712798509442358	0.3712798509442358
CNV0_00245	source_balanced_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, sourceheld_counterfactual_rf, D_positive_class_reweighting, sourceheld_prespecified_late_fusion_w0.5, hard_decoy_sequence_only_source_stress			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	0.9861111111111112	0.3712798509442358	0.3661231863477881
CNV0_00295	source_balanced_rf_train_prior_calibrated, pu_weighted_rf_train_prior_calibrated, source_balanced_plus_pu_rf_train_prior_calibrated, sourceheld_counterfactual_rf, sourceheld_prespecified_late_fusion_w0.5, D_positive_class_reweighting, hard_decoy_sequence_only_source_stress			7	0	0	source_balanced_rf_train_prior_calibrated	internal_candidate	1.0	0.3712798509442358	0.3712798509442358
CNV0_02504	Stack_LR_inmaster_E3a, W7A_full, Wave8_TCR_SelfSim_no_exact, Stack_mean_E1, Wave8_TCR_motif_only, MultiTask_A_only, MultiTask_AD			7	0	0	Stack_LR_inmaster_E3a	internal_candidate	0.6136363636363636	0.6191924417201075	0.3799589983282477
CNV0_02410	Stack_LR_inmaster_E3a, W7A_full, Stack_mean_E1, W7B_stacked, Wave8_TCR_only, Wave8_TCR_motif_only, MultiTask_A_only			7	0	0	Stack_LR_inmaster_E3a	internal_candidate	0.6363636363636364	0.6191924417201075	0.3940315538218865
CNV0_02407	Stack_mean_E1, W7A_full, Stack_LR_inmaster_E3a, Wave8_TCR_SelfSim_no_exact, W7B_stacked, Wave8_TCR_motif_only, kNN			7	0	0	Stack_mean_E1	internal_candidate	0.6923076923076923	0.6104308139249979	0.4226059481019216
CNV0_02480	Structure_LR, W7A_full, W7B_stacked, Wave8_TCR_SelfSim_no_exact, Wave8_TCR_only, Stack_mean_E1, Wave8_TCR_motif_only			7	0	0	Structure_LR	anchor	0.9	0.4739761327298603	0.4265785194568742
