candidate_id	support_rank_within_candidate	method_name	method_role	method_family	score_for_fusion	candidate_method_weight	candidate_method_contribution	context_adjustment_reasons
CNV0_02407	1	Stack_mean_E1	internal_candidate	ensemble_or_fusion	0.6923076923076923	0.6104308139249979	0.4226059481019216	method calibration risk
CNV0_02407	2	W7A_full	internal_candidate	classical_biophysical	0.6153846153846154	0.6496658562879397	0.3997943731002706	method calibration risk
CNV0_02407	3	Stack_LR_inmaster_E3a	internal_candidate	ensemble_or_fusion	0.5609756097560976	0.6191924417201075	0.3473518575503042	method calibration risk
CNV0_02407	4	Wave8_TCR_SelfSim_no_exact	internal_candidate	tcr_aware	0.8888888888888888	0.3666468075957022	0.3259082734184019	method HLA-heldout collapse; method calibration risk
CNV0_02407	5	W7B_stacked	internal_candidate	ensemble_or_fusion	0.4590163934426229	0.6494936742047247	0.2981282438972507	method calibration risk
CNV0_02407	6	Wave8_TCR_motif_only	internal_candidate	tcr_aware	0.8181818181818182	0.351448499569021	0.2875487723746536	method HLA-heldout collapse; method calibration risk
CNV0_02407	7	kNN	internal_candidate	classical_biophysical	0.6666666666666666	0.4126199838975662	0.2750799892650442	method HLA-heldout collapse; method calibration risk
CNV0_02410	1	Stack_LR_inmaster_E3a	internal_candidate	ensemble_or_fusion	0.6363636363636364	0.6191924417201075	0.3940315538218865	method calibration risk
CNV0_02410	2	W7A_full	internal_candidate	classical_biophysical	0.5454545454545454	0.6496658562879397	0.3543631943388762	method calibration risk
CNV0_02410	3	Stack_mean_E1	internal_candidate	ensemble_or_fusion	0.5166666666666667	0.6104308139249979	0.3153892538612489	method calibration risk
CNV0_02410	4	W7B_stacked	internal_candidate	ensemble_or_fusion	0.45	0.6494936742047247	0.2922721533921261	method calibration risk
CNV0_02410	5	Wave8_TCR_only	internal_candidate	tcr_aware	0.8666666666666667	0.3268568666272122	0.2832759510769173	method HLA-heldout collapse; method calibration risk
CNV0_02410	6	Wave8_TCR_motif_only	internal_candidate	tcr_aware	0.8055555555555556	0.351448499569021	0.2831112913194891	method HLA-heldout collapse; method calibration risk
CNV0_02410	7	MultiTask_A_only	internal_candidate	classical_biophysical	0.625	0.393212003920886	0.2457575024505537	method HLA-heldout collapse; method calibration risk
CNV0_02504	1	Stack_LR_inmaster_E3a	internal_candidate	ensemble_or_fusion	0.6136363636363636	0.6191924417201075	0.3799589983282477	method calibration risk
CNV0_02504	2	W7A_full	internal_candidate	classical_biophysical	0.5404234832207285	0.6496658562879397	0.3510946849847056	method calibration risk
CNV0_02504	3	Wave8_TCR_SelfSim_no_exact	internal_candidate	tcr_aware	0.9	0.3666468075957022	0.329982126836132	method HLA-heldout collapse; method calibration risk
CNV0_02504	4	Stack_mean_E1	internal_candidate	ensemble_or_fusion	0.5134991768794561	0.6104308139249979	0.3134557204923428	method calibration risk
CNV0_02504	5	Wave8_TCR_motif_only	internal_candidate	tcr_aware	0.8333333333333334	0.351448499569021	0.2928737496408509	method HLA-heldout collapse; method calibration risk
CNV0_02504	6	MultiTask_A_only	internal_candidate	classical_biophysical	0.7027027027027027	0.393212003920886	0.2763111378903523	method HLA-heldout collapse; method calibration risk
CNV0_02504	7	MultiTask_AD	internal_candidate	classical_biophysical	0.6862745098039216	0.3817832860977156	0.2620081375180401	method HLA-heldout collapse; method calibration risk
