method_name	method_family	method_role	uses_public_pretraining	training_overlap_audited	clean_comparator_allowed	mean_AUPRC	mean_top10_precision	mean_ECE	source_collapse_rate	utility_score	posterior_alpha	public_overlap_penalty	bounded_fallback_penalty	uncertainty_only_penalty	calibration_penalty	abstention_penalty	posterior_weight_global	context_label	context_multiplier	contextual_alpha	context_adjustment_reasons	contextual_weight	selected_rank
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.6032679738562092	0.1775082996033321	0.0	0.6823254143640347	6.458603314912278	0.0	0.0	0.0	0.077508299603332	0.0	0.0147740486896223	global	1.0	6.458603314912278		0.016409665028807283	1
Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.7899999999999999	0.1573594162403874	0.0	0.8087866417968184	7.470293134374547	0.0	0.0	0.0	0.0573594162403874	0.0656612717524479	0.0170882881501911	global	0.823357487681961	6.150721787366429	source-prior coupling penalty	0.015627416531842037	2
Wave8_TCR_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5640159289183905	0.821875	0.1485123384602096	0.0	0.6070509355675456	5.856407484540365	0.0	0.0	0.0	0.0485123384602095	0.067861634209605	0.0133965263237479	global	1.0	5.856407484540365		0.014879638895241942	3
Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	True	True	0.6547226088365166	0.7927083333333333	0.2193157684849198	0.0	0.6031887790475666	5.825510232380533	0.0	0.0	0.0	0.1193157684849197	0.0730811495825032	0.0133258488900168	global	1.0	5.825510232380533		0.014801136851760995	4
RF_biophys	internal_baseline	internal_candidate	False	True	True	0.5706072727927642	0.7770833333333333	0.2498321400557297	0.0	0.5891051248154683	5.712840998523746	0.0	0.0	0.0	0.1498321400557297	0.0730811495825032	0.0130681181290984	global	1.0	5.712840998523746		0.014514873042622356	5
Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	True	True	0.6557758318401355	0.7958333333333333	0.2344317982906944	0.0	0.5867650415428808	5.694120332343046	0.0	0.0	0.0	0.1344317982906944	0.0730811495825032	0.0130252946237413	global	1.0	5.694120332343046		0.014467308600875002	6
v0_C_counterfactual_RF	internal_baseline	internal_candidate	False	True	True	0.4387272197550305	0.5032679738562091	0.1708675757249617	0.0	0.5820808964892761	5.656647171914209	0.0	0.0	0.0	0.0708675757249616	0.0	0.0129395748063542	global	1.0	5.656647171914209		0.014372098850372415	7
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.6032679738562092	0.1775082996033321	0.0	0.6823254143640347	6.458603314912278	0.0	0.0	0.0	0.077508299603332	0.0	0.0147740486896223	low_prevalence	1.08	6.97529158010526	internal-baseline low-prevalence bonus	0.017612468507441553	1
RF_biophys	internal_baseline	internal_candidate	False	True	True	0.5706072727927642	0.7770833333333333	0.2498321400557297	0.0	0.5891051248154683	5.712840998523746	0.0	0.0	0.0	0.1498321400557297	0.0730811495825032	0.0130681181290984	low_prevalence	1.08	6.169868278405646	internal-baseline low-prevalence bonus	0.015578791151672867	2
Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.7899999999999999	0.1573594162403874	0.0	0.8087866417968184	7.470293134374547	0.0	0.0	0.0	0.0573594162403874	0.0656612717524479	0.0170882881501911	low_prevalence	0.823357487681961	6.150721787366429	source-prior coupling penalty	0.01553044665358507	3
v0_C_counterfactual_RF	internal_baseline	internal_candidate	False	True	True	0.4387272197550305	0.5032679738562091	0.1708675757249617	0.0	0.5820808964892761	5.656647171914209	0.0	0.0	0.0	0.0708675757249616	0.0	0.0129395748063542	low_prevalence	1.08	6.109178945667345	internal-baseline low-prevalence bonus	0.015425551828367785	4
Wave8_TCR_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5640159289183905	0.821875	0.1485123384602096	0.0	0.6070509355675456	5.856407484540365	0.0	0.0	0.0	0.0485123384602095	0.067861634209605	0.0133965263237479	low_prevalence	1.0	5.856407484540365		0.014787309061373414	5
Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	True	True	0.6547226088365166	0.7927083333333333	0.2193157684849198	0.0	0.6031887790475666	5.825510232380533	0.0	0.0	0.0	0.1193157684849197	0.0730811495825032	0.0133258488900168	low_prevalence	1.0	5.825510232380533		0.014709294131906721	6
Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	True	True	0.6557758318401355	0.7958333333333333	0.2344317982906944	0.0	0.5867650415428808	5.694120332343046	0.0	0.0	0.0	0.1344317982906944	0.0730811495825032	0.0130252946237413	low_prevalence	1.0	5.694120332343046		0.014377537322885813	7
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.6032679738562092	0.1775082996033321	0.0	0.6823254143640347	6.458603314912278	0.0	0.0	0.0	0.077508299603332	0.0	0.0147740486896223	rare_hla	1.0	6.458603314912278		0.016730903727575776	1
Wave8_TCR_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5640159289183905	0.821875	0.1485123384602096	0.0	0.6070509355675456	5.856407484540365	0.0	0.0	0.0	0.0485123384602095	0.067861634209605	0.0133965263237479	rare_hla	1.0	5.856407484540365		0.015170925513735455	2
Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	True	True	0.6547226088365166	0.7927083333333333	0.2193157684849198	0.0	0.6031887790475666	5.825510232380533	0.0	0.0	0.0	0.1193157684849197	0.0730811495825032	0.0133258488900168	rare_hla	1.0	5.825510232380533		0.015090886699439612	3
RF_biophys	internal_baseline	internal_candidate	False	True	True	0.5706072727927642	0.7770833333333333	0.2498321400557297	0.0	0.5891051248154683	5.712840998523746	0.0	0.0	0.0	0.1498321400557297	0.0730811495825032	0.0130681181290984	rare_hla	1.0	5.712840998523746		0.014799018935961212	4
Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	True	True	0.6557758318401355	0.7958333333333333	0.2344317982906944	0.0	0.5867650415428808	5.694120332343046	0.0	0.0	0.0	0.1344317982906944	0.0730811495825032	0.0130252946237413	rare_hla	1.0	5.694120332343046		0.014750523363727785	5
v0_C_counterfactual_RF	internal_baseline	internal_candidate	False	True	True	0.4387272197550305	0.5032679738562091	0.1708675757249617	0.0	0.5820808964892761	5.656647171914209	0.0	0.0	0.0	0.0708675757249616	0.0	0.0129395748063542	rare_hla	1.0	5.656647171914209		0.01465344976918525	6
