ga_rl_barneo_decision	n
GA_RL_hit_blocked_from_clean_claim	4608
classII_scout_separate_benchmark	666
GA_RL_hit_watchlist_manual_review	576
GA_RL_hit_low_priority_or_abstain	238
locked_public_postfreeze_only	25
GA_RL_hit_confirmed_T1_by_BAR_Neo_NG	6
GA_RL_hit_T2_near_neighbor_or_audit_required	2
