rescue_category	n_candidates	n_pos	mean_priority_score	mean_rescue_priority_score	mean_top_nn_similarity
T1_survivor	3	3.0	0.7230712807572514	0.32102376025241713	0.5555555555555555
hard_block_overlap	69	69.0	0.25	0.13464669891300327	0.46141320434798694
recoverable_watchlist	3	3.0	0.563030664155723	0.27425234165734186	0.5037037037037037
