method_name	method_role	method_family	uses_public_pretraining	clean_comparator_allowed	overall_mean_AUPRC	source_heldout_median_AUPRC	source_heldout_min_AUPRC	source_heldout_median_delta_AUPRC	source_heldout_loss_rate_vs_anchor	study_heldout_median_AUPRC	hla_stress_median_AUPRC	hla_stress_min_AUPRC	hla_stress_median_delta_AUPRC	korean_hla_median_AUPRC	korean_hla_median_delta_AUPRC	low_prevalence_AUPRC	low_prevalence_median_delta_AUPRC	mean_top10_precision	mean_ECE	mean_AUPRC	median_AUPRC	reviewer_safe_score	n_split_rows	stress_flags	recommended_use	stress_safe_score
W7B_stacked	internal_candidate	ensemble_or_fusion	False	True	0.7181572909779651	0.8917527587594107	0.4639564276246304	0.1728167702766632	0.3333333333333333	0.8917527587594107	0.8333333333333333	0.2982026143790849	0.0297490159622512	0.7532482441517933	0.205952566313878	0.982142857142857	0.1728167702766632	0.8107794361525704	0.2192868908219404	0.6905238146782089	0.6429313251390525	0.8496797851443287	32	calibration_risk	candidate internal support with stress caveats	0.8329586805613026
W7A_full	internal_candidate	classical_biophysical	False	True	0.6615400509129399	0.8141675548526927	0.5079622653786052	0.1385197181224684	0.0	0.8141675548526927	0.8797123015873016	0.2650857914015808	0.0398393589840957	0.7315595499689379	0.1842638721310227	0.9478458049886622	0.1385197181224684	0.8107794361525705	0.2532183018668348	0.7105353164970405	0.6657139834439223	0.8682430978334227	32	calibration_risk	candidate internal support with stress caveats	0.793383873073152
W7A_QK_only	bounded_fallback	qk_fallback	False	True	0.6767484970911705	0.7876179668626742	0.5456275846691616	0.0882929607528537	0.0	0.7876179668626742	0.7694805194805195	0.4238095238095238	0.07271120083620075	0.7219118642548173	0.1746161864169021	0.8976190476190475	0.0882929607528537	0.8033167495854063	0.2495473877349688	0.7185594821534456	0.7047619047619047	0.8539572600163183	32	bounded_fallback; calibration_risk	bounded fallback/fusion component; never headline	0.7654140338704041
Stack_LR_inmaster_E3a	internal_candidate	ensemble_or_fusion	False	True	0.6113417727582381	0.8169765711630143	0.4577374190769182	0.1387258611857542	0.3333333333333333	0.8169765711630143	0.7813618612917081	0.2033613445378151	-0.0206632653061224	0.7611196978805195	0.2138240200426042	0.948051948051948	0.1387258611857542	0.7854063018242121	0.22954778548175178	0.6557758318401355	0.7305555555555555	0.8114993186777328	32	calibration_risk	candidate internal support with stress caveats	0.7000141290756129
Stack_mean_E1	internal_candidate	ensemble_or_fusion	False	True	0.599587523214283	0.6812368216659963	0.516072936029006	0.0801305226402028	0.0	0.6812368216659963	0.7678571428571429	0.256140350877193	-0.00201247165532875	0.7509909333273496	0.2036952554894343	0.927643784786642	0.1183176979204482	0.7883913764510779	0.23221024560998546	0.6547226088365166	0.6812368216659963	0.8113326986546913	32	calibration_risk	candidate internal support with stress caveats	0.6572405040295799
source_balanced_rf_train_prior_calibrated	internal_candidate	classical_biophysical	False	True	0.8947907914753821	0.17710080027917494	0.0134206896933711	-0.3044377035425872	0.25	0.17710080027917494	0.9791666666666666	0.4143608881671403	0.0742293069810816	0.7706906182938167	0.2233949404559014	0.0411615560450126	-0.7681645308211812	0.780268091488564	0.11099859631020292	0.8018477297085784	0.945436283259158	0.9677323781140372	70	source_shift_collapse; source_low_floor; low_prevalence_collapse	high-value internal candidate but abstain or downweight under source shift	0.6265253852423287
kNN	internal_candidate	classical_biophysical	False	True	0.6913090564353344	0.9077666860340192	0.4979108449005301	0.1728167702766632	0.3333333333333333	0.9077666860340192	0.6551877557928985	0.272156862745098	-0.11081800144300141	0.6954114251364784	0.1481157472985631	0.982142857142857	0.1728167702766632	0.7943615257048093	0.21682287233468964	0.61054647575326	0.6007936507936508	0.7665392168366923	32	hla_shift_collapse; calibration_risk	candidate/support method; require HLA-specific gating	0.6117151133356644
BigMHC_IM	caveated_public_comparator	deep_immunogenicity	True	False	0.5257856218750203	0.7429114286242562	0.3629568005546864	0.1074893893242826	0.3333333333333333	0.7429114286242562	0.8054353054353054	0.1417073965461062	0.01677660963375245	0.6240162260558999	0.0767205482179846	0.9168154761904764	0.1074893893242826	0.7691176470588236	0.21241387101748394	0.6217138229550467	0.6139313252808765	0.6757530156388027	32	public_overlap_unresolved; calibration_risk	field comparator only; public overlap audit required	0.5876051435793539
pu_weighted_rf_train_prior_calibrated	internal_candidate	classical_biophysical	False	True	0.8856725912712797	0.17100253583568964	0.013621057371614	-0.3114075840528075	0.25	0.17100253583568964	0.9532467532467532	0.25	0.0629524327859143	0.7545246574823737	0.2072289796444585	0.0334151496943346	-0.7759109371718592	0.7676696662917136	0.12124109497501913	0.7856412585510668	0.9282869672048596	0.9483819148985622	70	source_shift_collapse; source_low_floor; low_prevalence_collapse	high-value internal candidate but abstain or downweight under source shift	0.5786856686566499
source_balanced_plus_pu_rf_train_prior_calibrated	internal_candidate	classical_biophysical	False	True	0.8875987835191747	0.16330347110165766	0.0157838179519595	-0.3255866448324813	0.25	0.16330347110165766	0.9484126984126984	0.25	0.06934755044422905	0.7507980409301027	0.2035023630921875	0.0378360556494879	-0.7714900312167059	0.7676696662917134	0.11881281063536431	0.7835661250612553	0.935428178544354	0.9468437167489182	70	source_shift_collapse; source_low_floor; low_prevalence_collapse	high-value internal candidate but abstain or downweight under source shift	0.5717918117253017
