target	mode	n	pooled_rho	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class
null_random_matched_045	raw_smoothed	15489	0.6503237448698186	0.5615983625357793	0.0	0.4240648713406447	4	random_matched
null_random_matched_046	raw_smoothed	15489	0.5692581244390932	0.5561385906943497	0.0	0.4538495616168791	4	random_matched
null_random_matched_047	raw_smoothed	15489	0.4818073013125388	0.5411637523414546	0.0	0.38754697258526244	3	random_matched
null_random_matched_048	raw_smoothed	15489	0.5239640230770052	0.5142127642859792	0.0	0.39569059093495157	3	random_matched
null_random_matched_049	raw_smoothed	15489	0.48828156632688113	0.5204231409851084	0.0	0.3745335160463993	3	random_matched
null_random_matched_050	raw_smoothed	15489	0.6650273011784501	0.6178958816238429	0.0	0.543685631932856	4	random_matched
null_random_matched_051	raw_smoothed	15489	0.5908299596163488	0.5377006730378622	0.0	0.40626022627737607	4	random_matched
null_random_matched_052	raw_smoothed	15489	0.5648707263576278	0.5708906208230298	0.0	0.4585090246462106	4	random_matched
null_random_matched_053	raw_smoothed	15489	0.5437908356752709	0.5479283884635348	0.0	0.4913920575945629	4	random_matched
null_random_matched_054	raw_smoothed	15489	0.5624388869617208	0.49491376689400096	0.0	0.34718359015468203	4	random_matched
null_random_matched_055	raw_smoothed	15489	0.5343992407656046	0.5441082929541091	0.0	0.4253615379724814	4	random_matched
null_random_matched_056	raw_smoothed	15489	0.6281761801195952	0.5086881622992718	0.0	0.3977940859623763	4	random_matched
null_random_matched_057	raw_smoothed	15489	0.6344749488096724	0.5725508651482375	0.0	0.5051976393063745	4	random_matched
null_random_matched_058	raw_smoothed	15489	0.40915989987320495	0.4983571246449753	0.0	0.40656394247091154	3	random_matched
null_random_matched_059	raw_smoothed	15489	0.573691772944923	0.5525508098868765	0.0	0.4567186025526453	3	random_matched
null_random_matched_060	raw_smoothed	15489	0.2791664636968562	0.41137919441987325	0.0	0.31812088634962116	3	random_matched
null_random_matched_061	raw_smoothed	15489	0.6353646353169097	0.5540656791733986	0.0	0.4699245056726189	4	random_matched
null_random_matched_062	raw_smoothed	15489	0.5432572664351693	0.5179746933057615	0.0	0.4423083322161466	4	random_matched
null_random_matched_063	raw_smoothed	15489	0.5873500702110054	0.5782063798909902	0.0	0.49130896297517335	4	random_matched
null_random_matched_064	raw_smoothed	15489	0.619641822000455	0.599997839278453	0.0	0.5318674863103576	4	random_matched
