gene	total_counts	detected_spots	n_spots	detect_frac	mean_count	log1p_mean_count
MIR1302-2HG	0.0	0	15489	0.0	0.0	0.0
FAM138A	0.0	0	15489	0.0	0.0	0.0
OR4F5	0.0	0	15489	0.0	0.0	0.0
AL627309.1	32.0	32	15489	0.0020659823100264703	0.0020659823100264703	0.0020638511034257465
AL627309.3	0.0	0	15489	0.0	0.0	0.0
AL627309.2	0.0	0	15489	0.0	0.0	0.0
AL627309.5	36.0	35	15489	0.002259668151591452	0.002324230098779779	0.0023215332539207128
AL627309.4	0.0	0	15489	0.0	0.0	0.0
AP006222.2	11.0	11	15489	0.0007101814190715992	0.0007101814190715992	0.0007099293595791873
AL732372.1	0.0	0	15489	0.0	0.0	0.0
OR4F29	0.0	0	15489	0.0	0.0	0.0
AC114498.1	0.0	0	15489	0.0	0.0	0.0
OR4F16	0.0	0	15489	0.0	0.0	0.0
AL669831.2	0.0	0	15489	0.0	0.0	0.0
LINC01409	384.0	370	15489	0.023887920459681064	0.024791787720317645	0.024489458024482616
FAM87B	4.0	4	15489	0.0002582477887533088	0.0002582477887533088	0.00025821444853301275
LINC01128	707.0	663	15489	0.042804570985860935	0.04564529666214733	0.04463420360429294
LINC00115	65.0	65	15489	0.004196526567241268	0.004196526567241268	0.0041877457071298075
FAM41C	146.0	145	15489	0.009361482342307444	0.00942604428949577	0.009381896344182858
AL645608.6	1.0	1	15489	6.45619471883272e-05	6.45619471883272e-05	6.455986315551382e-05
AL645608.2	2.0	2	15489	0.0001291238943766544	0.0001291238943766544	0.00012911555860416213
AL645608.4	0.0	0	15489	0.0	0.0	0.0
LINC02593	255.0	238	15489	0.015365743430821874	0.016463296533023437	0.01632924574427586
SAMD11	673.0	617	15489	0.03983472141519788	0.0434501904577442	0.042532713245634145
NOC2L	2302.0	2046	15489	0.13209374394731746	0.14862160242752923	0.13856261688701668
KLHL17	679.0	632	15489	0.04080315062302279	0.04383756214087417	0.04290388553569814
PLEKHN1	149.0	144	15489	0.009296920395119116	0.009619730131060752	0.009573755136700522
PERM1	3.0	3	15489	0.0001936858415649816	0.0001936858415649816	0.0001936670868840086
AL645608.7	139.0	131	15489	0.008457615081670863	0.00897411065917748	0.008934082627202402
HES4	618.0	582	15489	0.03757505326360643	0.03989928336238621	0.03912386554292038
ISG15	6540.0	4424	15489	0.2856220543611595	0.4222351346116599	0.35222967257196136
AL645608.1	0.0	0	15489	0.0	0.0	0.0
AGRN	4076.0	3118	15489	0.2013041513332042	0.26315449673962166	0.23361216109675403
AL645608.5	0.0	0	15489	0.0	0.0	0.0
AL645608.8	0.0	0	15489	0.0	0.0	0.0
