generation	pulls_jitter	pulls_swap	pulls_boost	pulls_drop	pulls_reset	pulls_temperature	pulls_feature_focus	reward_jitter	reward_swap	reward_boost	reward_drop	reward_reset	reward_temperature	reward_feature_focus
0	10	8	9	12	12	6	8	0.19661915870403146	0.010449546517314334	0.10779864807365824	0.009989757530309173	0.1953328870042158	0.023028227945437796	0.08061369859457357
1	19	22	20	24	19	11	15	0.3026320081130479	0.14604942262034626	0.2549360460374318	0.08506160714237054	0.23505202341827147	0.05234205561701577	0.08180887928854164
2	25	34	27	34	31	18	26	0.3329469050073266	0.19018331611220596	0.29370188256503726	0.11623143473560782	0.23505202341827147	0.09151198938801619	0.11283392039165274
3	42	40	38	42	37	22	39	0.3958112962876771	0.19018331611220596	0.3182475894707809	0.12553091453777832	0.2426607274657493	0.09531788427297794	0.1531068122912046
4	55	44	52	43	48	40	43	0.39618129071100894	0.19018331611220596	0.342453176036119	0.12553091453777832	0.2507015183123149	0.11097503829393629	0.16568529302806245
5	65	54	61	49	58	48	55	0.41313491925851775	0.2254935948949498	0.342453176036119	0.12553091453777832	0.3152647500168837	0.11130832839913063	0.23879035330291976
6	75	63	71	56	70	56	64	0.4229847405262107	0.2254935948949498	0.35035863836536996	0.12553091453777832	0.3494417181491497	0.11130832839913063	0.23879035330291976
7	84	72	81	64	80	66	73	0.4229847405262107	0.2303429007605865	0.36810142828591097	0.12553091453777832	0.36741798231546585	0.14268676387816692	0.2581473818569068
8	92	79	91	72	94	73	84	0.4229847405262107	0.2303429007605865	0.40831354085218374	0.12974815425357555	0.4590834668819057	0.14947312954003478	0.30329648275870147
9	102	86	102	80	103	81	96	0.4493334928489229	0.2303429007605865	0.4495267485100245	0.14619090742830287	0.4716199340281714	0.16884895659449262	0.36492618947238653
10	112	94	111	88	114	91	105	0.46786995572586587	0.23257161785917835	0.4495267485100245	0.14619090742830287	0.4869657823309378	0.1847394875030317	0.3663361128258926
11	121	103	120	99	123	99	115	0.46786995572586587	0.23447644073749907	0.4634245861025681	0.19102515153330313	0.49169341598766714	0.1847394875030317	0.3938315825540979
12	130	112	130	108	132	109	124	0.46786995572586587	0.2487779221234061	0.4761396787046568	0.1987233997947877	0.49792558723290425	0.21887446367606567	0.3938315825540979
13	140	121	139	116	144	118	132	0.48440603095885204	0.260148326223664	0.4761396787046568	0.1987233997947877	0.5305864936997475	0.2242138432786901	0.3938315825540979
