generation	best_fitness	mean_fitness	fitness	mean_ap	mean_auc	mean_top10	mean_top5	min_ap	std_ap	entropy	bundle_eval_rows
0	0.7231083344162792	0.6112860960529891	0.7231083344162792	0.7222226488876261	0.8912145303340951	0.78	0.8	0.5902777777777778	0.1482509393195352	0.5535641850468187	5
1	0.763913256505098	0.6643614699020729	0.763913256505098	0.7939837290694671	0.8824406343021127	0.7999999999999999	0.8400000000000001	0.5454148397870532	0.14536823044753933	0.5311484291180906	5
2	0.807686831756658	0.687390126682218	0.807686831756658	0.8380611107982915	0.8822927450266611	0.8200000000000001	0.9199999999999999	0.6683208406184306	0.14107370414446596	0.6206414562917157	5
3	0.807686831756658	0.7133647940076965	0.807686831756658	0.8380611107982915	0.8822927450266611	0.8200000000000001	0.9199999999999999	0.6683208406184306	0.14107370414446596	0.6206414562917157	5
4	0.8137016167156441	0.7343981064224041	0.8137016167156441	0.833906143528707	0.8833097505829354	0.86	0.96	0.6620862884753121	0.13135822729959604	0.6110529580639248	5
5	0.8137016167156441	0.7370256458864076	0.8137016167156441	0.833906143528707	0.8833097505829354	0.86	0.96	0.6620862884753121	0.13135822729959604	0.6110529580639248	5
6	0.8269909380444075	0.7474961846609643	0.8269909380444075	0.8580770194454009	0.9287637518571973	0.8400000000000001	0.9199999999999999	0.6635397335114221	0.1418261768711774	0.6321408337558484	5
7	0.8269909380444075	0.7593199343401786	0.8269909380444075	0.8580770194454009	0.9287637518571973	0.8400000000000001	0.9199999999999999	0.6635397335114221	0.1418261768711774	0.6321408337558484	5
8	0.8279668764998196	0.765906451501547	0.8279668764998196	0.8520202765860894	0.8880269597632756	0.8400000000000001	0.96	0.6888705104100782	0.12424291649471608	0.5008291522629577	5
9	0.8436015958780279	0.7867994720272912	0.8436015958780279	0.8616134202444767	0.9243998894000078	0.86	0.96	0.7224106566328216	0.11038848990734726	0.557426409748861	5
10	0.856729881881746	0.7923473578247096	0.856729881881746	0.8800422768108062	0.941952042950209	0.86	0.96	0.7055402340915463	0.12613871648075467	0.438111182625761	5
11	0.856729881881746	0.7964896536541339	0.856729881881746	0.8800422768108062	0.941952042950209	0.86	0.96	0.7055402340915463	0.12613871648075467	0.438111182625761	5
12	0.856729881881746	0.8057094415943947	0.856729881881746	0.8800422768108062	0.941952042950209	0.86	0.96	0.7055402340915463	0.12613871648075467	0.438111182625761	5
13	0.856729881881746	0.8141806363245335	0.856729881881746	0.8800422768108062	0.941952042950209	0.86	0.96	0.7055402340915463	0.12613871648075467	0.438111182625761	5
14	0.856729881881746	0.8091696983279719	0.856729881881746	0.8800422768108062	0.941952042950209	0.86	0.96	0.7055402340915463	0.12613871648075467	0.438111182625761	5
15	0.856729881881746	0.8045615422780776	0.856729881881746	0.8800422768108062	0.941952042950209	0.86	0.96	0.7055402340915463	0.12613871648075467	0.438111182625761	5
16	0.8605547001909631	0.8159757036330214	0.8605547001909631	0.8841069100482709	0.9442164905314139	0.86	0.96	0.7173292292844786	0.12073188074702121	0.4489795277637274	5
17	0.8615041763395822	0.8058978445891231	0.8615041763395822	0.885990198232518	0.9346843429908596	0.8800000000000001	0.96	0.7118263341410875	0.11901249550825703	0.47792105491846665	5
18	0.8741755455692407	0.8187636660854735	0.8741755455692407	0.9084344257928082	0.9424562782082175	0.86	0.96	0.7123951183533898	0.10711876440006673	0.4521599118086962	5
19	0.8741755455692407	0.8204790557900338	0.8741755455692407	0.9084344257928082	0.9424562782082175	0.86	0.96	0.7123951183533898	0.10711876440006673	0.4521599118086962	5
20	0.8741755455692407	0.8338740261099115	0.8741755455692407	0.9084344257928082	0.9424562782082175	0.86	0.96	0.7123951183533898	0.10711876440006673	0.4521599118086962	5
21	0.8741755455692407	0.8288994141355361	0.8741755455692407	0.9084344257928082	0.9424562782082175	0.86	0.96	0.7123951183533898	0.10711876440006673	0.4521599118086962	5
22	0.8750731589752705	0.8352747078534362	0.8750731589752705	0.9058816884791838	0.9485329155334987	0.86	0.96	0.7371495327792751	0.10104223320200373	0.5067045613427821	5
23	0.8750731589752705	0.8328390334261724	0.8750731589752705	0.9058816884791838	0.9485329155334987	0.86	0.96	0.7371495327792751	0.10104223320200373	0.5067045613427821	5
24	0.876070384117625	0.8420966847268363	0.876070384117625	0.9089457546493055	0.9438384313604871	0.86	0.96	0.7215989878326844	0.10424020162368805	0.43928422249206106	5
25	0.8769760129911573	0.8430203260901116	0.8769760129911573	0.9037844200392193	0.9449022186071631	0.8800000000000001	0.96	0.7413338578853209	0.10057151121490623	0.4771467180578427	5
26	0.8777623555806474	0.850746764514149	0.8777623555806474	0.900594340720032	0.9480634185095704	0.8800000000000001	0.96	0.7433828919896848	0.10209740484427257	0.39647194888890375	5
27	0.8777623555806474	0.8445354591369464	0.8777623555806474	0.900594340720032	0.9480634185095704	0.8800000000000001	0.96	0.7433828919896848	0.10209740484427257	0.39647194888890375	5
28	0.8786591107172571	0.8481141245082245	0.8786591107172571	0.9066973960562729	0.9494278421180684	0.86	0.96	0.7438736921213919	0.1006680271237531	0.41434466221996885	5
29	0.8786591107172571	0.8387252735996553	0.8786591107172571	0.9066973960562729	0.9494278421180684	0.86	0.96	0.7438736921213919	0.1006680271237531	0.41434466221996885	5
30	0.8794249220769315	0.8481648747398802	0.8794249220769315	0.9022257952142845	0.9481691550533498	0.8800000000000001	0.96	0.755803356388657	0.09972504606909849	0.42248151301026554	5
31	0.8794249220769315	0.8522049410538758	0.8794249220769315	0.9022257952142845	0.9481691550533498	0.8800000000000001	0.96	0.755803356388657	0.09972504606909849	0.42248151301026554	5
