bundle	n	n_pos	n_neg	binary_metric_possible	soft_AUPRC	soft_AUROC	soft_top10_precision	hard_AUPRC	hard_AUROC	hard_top10_precision	dominant_hard_expert	dominant_hard_share
cedar_partial	909	851	58	True	0.996942398688069	0.9580007293650472	1.0	0.9967463390166009	0.9555289922606264	1.0	RF_biophys	1.0
dbpepneo2_mhci	467	467	0	False			1.0			1.0	RF_biophys	1.0
itsndb	319	136	183	True	0.7831796219787388	0.8531822565091611	1.0	0.7694880693808572	0.8179443908711026	1.0	BioDarwin_public_anchor_noEL_v4	0.7210031347962382
mcpas	82	82	0	False			1.0			1.0	BioDarwin_public_anchor_noEL_v4	0.5853658536585366
neodb	552	552	0	False			1.0			1.0	TransPHLA	0.4420289855072464
nepdb	560	140	420	True	0.9577474482449806	0.9847448979591837	1.0	0.9184042351305268	0.9709523809523809	1.0	RF_biophys	0.9982142857142857
tesla_mmc4	605	37	568	True	0.855186405905833	0.9872002283974115	1.0	0.23675513879542298	0.8685525314046441	0.4	RF_biophys	0.48760330578512395
tesla_mmc7	310	4	306	True	1.0	1.0	0.4	0.1013613579403053	0.9305555555555556	0.0	RF_biophys	0.6838709677419355
