page	title	family	images	tables	headings	definitions	bytes
_data_dictionary.html	_data_dictionary	Operations	0	0	0	TCGA-THCA; Neoantigen / pMHC / TCR resources	17128
active_learning_browser.html	Lumenix · Active Learning Browser	Other	0	1	2	GSE213647 / Lee 2024; GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	27280
alphafold_simulation.html	Lumenix · AlphaFold-Multimer Physics Simulation Pipeline	Neoantigen / Vaccine	4	8	26	TCGA-THCA; K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	69038
anchor_atlas.html	Lumenix · Anchor Atlas	Neoantigen / Vaccine	0	1	2	K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	25870
autoimmunity_browser.html	Lumenix · Autoimmunity Browser	Neoantigen / Vaccine	0	1	2	TCGA-THCA; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	29375
barneo_high_impact_candidate_pack_2026_05_10.html	BAR-Neo High-Impact Candidate Pack	Neoantigen / Vaccine	0	4	5	AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR	44992
barneo_top_pass_reviewer_evidence_2026_05_10.html	BAR-Neo Top-Pass Reviewer Evidence	Neoantigen / Vaccine	0	1	5	TCGA-THCA; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	27535
batch30_panel.html	Lumenix · 30-Candidate AF-Multimer Panel	Neoantigen / Vaccine	0	3	7	TCGA-THCA; K2 / PRJEB11591; GSE76039 / Landa advanced thyroid; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; Neoantigen / pMHC / TCR resources	36157
braf_v600e_deep_dive.html	Lumenix · BRAF V600E Deep Dive	Other	0	2	7	TCGA-THCA; K2 / PRJEB11591; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	31051
branch_dossier_neoantigen-clean-neo_2026_05_10.html	Neo/CROSS-Neo Branch Dossier 2026-05-10	Neoantigen / Vaccine	0	5	11	TCGA-THCA; K2 / PRJEB11591; GSE286332; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	57090
branch_dossier_paper1-main_2026_05_10.html	Paper 1 Branch Dossier 2026-05-10	Paper 1	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	66268
branch_dossier_paper10-atlas_2026_05_10.html	Paper 10 Branch Dossier 2026-05-10	Paper 1	0	5	11	TCGA-THCA; K2 / PRJEB11591; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	57238
branch_dossier_paper11-pancancer_2026_05_10.html	Paper 11 Branch Dossier 2026-05-10	Paper 11	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	42814
branch_dossier_paper12-network_2026_05_10.html	Paper 12 Branch Dossier 2026-05-10	Paper 12	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	27263
branch_dossier_paper13-spatial-drug_2026_05_10.html	Paper 13 Branch Dossier 2026-05-10	Spatial / Trajectory	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	57141
branch_dossier_paper1b-braf-axis_2026_05_10.html	Paper 1B Branch Dossier 2026-05-10	Paper 1	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	31574
branch_dossier_paper2-wsi-image_2026_05_10.html	Paper 2 Branch Dossier 2026-05-10	Paper 2	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	58103
branch_dossier_paper2b-ht-immune_2026_05_10.html	Paper 2B Branch Dossier 2026-05-10	Paper 2	0	5	11	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	44227
branch_dossier_paper3-ici-readiness_2026_05_10.html	Paper 3 Branch Dossier 2026-05-10	Paper 3	0	5	11	TCGA-THCA; K2 / PRJEB11591; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	37161
branch_dossier_paper4-gd-hla_2026_05_10.html	Paper 4 Branch Dossier 2026-05-10	Paper 4	0	5	11	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; GSE184362 / GSE193581 / GSE241184; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	36593
branch_dossier_paper5-npj-rai8_2026_05_10.html	Paper 5 Branch Dossier 2026-05-10	Other	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	34234
branch_dossier_paper6-dial_2026_05_10.html	Paper 6 Branch Dossier 2026-05-10	Paper 6 / DIAL	0	5	11	TCGA-THCA; K2 / PRJEB11591; GSE213647 / Lee 2024; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	34151
branch_dossier_paper7-agentic-framework_2026_05_10.html	Paper 7 Branch Dossier 2026-05-10	Paper 7	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	50676
branch_dossier_paper9-ic50-perturbation_2026_05_10.html	Paper 9 Branch Dossier 2026-05-10	Other	0	5	11	TCGA-THCA; TCGA-THCA HM450; K2 / PRJEB11591; GSE286332; GSE250521; GSE76039 / Landa advanced thyroid; Hugo/Riaz melanoma ICI pool; AFND / Korean HLA references; 8-gene mini-index; RAI_8 / thyroid differentiation score; MAPK output score; HLA-II / IFN-gamma module; Cohen's d / Spearman rho / Cox HR; PRISM / DepMap; Neoantigen / pMHC / TCR resources	49246
