split	algorithm	algorithm_family	score_column	n	positives	positive_rate	AUPRC	AUROC	top5_precision	top5_hits	top10_precision	top10_hits	top24_precision	top24_hits	top96_precision	top96_hits	claim_disposition
academic_all	BigMHC_IM	public_comparator	bigmhc_im_score	2715	1179	0.43425414364640885	0.6716093050912753	0.7222909708969466	0.8	4	0.9	9	0.7916666666666666	19	0.875	84	external public comparator
academic_all	BigMHC_EL	public_comparator	bigmhc_el_score	2715	1179	0.43425414364640885	0.6477273415081799	0.719209981092734	0.6	3	0.7	7	0.6666666666666666	16	0.7291666666666666	70	external public comparator
academic_all	CROSS_core	prior_crossneo	crossneo_core_score_norm	2715	1179	0.43425414364640885	0.871904663770583	0.8733886856799548	1.0	5	1.0	10	0.9166666666666666	22	0.9479166666666666	91	prior internal comparator
academic_all	CROSS_stress	prior_crossneo	stress_guarded_discovery_score	2715	1179	0.43425414364640885	0.871904663770583	0.8733886856799548	1.0	5	1.0	10	0.9166666666666666	22	0.9479166666666666	91	prior internal comparator
academic_all	CROSS_BMA	prior_crossneo	bma_v2_discovery_score	2715	1179	0.43425414364640885	0.8605251415850119	0.8596544122844219	1.0	5	1.0	10	0.9166666666666666	22	0.9270833333333334	89	prior internal comparator
academic_all	CROSS_finetuned	prior_crossneo	finetuned_experiment_priority_score	2715	1179	0.43425414364640885	0.8413705671155969	0.8628781453208935	1.0	5	1.0	10	0.9166666666666666	22	0.875	84	prior internal comparator
academic_all	CROSS_integrated	prior_crossneo	immunogenicity_discovery_score	2715	1179	0.43425414364640885	0.8784219386501787	0.8958675696211479	1.0	5	1.0	10	1.0	24	1.0	96	prior internal comparator
academic_all	CROSS_claimsafe	claim_safe_prior	immunogenicity_claim_safe_score	2715	1179	0.43425414364640885	0.8608946268157798	0.8635882721939496	1.0	5	1.0	10	1.0	24	1.0	96	prior claim-safe comparator
academic_all	KG_GA_evolved	production_ga_rl	kg_ga_evolved_score	2715	1179	0.43425414364640885	0.9334107594271099	0.9434278475756293	1.0	5	1.0	10	1.0	24	1.0	96	prior GA/RL champion; production branch only
academic_all	BioDarwin_PanVax_v2	biodarwin	biodarwin_pan_vaccine_score	2715	1179	0.43425414364640885	0.9110528433927503	0.9113970393341815	1.0	5	1.0	10	1.0	24	1.0	96	prior BioDarwin comparator
academic_all	BioDarwin_public_anchor_v3	diagnostic_public_anchor	biodarwin_public_anchor_v3_score	2715	1179	0.43425414364640885	0.6581023515071517	0.7047153307888041	0.8	4	0.9	9	0.7083333333333334	17	0.84375	81	selected after industrial mini-set; diagnostic only
academic_all	BioDarwin_mode_bank_v4	biodarwin	biodarwin_mode_bank_v4_score	2715	1179	0.43425414364640885	0.9110528433927503	0.9113970393341815	1.0	5	1.0	10	1.0	24	1.0	96	prior BioDarwin comparator
