endpoint	group_pos	group_neg	n_pos	n_neg	cohens_d	d_ci_low	d_ci_high	auc	p	note	q_bh
new tumour event after initial treatment	YES	NO	9	136	-0.8375526374779908	-1.374704850198604	-0.2474217677706927	0.21895424836601307	0.004880495554155938	RAI-treated patients only	0.014641486662467812
persistent disease within 3 months of surgery	persistent locoregional/distant	no imaging evidence	13	59	-0.7818505105851636	-1.2942920938802471	-0.3110770629522166	0.27509778357235987	0.011801509911764348	RAI-treated patients only	0.017702264867646523
structural disease at last follow-up	WITH TUMOR	TUMOR FREE	34	182	0.06349834607329308	-0.32571554067773184	0.4750816398293761	0.49175824175824173	0.880003130579855	RAI-treated patients only	0.8800031305798551
