analysis	unit	n_uptake_yes	n_uptake_no	median_yes	median_no	cohens_d	d_ci_low	d_ci_high	auc	p_mannwhitney	note
PRIMARY patient-level (tumour samples)	patient	16	16	-0.0948880114660458	-0.2805791551154214	0.3732445029819513	-0.33766491620362554	0.9797650533916259	0.56640625	0.5340292284243271	one mean panel z per patient
sample-level (tumour samples, non-independent)	sample	19	20	-0.07718164447502793	-0.2014468516194185	0.2664515104305753	-0.3883608158202891	0.8433550616837341	0.5394736842105263	0.6837033381355463	repeated specimens per patient not accounted
sensitivity: primary tumours only	sample	11	6	0.029372825416266422	0.11669343223558028	-0.024885114274957258	-1.5052746165797553	1.0862605582958984	0.3939393939393939	0.5248868778280543	one specimen per patient by construction
sensitivity: pre-RAI specimens only	sample	14	8	0.032338631783078046	0.11669343223558028	0.3365585240209315	-0.7909597616507926	1.2620407669367686	0.49107142857142855	0.9733808674985146	removes post-treatment sampling effect
sensitivity: high-purity tumours only	sample	12	10	0.032338631783078046	0.11669343223558028	0.031161892115708533	-1.064378255837105	0.7425798091825393	0.44166666666666665	0.668216305163999	controls thyrocyte-content confounding
NEGATIVE CONTROL: non-neoplastic thyroid	sample	6	7	0.9480458118696402	0.7992686330533382	0.6528942390316282	-0.33320526597234323	2.28650097950254	0.7380952380952381	0.18065268065268064	expect no association
ADJUSTED OLS (purity + driver), sample-level	sample	19	20			0.035184107169036125	-0.4404083910912604	0.5107766054293327		0.8811650927294145	coefficient is beta in panel-z units, not Cohen's d
