quantity	value
radiation course rows (all units)	293
unique patients with any radiation record	274
mCi courses (= radioiodine)	249
Gy / cGy courses (= external beam)	17
courses with unit not recorded	27
unique patients with >=1 mCi course	237
patients with >1 mCi course	12
max mCi courses per patient	2
mCi patients who also received Gy/cGy	6
mCi courses with an evaluable response	176
mCi courses with start day recorded	249
patients whose courses DISAGREE on response	2
patients in R17 panel table	500
mCi patients matched to a panel score	235
