analysis	n	events	statistic	p_value	p_corrected	verdict	note
A · median split (as reported in AUDIT 08)	231	35	chi2=4.083	0.04332849497461888		nominal, uncorrected	cut at median -0.2349
A · MAXIMALLY SELECTED log-rank over all cut-points	231	35	chi2_max=6.437	0.01117560058235234	0.142	NULL after correction	best cut -0.2607; 5000 permutations of the score; naive p ignores that the cut-point was chosen
B · tertile dose-response (Cox trend on ordinal group)	231	35	HR/step=0.699	0.09918305137148709		no monotone trend	g1: n=77 ev=15 (19.5%) | g2: n=77 ev=12 (15.6%) | g3: n=77 ev=8 (10.4%)
B · quartile dose-response (Cox trend on ordinal group)	231	35	HR/step=0.795	0.1441937761560017		no monotone trend	g1: n=58 ev=10 (17.2%) | g2: n=58 ev=13 (22.4%) | g3: n=57 ev=5 (8.8%) | g4: n=58 ev=7 (12.1%)
C · Cox score only	231	35	HR=0.710 [0.398,1.266]	0.24633197203152468		null	EPV=35.0
C · Cox score + stage	231	35	HR=0.733 [0.412,1.302]	0.28866270400212013		null	EPV=17.5
C · Cox score + age	231	35	HR=0.722 [0.408,1.280]	0.26513419703281604		null	EPV=17.5
D · proportional-hazards check	231	35	rho(resid, time)=0.456	0.005901381465750104		PH violated	Spearman correlation of score residuals at event times with time; a crude Schoenfeld-type check, not a formal test
E · panel score vs cumulative radioiodine dose	231	35	Spearman rho=-0.072	0.27752576759924075		score independent of dose	median dose 104.0 mCi (IQR 98.0-150.0)
E · Cox score + cumulative dose	231	35	HR_score=0.698 [0.387,1.257]; HR_dose/100mCi=1.510	0.23083295271090254		null	dose P=0.0499
F · sensitivity, exclude external-beam co-treated	225	33	HR=0.705 [0.384,1.294]	0.25951273018221155		null	dropped 6 patients who also received Gy/cGy radiation
