test	detail	n	statistic	p
driver class x RAI refractoriness (chi-square)	{'Avid': {'BRAF V600E': 18, 'BRAF/RAS-negative': 29, 'RAS hotspot': 8}, 'Refractory': {'BRAF V600E': 28, 'BRAF/RAS-negative': 27, 'RAS hotspot': 3}}	113	4.441553418981182	0.10852478385161192
BRAF V600E vs rest — refractory	28/46	113	1.9185185185185185	0.12535936943003742
BRAF/RAS-negative vs rest — refractory	27/56	113	0.7808676307007787	0.5743001634304554
RAS hotspot vs rest — refractory	3/11	113	0.32045454545454544	0.11835202997411323
proteomic CC subtype x RAI refractoriness (chi-square)	{'Avid': {'CC1': 34, 'CC2': 17, 'CC3': 4}, 'Refractory': {'CC1': 9, 'CC2': 23, 'CC3': 26}}	113	31.5107808437219	1.4372121484731988e-07
histology x RAI refractoriness (chi-square)	{'Avid': {'FTC': 7, 'cPTC': 36, 'fvPTC': 12}, 'Refractory': {'FTC': 9, 'cPTC': 43, 'fvPTC': 6}}	113	2.792575443434784	0.2475141017775824
