endpoint	score	model	n	events	epv	or_	ci_low	ci_high	p	method	bonferroni_alpha	p_bonferroni_sig	q_bh
new tumour event after initial treatment	RAI_8_recomputed	Tier 1 . Cohen's d (patient bootstrap)	145	9		-0.8375526374779908	-1.3747048501986041	-0.24742176777069252	0.004880495554155938	nonparametric			
new tumour event after initial treatment	RAI_8_recomputed	Tier 2 . Firth, score only	145	9	9.0	0.2211607726169474	0.06240422034181684	0.7837945426865512	0.019419857539473506	Firth			
new tumour event after initial treatment	RAI_8_recomputed	Tier 3 . Firth + stage	145	9	4.5	0.239175282816587	0.06896855163035519	0.8294333367618059	0.024148551855758704	Firth			
new tumour event after initial treatment	RAI_8_recomputed	Tier 3 . Firth + purity	145	9	4.5	0.20198994552132427	0.05442223833863009	0.7496923929853665	0.01682252120858907	Firth			
new tumour event after initial treatment	RAI_8_recomputed	Tier 3 . Firth + stage + purity (exploratory)	145	9	3.0	0.21943933526108886	0.06035562677326986	0.7978315268056284	0.021281915744415736	Firth			
new tumour event after initial treatment	LINEAGE_4	Tier 1 . Cohen's d (patient bootstrap)	145	9		-0.6313354966078804	-1.254558161428527	-0.05275161280897997	0.03931051814123262	nonparametric			
new tumour event after initial treatment	LINEAGE_4	Tier 2 . Firth, score only	145	9	9.0	0.4399296258694552	0.1816511675685831	1.0654381048476762	0.06882841637522708	Firth	0.008333333333333333	False	0.10324262456284061
new tumour event after initial treatment	LINEAGE_4	Tier 3 . Firth + stage	145	9	4.5	0.4488183069391579	0.18676300747321278	1.0785747957749297	0.07330794270095287	Firth			
new tumour event after initial treatment	LINEAGE_4	Tier 3 . Firth + purity	145	9	4.5	0.406477200562071	0.15971871557717437	1.034466837400428	0.058905430160810734	Firth			
new tumour event after initial treatment	LINEAGE_4	Tier 3 . Firth + stage + purity (exploratory)	145	9	3.0	0.4171475772244646	0.16547010349843227	1.051622604356982	0.0638386183858386	Firth			
new tumour event after initial treatment	UPTAKE_1	Tier 1 . Cohen's d (patient bootstrap)	145	9		-0.4847301069052549	-0.6338845362489566	-0.3041939678502467	0.0227173530047344	nonparametric			
new tumour event after initial treatment	UPTAKE_1	Tier 2 . Firth, score only	145	9	9.0	0.2590645893254398	0.02590791681520531	2.5905001131920193	0.25024754984208153	Firth	0.008333333333333333	False	0.25024754984208153
new tumour event after initial treatment	UPTAKE_1	Tier 3 . Firth + stage	145	9	4.5	0.2830512934733311	0.0316016226583171	2.5352506611188166	0.25918128392363515	Firth			
new tumour event after initial treatment	UPTAKE_1	Tier 3 . Firth + purity	145	9	4.5	0.2297591478640826	0.02106045157927084	2.5065590748865154	0.22770148218235708	Firth			
new tumour event after initial treatment	UPTAKE_1	Tier 3 . Firth + stage + purity (exploratory)	145	9	3.0	0.25059283518657705	0.025179714635137095	2.4939428407666324	0.23780960420328334	Firth			
new tumour event after initial treatment	HORMONE_3	Tier 1 . Cohen's d (patient bootstrap)	145	9		-0.8818118542946233	-1.4452652793340799	-0.08592103340845524	0.0012261000209758898	nonparametric			
new tumour event after initial treatment	HORMONE_3	Tier 2 . Firth, score only	145	9	9.0	0.23057498720477126	0.0664111521071041	0.8005406176170419	0.020870884976761372	Firth	0.008333333333333333	False	0.12522530986056823
new tumour event after initial treatment	HORMONE_3	Tier 3 . Firth + stage	145	9	4.5	0.25102153002121197	0.07466457259944553	0.8439318185377004	0.025464316507912033	Firth			
new tumour event after initial treatment	HORMONE_3	Tier 3 . Firth + purity	145	9	4.5	0.2323819080593029	0.06839822289316903	0.7895139509344686	0.019348485574457897	Firth			
new tumour event after initial treatment	HORMONE_3	Tier 3 . Firth + stage + purity (exploratory)	145	9	3.0	0.2527948409025716	0.07686741119577556	0.8313696349704641	0.023570836406725304	Firth			
persistent disease within 3 months of surgery	RAI_8_recomputed	Tier 1 . Cohen's d (patient bootstrap)	72	13		-0.7818505105851636	-1.2942920938802476	-0.3110770629522166	0.011801509911764348	nonparametric			
persistent disease within 3 months of surgery	RAI_8_recomputed	Tier 2 . Firth, score only	72	13	13.0	0.2244914942604533	0.06104266956051059	0.8255934964530668	0.024547453193111135	Firth			
persistent disease within 3 months of surgery	RAI_8_recomputed	Tier 3 . Firth + stage	72	13	6.5	0.2380412102697877	0.065052856629394	0.8710396548689292	0.03011260800390092	Firth			
persistent disease within 3 months of surgery	RAI_8_recomputed	Tier 3 . Firth + purity	72	13	6.5	0.22313228057298648	0.06004136025825283	0.8292286253934176	0.02511745916855146	Firth			
persistent disease within 3 months of surgery	RAI_8_recomputed	Tier 3 . Firth + stage + purity (exploratory)	72	13	4.33	0.2365910837164971	0.06407353297284295	0.8736109637948518	0.030561430265124034	Firth			
persistent disease within 3 months of surgery	LINEAGE_4	Tier 1 . Cohen's d (patient bootstrap)	72	13		-0.6203342032918275	-1.2448074165475433	-0.056999984565778115	0.03256604667271188	nonparametric			
persistent disease within 3 months of surgery	LINEAGE_4	Tier 2 . Firth, score only	72	13	13.0	0.35979147575917947	0.12257246925568387	1.056109147633619	0.06279586737818987	Firth	0.008333333333333333	False	0.12559173475637975
persistent disease within 3 months of surgery	LINEAGE_4	Tier 3 . Firth + stage	72	13	6.5	0.3758537743250274	0.1282427017226776	1.1015524297035928	0.07447258681678082	Firth			
persistent disease within 3 months of surgery	LINEAGE_4	Tier 3 . Firth + purity	72	13	6.5	0.33336629554820957	0.10665194538102715	1.042016501532153	0.058862746256380216	Firth			
persistent disease within 3 months of surgery	LINEAGE_4	Tier 3 . Firth + stage + purity (exploratory)	72	13	4.33	0.3500290374503429	0.11208165796979584	1.0931344992365366	0.0708036263646028	Firth			
persistent disease within 3 months of surgery	UPTAKE_1	Tier 1 . Cohen's d (patient bootstrap)	72	13		-0.5099196874145886	-0.7265538179912877	-0.3039406922679376	0.11553878468897708	nonparametric			
persistent disease within 3 months of surgery	UPTAKE_1	Tier 2 . Firth, score only	72	13	13.0	0.30927580043475095	0.060133189186319755	1.5906610314344762	0.16017125312647318	Firth	0.008333333333333333	False	0.19220550375176781
persistent disease within 3 months of surgery	UPTAKE_1	Tier 3 . Firth + stage	72	13	6.5	0.31205290839597605	0.06097993248256469	1.596869882829558	0.16208218242565287	Firth			
persistent disease within 3 months of surgery	UPTAKE_1	Tier 3 . Firth + purity	72	13	6.5	0.2551960199051324	0.0401359037254218	1.6226122381834147	0.147864519725593	Firth			
persistent disease within 3 months of surgery	UPTAKE_1	Tier 3 . Firth + stage + purity (exploratory)	72	13	4.33	0.26426917105285297	0.04276358769584423	1.633122909744753	0.1521017016493067	Firth			
persistent disease within 3 months of surgery	HORMONE_3	Tier 1 . Cohen's d (patient bootstrap)	72	13		-0.7940629778450807	-1.251377788487819	-0.3750438858204973	0.011801509911764348	nonparametric			
persistent disease within 3 months of surgery	HORMONE_3	Tier 2 . Firth, score only	72	13	13.0	0.2791797959541606	0.09194069732853585	0.8477351242018035	0.02435422896888273	Firth	0.008333333333333333	False	0.07306268690664819
persistent disease within 3 months of surgery	HORMONE_3	Tier 3 . Firth + stage	72	13	6.5	0.2918014233972315	0.09776210705754	0.8709721308127557	0.02727184005758132	Firth			
persistent disease within 3 months of surgery	HORMONE_3	Tier 3 . Firth + purity	72	13	6.5	0.2890453245796279	0.09709799513152104	0.860442067296819	0.02574302066250822	Firth			
persistent disease within 3 months of surgery	HORMONE_3	Tier 3 . Firth + stage + purity (exploratory)	72	13	4.33	0.3019294313246931	0.10317026656227374	0.8836012984906598	0.028824664757112872	Firth			
