endpoint	n_events	loo_or_min	loo_or_max	loo_all_below_1	boot_median_or	boot_ci_low	boot_ci_high	boot_frac_or_below_1	n_boot_used
new tumour event after initial treatment	9	0.121	0.282	True	0.208	0.033	0.774	0.988	1997
persistent disease within 3 months of surgery	13	0.156	0.274	True	0.218	0.032	0.631	0.999	2000
