gene	n_yes	n_no	cohens_d	auc	p	q_bh
TPO	16	16	0.5810594158508574	0.66015625	0.12690998348893937	0.5076399339557575
TG	16	16	0.5796244231573142	0.6796875	0.08637350703435537	0.6909880562748429
TSHR	16	16	0.28217530650067946	0.53125	0.7774322029019755	1.0
FOXE1	16	16	0.23260951435456328	0.53125	0.7774322029019755	1.0
DIO1	16	16	0.2260567277182444	0.62109375	0.2503449209783549	0.6675864559422798
PAX8	16	16	0.2224120441811929	0.46875	0.7774322029019755	1.0
NKX2-1	16	16	0.08270103370373855	0.4765625	0.8357841257402611	0.9551818579888698
SLC5A5	16	16	0.061800497212239576	0.4921875	0.9549169069449939	0.9549169069449939
