dropped	cohens_d	auc	p
DIO1	0.3689343775050008	0.5390625	0.7203098459695906
FOXE1	0.3968487780747994	0.578125	0.46237974986725616
NKX2-1	0.4160434994639708	0.5859375	0.41776103043678603
PAX8	0.3998030988099464	0.56640625	0.5340292284243271
SLC5A5	0.3726057734476287	0.56640625	0.5340292284243271
TG	0.3170157779440166	0.546875	0.664707815503064
TPO	0.31840382524862476	0.55859375	0.584729632558272
TSHR	0.38362103490437655	0.5625	0.5591004065161768
