quantity	value
patients with a panel score and >=1 mCi course	235.0
of those, with a recorded RAI start day	235.0
with a recorded new-tumour-event date	35.0
EXCLUDED - new tumour event occurred BEFORE the first RAI course	0.0
ANALYSIS SET - RAI-treated, positive follow-up after the RAI course	231.0
recurrence events after RAI	35.0
median follow-up after RAI (days)	770.0
median follow-up after RAI (months)	25.3
ANALYSIS SET with a non-missing panel score	231.0
events in that set	35.0
events per variable (EPV), single covariate	35.0
