analysis	n_nonCR	n_CR	median_nonCR	median_CR	cohens_d	d_ci_low	d_ci_high	auc	p
PRIMARY: panel z, non-CR vs CR (RAI-treated)	24	143	-0.2884111844351687	-0.1742867802651438	-0.03040321159375743	-0.5049166574359061	0.4586503652619784	0.47785547785547783	0.7305179676151605
sensitivity: RAI only, no external beam	23	142	-0.3286059926848224	-0.1738286849182054	-0.07639021031909568	-0.5615054153762593	0.4286912620568787	0.4595835884874464	0.5361382971414989
DM1 vs DM2 x non-CR (Fisher) [[98, 15], [45, 9]]	24	143			1.3066666666666666				0.6383747373679927
