sample	condition	n_cells_total	n_thyroid_marker_pos	panel_genes_available	median_panel_z	mean_panel_z	frac_silenced (z<0)
PTC1_primary	primary_untreated	5917	52	8	0.3274986884000832	0.3516002215312771	0.0
PTC2_primary	primary_untreated	5102	5102	8	0.0	0.0009409153923653865	0.0
PTC5_primary	primary_untreated	4477	1808	8	0.5355000000799608	0.5654568614081018	0.0
PTC4_SC_RAI	RAI-treated_distant_met	3120	292	8	0.3009929115605441	0.30896601103304666	0.0
PTC11_LN_3xRAI	RAI-refractory_LN	7170	1565	8	0.5641644804010433	0.5643109093301255	0.0
PTC11_SC_3xRAI	RAI-refractory_distant_met	7127	5266	8	0.448890181104861	0.45965044444818814	0.0
