tool	local_status
TCRdock	not_found
TCRmodel2	not_found
AlphaFold-Multimer_colabfold_batch	/home/seungho/personal/THCA_data_analysis/.venv/bin/colabfold_batch
AlphaFold_python_module	available
AlphaFold3	not_found
Boltz	not_found
Chai-1	not_found
tFold-TCR	not_found
ImmuneBuilder	not_found
