priority	tool	claim_status	n_jobs
P0	blocked_missing_full_tcr_sequence	diagnostic_manifest_only_requires_full_tcr	507
P1	blocked_missing_full_tcr_sequence	diagnostic_manifest_only_requires_full_tcr	131
