cluster_1,,B cell,B cell,B cell,B cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell
SPARC,MMP14,,,,,,0.0,0.018,,,0.418,0.156,,,1.0,1.0,
IL10,CD14,,,,,,0.97,0.0,0.998,,0.374,0.0,0.998,,,,
IL1A,CSF1,,,,,,0.03,0.234,0.904,,0.756,0.538,0.946,,,,
IL2,HSP90AA1,,,,,,,,,,,,,,,,
CCL5,CCR6,,,,,,,,,,,,,,,,
CCL2,CCR6,,,,,,,,,,,,,,,,
CSF2,MMP14,,,,,,0.246,0.034,,,0.064,0.016,,,,,
PI3,TNF,,,,,,0.028,0.362,,,0.804,0.774,,,,,
OSM,PTGS2,,,,,,,,,,,,,,,,
FGF7,PDGFRA,,,,,,,,,,,,,,,,
CCL13,CCR4,,,,,,,,0.0,,,,0.002,,,,0.01
COL6A3,ITGA6,,,,,,0.0,1.0,,,0.002,0.998,,,0.166,1.0,
CCL3,CCR7,,,,,,1.0,0.0,,,0.098,0.0,,,0.006,0.0,
COMP,ITGB6,,,,,,,,,,,,,,,,
IGFBP2,CD24,,,,,,,0.014,,,,0.018,,,,0.128,
IL6,PTGS2,,,,,,,,,,,,,,,,
IFNG,CXCL9,,,,,,0.7,0.0,1.0,,0.096,0.0,1.0,,0.324,0.0,1.0
CSF3,CXCL12,,,,,,0.05,0.068,,,0.982,0.69,,,0.754,0.374,
IGF1,FLT4,,,,,,,,,,,,,,,,
IL1B,PTGDS,,,,,,0.986,0.0,0.21,,1.0,0.002,0.996,,0.994,0.0,0.902
FGFR4,MMP9,,,,,,,,,,,,,,,,
CXCL9,CCR7,,,,,,0.914,0.0,,,0.0,0.0,,,1.0,0.998,
IGF1,PDGFRB,,,,,,,,,,,,,,,,
S100B,BIRC3,,,,,,0.998,0.0,,,0.408,0.0,,,,,
VEGFA,PDGFRA,,,,,,,,0.024,,,,,,,,0.196
IL17A,CXCL12,,,,,,,,,,,,,,,,
COL6A3,ITGB6,,,,,,,0.032,,,,0.004,,,,0.208,
OLR1,MMP3,,,,,,,,,,,,,,,,
CD160,KLRD1,,,,,,0.37,0.134,,,0.0,0.046,,,,,
CCL22,CXCR6,,,,,,0.954,0.07,0.962,,0.01,0.012,0.592,,0.052,0.024,0.668
CXCL1,CCR4,,,,,,,,0.0,,,,0.008,,,,
LAMA3,ITGB6,,,,,,,0.0,,,,1.0,,,,0.7,
IL2,TNFRSF9,,,,,,,,,,,,,,,,
TNF,INSR,,,,,,0.49,0.114,,,0.388,0.166,,,,,
IL6,TSHR,,,,,,,0.008,,,,0.058,,,,,
CXCL6,CXCR6,,,,,,,,,,,,,,,,
LEP,F3,,,,,,,,,0.002,0.0,1.0,0.992,,,,
CCL1,CCR6,,,,,,,,,,,,,,,,
CCL2,CCR7,,,,,,0.988,0.0,,,0.08,0.0,,,0.97,0.134,
CCL26,CCR4,,,,,,,,,,,,,,,,
CXCL9,CCR6,,,,,,,,,,,,,,,,
CCL8,CCR7,,,,,,0.336,0.0,,,0.966,0.04,,,,,
CD40LG,F3,,,,,,,,,0.002,0.034,1.0,0.998,,,,
CXCL10,CCR7,,0.004,0.0,,,0.0,0.0,,,0.984,0.658,,,1.0,1.0,
FGF7,PDGFRB,,,,,,,,,,,,,,,,
CCL17,CXCR6,,,,,,,,,,0.0,0.028,0.842,,,,
CXCL12,MMP9,,,,,,1.0,0.0,0.588,,0.144,0.0,0.244,,,,
CXCL3,CCR4,,,,,,,,0.0,,,,0.004,,,,
IGF1,FLT1,,,,,,,,,,,,,,,,
IL13,MUC5AC,,,,,,,,,,,,,,,,
CXCL14,CCR4,,,,,,,,,,,,,,,,0.0
OSM,F3,,,,,,,,,,,,,,,,
CCL4,CCR6,,,,,,,,,,,,,,,,
HLA-G,KLRC2,,,,,,,,,,,,,,,,
CSF2,TNF,,,,,,0.604,0.386,,,0.064,0.178,,,,,
IGF1,FGFR2,,,,,,,,,,,,,,,,
CCL3,CCR6,,,,,,,,,,,,,,,,
IFNG,CCR6,,,,,,,,,,,,,,,,
CXCL6,CCR7,,,,,,,,,,,,,,,,
CCL4,CCR4,,,,,,,,0.0,,,,0.096,,,,0.58
CCL23,CCR6,,,,,,,,,,,,,,,,
CCL14,CCR4,,,,,,,,,,,,0.0,,,,
OSM,ADAMTS4,,,,,,,,,,,,,,,,
ADM,HMOX1,,,,,,0.08,0.002,0.4,,0.986,0.404,0.972,,,,
CCL8,CCR6,,,,,,,,,,,,,,,,
IL6,INSR,,,,,,0.496,0.114,,,0.326,0.14,,,,,
CCL3L1,CCR7,,,,,,0.996,0.0,,,0.512,0.0,,,0.46,0.0,
DKK1,LRP1,,,,,,0.004,0.02,0.682,,,,,,0.996,0.686,0.986
IGF1,KDR,,,,,,,,,,,,,,,,
CXCL6,CCR4,,,,,,,,,,,,,,,,
CCL21,CXCL10,,,,,0.004,0.0,0.984,1.0,0.0,0.0,0.546,1.0,0.002,0.126,0.914,1.0
CCL26,CCR6,,,,,,,,,,,,,,,,
CCL7,CCR6,,,,,,,,,,,,,,,,
IL10,CSF1,,,,,,0.344,0.266,0.916,,0.18,0.224,0.878,,,,
THBS1,ITGB6,,,,,,,0.0,,,,1.0,,,,0.99,
PRSS1,PRSS2,,,,,,,,,,,,,,,,
IL17F,CXCL10,,,,,,,,,,,,,,,,
VEGFA,CDH5,,,,,,0.016,0.196,,,,,,,0.614,0.382,
THBS4,ITGB6,,,,,,,,,,,,,,,,
TNF,MUC5AC,,,,,,,,,,,,,,,,
CCL5,CXCR6,,,,,,0.718,0.072,0.958,,0.0,0.0,0.0,,0.998,0.996,1.0
CCL18,CCR7,,,,,,0.994,0.0,,,0.034,0.0,,,0.984,0.128,
IL2,C3,,,,,,,,,,,,,,,,
CSF2,CD1C,,,,,,,0.218,,,,0.078,,,,,
IL1A,PLAU,,,,,,0.0,0.94,0.88,,0.718,0.962,0.954,,,,
CXCL5,CCR6,,,,,,,,,,,,,,,,
CCN1,IL17A,,,,,,,,,,,,,,,,
CCL21,CCR6,,,,,,,,,,,,,,,,
CXCL10,CCR6,,,,,,,,,,,,,,,,
CSF2,CPE,,,,,,0.488,0.208,,,0.064,0.094,,,,,
IL1B,LDLR,,,,,,0.0,1.0,,,1.0,1.0,,,0.98,1.0,
SPP1,ITGA6,,,,,,0.0,1.0,,,0.242,1.0,,,,,
CXCL2,CCR4,,,,,,,,0.0,,,,0.108,,,,0.066
VWF,ITGB6,,,,,,,0.0,,,,0.392,,,,1.0,
EDN1,MMP1,,,,,,0.0,1.0,1.0,,,,,,,,
VEGFA,VCAM1,,,,,,0.07,0.026,,,,,,,0.622,0.168,
S100B,TNF,,,,,,0.194,0.366,,,0.354,0.404,,,,,
IL13,PTGS2,,,,,,,,,,,,,,,,
CCL26,CCR7,,,,,,,,,,,,,,,,
CD40LG,VCAM1,,,,,,,,,,0.072,0.024,,,,,
TNF,F3,,,,,0.004,0.0,1.0,0.998,0.002,0.25,1.0,0.998,,,,
IL17A,PTGS2,,,,,,,,,,,,,,,,
CXCL1,CCR6,,,,,,,,,,,,,,,,
CXCL14,CXCR6,,,,,,,,,,,,,,0.014,0.016,0.6
IFNG,VCAM1,,,,,,0.78,0.03,,,0.094,0.006,,,0.322,0.052,
TNF,PIGR,,,,,,,,,,,,,,,,
CCL5,CXCL12,,,,,,0.706,0.082,,,0.0,0.0,,,0.998,0.998,
IL10,DCN,,,,,,1.0,0.0,,,0.366,0.0,,,,,
CXCL8,CXCR6,,,,,,0.376,0.066,0.95,,0.766,0.138,0.976,,,,
EDN1,MCAM,,,,,,0.0,0.968,,,,,,,,,
IL1B,VEGFA,,,,,,0.0,,0.55,,1.0,,1.0,,0.982,,0.964
CSF3,PLAUR,,,,,,0.0,0.996,,,0.978,0.998,,,0.714,0.978,
ADIPOQ,WIF1,,,,,,,,,,,,,,,,
IL1B,MMP1,,,,,,0.0,1.0,1.0,,1.0,1.0,1.0,,0.97,1.0,1.0
CSF2,MMP1,,,,,,0.0,1.0,1.0,,0.022,1.0,1.0,,,,
CCL15,CCR7,,,,,,,,,,,,,,,,
CCL23,CCR4,,,,,,,,,,,,,,,,
VEGFD,PDGFRB,,,,,,,,,,,,,,,,
CSF2,FCER2,,,,,,,,,,,,,,,,
IL12B,TNF,,,,,,,,,,0.0,0.13,,,,,
IGFBP3,MMP14,,,,,,0.068,0.032,,,0.938,0.186,,,0.692,0.136,
THBS2,ITGB6,,,,,,,0.028,,,,0.164,,,,0.036,
CCL23,CCR7,,,,,,,,,,,,,,,,
SPP1,PLAU,,,,,,0.006,0.936,0.89,,0.386,0.898,0.884,,,,
VEGFA,FLT4,,,,,,0.002,0.45,,,,,,,0.616,0.658,
LAMA4,ITGB6,,,,,,,0.002,,,,0.22,,,,,
CCL11,CXCR6,,,,,,,,,,,,,,,,
CCL19,CCR6,,,,,,,,,,,,,,,,
IL1A,CXCL12,,,,,,0.072,0.07,,,0.764,0.234,,,,,
TNF,MMP13,,,,,,,,,,,,,,,,
PPBP,CCR7,,,,,,,,,,,,,,,,
CXCL12,GZMB,,,,,0.008,0.012,0.912,0.996,0.004,0.052,0.758,0.968,,,,
IGF1,PDGFRA,,,,,,,,,,,,,,,,
IFNG,CSF1,,,,,,0.664,0.272,0.922,,0.094,0.11,0.624,,0.314,0.246,0.824
VEGFD,PDGFRA,,,,,,,,,,,,,,,,
SST,F3,,,,,,,,,,,,,,,,
IL12B,GZMB,,,,,,,,,0.006,0.0,0.88,0.99,,,,
TNF,CHI3L1,,,,,,0.784,0.018,,,0.416,0.03,,,,,
CCL5,CCR7,,,,,,0.942,0.0,,,0.0,0.0,,,0.998,0.98,
IFNG,IDO1,,,,,,0.058,0.146,1.0,,0.064,0.07,1.0,,0.266,0.144,1.0
IL2,GZMB,,,,,,,,,,,,,,,,
IGF1,VEGFA,,,,,,,,,,,,,,,,
CCL11,CCR4,,,,,,,,,,,,,,,,
CXCL13,CCR7,,,,,,1.0,0.0,,,0.0,0.0,,,,,
FGF7,PLAU,,,,,,,,,,,,,,,,
CCL5,TNFRSF4,,,,,,0.962,0.0,0.122,,0.0,0.0,0.0,,1.0,0.982,0.998
IL6,KDR,,,,,,0.056,0.546,,,0.298,0.486,,,,,
IFNG,CXCL12,,,,,,0.748,0.074,,,0.092,0.024,,,0.328,0.092,
DCN,VEGFA,,,,,,0.924,,0.666,,0.0,,0.002,,,,
IL1B,CXCL10,,,,,0.002,0.0,0.984,1.0,0.016,1.0,1.0,1.0,0.014,0.956,0.998,1.0
XCL1,CCR6,,,,,,,,,,,,,,,,
THBS4,ITGA6,,,,,,,,,,,,,,,,
TNF,CDH11,,,,,,0.578,0.88,0.054,,0.388,0.86,0.08,,,,
IL6,CCR7,,,,,,0.998,0.0,,,0.418,0.0,,,,,
CXCL3,CCR7,,,,,,0.95,0.0,,,0.562,0.0,,,,,
IFNG,CXCL10,,,,,0.004,0.0,0.984,1.0,0.0,0.032,0.94,1.0,0.006,0.188,0.974,1.0
S100A8,MMP1,,,,,,0.0,1.0,1.0,,0.988,1.0,1.0,,1.0,1.0,1.0
FGF7,SFTPA2,,,,,,,,,,,,,,,,
ADIPOQ,CXCL12,,,,,,,,,,,,,,,,
SAA1,F3,,,,,0.002,0.0,0.998,0.982,0.024,1.0,1.0,1.0,0.034,1.0,1.0,1.0
IL6,CXCL12,,,,,,0.448,0.074,,,0.324,0.08,,,,,
CCL21,CXCR6,,,,,,1.0,0.072,0.972,,0.0,0.0,0.06,,0.192,0.05,0.632
CCL14,CXCR6,,,,,,,,,,0.108,0.06,0.914,,,,
CCL11,CCR7,,,,,,,,,,,,,,,,
CXCL12,CCR7,,,,,,0.988,0.0,,,0.084,0.0,,,,,
CCL17,CCR7,,,,,,,,,,0.0,0.0,,,,,
CCL3L1,CXCR6,,,,,,0.56,0.066,0.95,,0.47,0.12,0.91,,0.434,0.134,0.876
CXCL6,CCR6,,,,,,,,,,,,,,,,
IL1A,C3,,,,,,0.184,0.208,0.482,,0.772,0.442,0.666,,,,
IL6,CSF1,,,,,,0.27,0.262,0.916,,0.318,0.25,0.886,,,,
IL6,GZMB,,,,,0.008,0.008,0.914,0.996,0.006,0.182,0.902,0.994,,,,
IL1A,MMP9,,,,,,1.0,0.0,0.574,,0.908,0.0,0.766,,,,
SAA1,PTGS2,,,,,,,,,,,,,,,,
FGFR4,PLAU,,,,,,,,,,,,,,,,
TNF,PLAU,,,,,,0.012,0.942,0.898,,0.3,0.94,0.898,,,,
CSF2,CSF1,,,,,,0.424,0.268,0.918,,0.062,0.148,0.796,,,,
CXCL5,CCR4,,,,,,,,0.0,,,,0.92,,,,
VWF,ITGA6,,,,,,0.0,1.0,,,0.33,1.0,,,1.0,1.0,
CXCL8,CCR4,,,,,,,,0.0,,,,0.0,,,,
IL2,PRF1,,,,,,,,,,,,,,,,
RELN,ITGA6,,,,,,,,,,,,,,,,
FGF7,VEGFA,,,,,,,,,,,,,,,,
CCL2,PTGS2,,,,,,,,,,,,,,,,
NR0B2,TNF,,,,,,,,,,,,,,,,
CXCL13,CCR4,,,,,,,,0.0,,,,0.0,,,,
IL13,VEGFA,,,,,,,,,,,,,,,,
S100A9,MMP1,,,,,,0.0,1.0,1.0,,0.726,0.994,0.986,,0.81,0.998,0.992
IL2,CES1,,,,,,,,,,,,,,,,
CXCL3,CCR6,,,,,,,,,,,,,,,,
CXCL11,CCR4,,,,,,,,0.0,,,,0.798,,,,0.958
TNF,MMP9,,,,,,1.0,0.0,0.586,,1.0,0.0,0.616,,,,
CXCL9,CXCR6,,,,,,0.61,0.07,0.962,,0.0,0.0,0.0,,1.0,1.0,1.0
CXCL10,CCR4,,,,0.0,,,,0.0,,,,0.798,,,,1.0
IL10,F3,,,,,0.004,0.0,1.0,0.998,0.002,0.082,1.0,1.0,,,,
OSM,PLAT,,,,,,,,,,,,,,,,
CCL23,KDR,,,,,,,,,,,,,,,,
IFNG,HSP90AA1,,,,,0.112,0.01,0.998,0.742,0.09,0.056,0.992,0.656,0.106,0.242,0.998,0.732
CCL19,CCR4,,,,,,,,0.0,,,,0.0,,,,
XCL2,CCR6,,,,,,,,,,,,,,,,
IL2,TNFRSF4,,,,,,,,,,,,,,,,
CXCL5,CCR7,,,,,,0.0,0.0,,,1.0,0.784,,,,,
SAA1,HMOX1,,,,,,0.0,0.0,0.12,,1.0,1.0,1.0,,1.0,1.0,1.0
IFNG,IL17A,,,,,,,,,,,,,,,,
CCL20,CCR7,,,,,,1.0,0.0,,,0.31,0.0,,,,,
CXCL5,CXCR6,,,,,,0.0,0.048,0.906,,1.0,0.976,1.0,,,,
CCL15,CCR4,,,,,,,,,,,,,,,,
CCL15,CXCR6,,,,,,,,,,,,,,,,
CCL19,CXCR6,,,,,,1.0,0.086,0.978,,0.0,0.0,0.0,,,,
IL6,DCN,,,,,,1.0,0.0,,,0.422,0.0,,,,,
CXCL13,CXCR6,,,,,,1.0,0.074,0.972,,0.0,0.0,0.002,,,,
IL2,TNFRSF18,,,,,,,,,,,,,,,,
CCL18,CCR4,,,,,,,,0.0,,,,0.0,,,,0.328
ADIPOQ,F3,,,,,,,,,,,,,,,,
CCL11,CCR6,,,,,,,,,,,,,,,,
IFNG,MMP13,,,,,,,,,,,,,,,,
CCL23,CXCR6,,,,,,,,,,,,,,,,
CSF2,HDC,,,,,,,0.018,,,,0.036,,,,,
TNF,VCAM1,,,,,,0.458,0.026,,,0.382,0.046,,,,,
OSM,LDLR,,,,,,,,,,,,,,,,
CSF3,MPL,,,,,,,,,,,,,,,,
IL11,LIFR,,,,,,0.01,0.474,,,,,,,,,
IL6,LIFR,,,,,,0.206,0.498,,,0.32,0.44,,,,,
OSM,IL13RA2,,,,,,,,,,,,,,,,
LEP,MPL,,,,,,,,,,,,,,,,
IL11,IL13RA2,,,,,,0.0,1.0,,,,,,,,,
IL6,IL13RA2,,,,,,0.0,1.0,,,0.144,1.0,,,,,
IL13,LIFR,,,,,,,,,,,,,,,,
GAS1,PTCH1,,,,,,0.996,,0.028,,0.008,,0.0,,,,
LEP,KDR,,,,,,,,,,0.002,0.3,,,,,
GDF15,TTN,,,,,,,,,,,,,,,,
S100A8,MDM2,,,,,,0.002,0.526,0.148,,0.996,0.986,0.922,,1.0,0.998,0.992
VEGFA,MDM2,,,,,,0.062,0.578,0.172,,,,,,0.618,0.706,0.37
SHH,MDM2,,,,,,,,,,,,,,,,
CSF3,ACE,,,,,,0.014,0.112,,,0.982,0.792,,,0.746,0.468,
NTS,GRIA1,,,,,,,,,,,,,,,,
IFNG,GRIA1,,,,,,,,,,,,,,,,
TNF,GRIA1,,,,,,,,,,,,,,,,
VCAM1,CDH5,,,,,,0.37,0.218,,,0.026,0.048,,,,,
TNF,CDH5,,,,,,0.27,0.214,,,0.364,0.24,,,,,
IL1B,CDH5,,,,,,0.0,0.172,,,1.0,0.986,,,0.984,0.838,
ANGPT2,CDH5,,,,,,0.144,0.208,,,0.492,0.27,,,,,
CXCL8,CDH5,,,,,,0.122,0.206,,,0.732,0.378,,,,,
ADM,NOS1,,,,,,0.0,0.826,,,0.984,0.994,,,,,
IGF1,NOS1,,,,,,,,,,,,,,,,
