cluster_1,,B cell,B cell,B cell,B cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell
CXCL1,ACKR1,,,,,,0.846,0.0,,,0.568,0.01,,,,,
CXCL2,ACKR1,,,,,,0.656,0.0,,,0.974,0.084,,,0.79,0.052,
CXCL13,ACKR4,,,,,,,,,,,,,,,,
CCL5,CCR4,,,,,,,,0.0,,,,0.0,,,,0.99
DEFB1,CCR6,,,,,,,,,,,,,,,,
CCL23,FPR2,,,,,,,,,,,,,,,,
DCN,KDR,,,,,,0.98,0.614,,,0.0,0.0,,,,,
GREM1,KDR,,,,,,0.01,0.538,,,,,,,,,
APOE,LDLR,,,,,,0.872,1.0,,,0.0,0.0,,,1.0,1.0,
MDK,LRP1,,,,,,0.0,0.01,0.534,,1.0,0.998,1.0,,1.0,1.0,1.0
DLK1,NOTCH3,,,,,,,,,,,,,,,,
DLL4,NOTCH3,,,,,,0.536,0.266,0.91,,0.404,0.304,0.908,,0.054,0.094,0.69
DLL1,NOTCH4,,,,,,0.0,0.318,,,0.998,0.974,,,,,
JAG1,NOTCH4,,,,,,0.0,0.262,,,1.0,1.0,,,0.998,0.996,
DLK1,NOTCH4,,,,,,,,,,,,,,,,
TNFSF14,TNFRSF6B,,0.0,0.002,0.002,,0.0,1.0,1.0,,0.09,1.0,1.0,,,,
SCT,RAMP2,,,,,,,,,,,,,,,,
SCT,RAMP3,,,,,,,,,,,,,,,,
SCT,TSHR,,,,,,,,,,,,,,,,
COMP,CD36,,,,,,,,,,,,,,,,
CCL2,ACKR4,,,,,,,,,,,,,,,,
CCL13,ACKR4,,,,,,,,,,,,,,,,
CXCL6,ACKR1,,,,,,,,,,,,,,,,
CEACAM6,STAB1,,,,,,,,,,,,,,,,
THBS1,ITGA6,,,,,,0.0,1.0,,,1.0,1.0,,,0.982,1.0,
THBS1,CD36,,,,,,0.0,0.17,,,1.0,1.0,,,0.994,0.98,
VWF,SCARA5,,,,,,,,,,,,,,,,
FGF7,FGFR4,,,,,,,,,,,,,,,,
PTH2,TSHR,,,,,,,,,,,,,,,,
TFF2,MUC6,,,,,,,,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,,,,,,,,
S100A1,RYR2,,,,,,,,,,,,,,,,
SCGB3A1,MARCO,,,,,,,,,,,,,,,,
ANGPTL4,GPIHBP1,,,,,,,,,,,,,,,,
ANGPTL4,TIE1,,,,,,0.0,0.036,,,1.0,0.99,,,0.974,0.868,
IGF1,INSR,,,,,,,,,,,,,,,,
PCSK9,LDLR,,,,,,,,,,,,,,,,
CXCL11,ACKR1,,,,,,0.0,0.0,,,0.994,0.782,,,1.0,0.948,
ANGPT2,TIE1,,,,,,0.376,0.046,,,0.502,0.15,,,,,
CALCA,TSHR,,,,,,,,,,,,,,,,
THBS2,NOTCH4,,,,,,0.736,0.364,,,0.232,0.286,,,0.056,0.092,
THBS2,ITGA6,,,,,,0.0,1.0,,,0.1,1.0,,,0.028,1.0,
THBS2,CD36,,,,,,0.8,0.282,,,0.23,0.208,,,0.056,0.062,
S100A8,CD36,,,,,,0.0,0.186,,,0.994,0.976,,,1.0,1.0,
S100A12,CD36,,,,,,,,,,,,,,,,
S100A9,CD36,,,,,,0.106,0.238,,,0.754,0.718,,,0.822,0.802,
CALCB,TSHR,,,,,,,,,,,,,,,,
MDK,ITGA6,,,,,,0.0,1.0,,,1.0,1.0,,,1.0,1.0,
ADM,TSHR,,,,,,,0.002,,,,0.936,,,,,
CGA,RAMP3,,,,,,,,,,,,,,,,
CXCL8,CD79A,,,,,,0.766,0.0,,,0.792,0.042,,,,,
PTH2,RAMP3,,,,,,,,,,,,,,,,
APOE,LRP1,,,,,,1.0,0.046,0.826,,0.0,0.0,0.0,,1.0,1.0,1.0
PCSK9,LRP1,,,,,,,,,,,,,,,,
THBS1,LRP1,,,,,,0.0,0.016,0.64,,1.0,0.998,1.0,,0.996,0.848,0.992
VWF,LRP1,,,,,,0.146,0.022,0.7,,0.464,0.142,0.604,,1.0,0.964,1.0
CGA,RAMP2,,,,,,,,,,,,,,,,
CCL11,ACKR4,,,,,,,,,,,,,,,,
CCL7,ACKR4,,,,,,,,,,,,,,,,
CCL8,ACKR4,,,,,,,,,,,,,,,,
S100A9,CD68,,,,,,0.396,0.0,1.0,,0.76,0.024,0.994,,0.83,0.092,0.992
S100A8,CD68,,,,,,0.06,0.0,1.0,,0.998,0.076,1.0,,1.0,0.294,1.0
PTH2,RAMP2,,,,,,,,,,,,,,,,
TNF,FLT4,,,,,,0.17,0.504,,,0.374,0.536,,,,,
THBS2,NOTCH3,,,,,,0.6,0.266,0.912,,0.226,0.226,0.86,,0.052,0.098,0.674
SCGB3A1,NOTCH3,,,,,,,,,,,,,,,,
CXCL8,KDR,,,,,,0.016,0.542,,,0.734,0.726,,,,,
CXCL9,FCGR2A,,,,,,0.754,0.006,,,0.0,0.0,,,1.0,0.998,
VEGFD,FLT1,,,,,,,,,,,,,,,,
TNF,ICOS,,,,,,0.874,0.002,,,0.42,0.018,,,,,
IL6,F3,,,,,0.004,0.0,1.0,0.998,0.002,0.208,1.0,0.996,,,,
CXCL12,CCR4,,,,,,,,0.0,,,,0.0,,,,
CCL3,CCR4,,,,,,,,0.0,,,,0.004,,,,0.0
PTN,PTPRB,,,,,,0.724,0.536,,,,,,,0.026,0.044,
CCL8,ACKR1,,,,,,0.13,0.0,,,0.966,0.184,,,,,
EDN1,ADGRL4,,,,,,0.174,0.574,0.784,,,,,,,,
MDK,TSPAN1,,,,,,0.0,0.038,,,1.0,1.0,,,1.0,1.0,
CCL1,ACKR1,,,,,,,,,,,,,,,,
IGF1,ITGA6,,,,,,,,,,,,,,,,
CCL18,ACKR1,,,,,,0.978,0.0,,,0.032,0.0,,,0.98,0.3,
CXCL3,ACKR1,,,,,,0.848,0.0,,,0.552,0.006,,,,,
CXCL5,ACKR1,,,,,,0.0,0.0,,,1.0,0.914,,,,,
CXCL9,ACKR1,,,,,,0.854,0.0,,,0.0,0.0,,,1.0,0.998,
CXCL10,ACKR1,,0.004,0.0,,,0.0,0.0,,,0.984,0.79,,,1.0,1.0,
CXCL13,ACKR1,,,,,,1.0,0.0,,,0.0,0.0,,,,,
CCL7,ACKR1,,,,,,0.998,0.0,,,0.246,0.0,,,,,
SPP1,ITGB6,,,,,,,0.004,,,,0.332,,,,,
ANGPTL4,CDH5,,,,,,0.0,0.174,,,1.0,0.986,,,0.974,0.888,
ANGPTL4,CDH11,,,,,,0.002,0.828,0.042,,1.0,1.0,0.952,,0.976,0.984,0.722
SLC1A2,GRIA1,,,,,,,,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,,,,,,,,
APOE,TYROBP,,,,,,1.0,0.0,1.0,,0.0,0.0,0.01,,1.0,0.656,1.0
CCL20,ACKR4,,,,,,,,,,,,,,,,
FAM3D,FPR2,,,,,,,,,,,,,,,,
HLA-G,KLRD1,,,,,,,,,,,,,,,,
FGFR4,MCAM,,,,,,,,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,,,,,,,,
IL2,DLK1,,,,,,,,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,,,,,,,,
DCN,LRP1,,,,,,0.998,0.036,0.77,,0.0,0.0,0.004,,,,
IFNG,MPL,,,,,,,,,,,,,,,,
TPO,MPL,,,,,,,,,,,,,,,,
HAPLN1,IL1RL1,,,,,,,,,,,,,,,,
SEMA3G,FCGR2A,,,,,,0.818,0.008,,,,,,,,,
VCAM1,VCAM1,,,,,,0.542,0.026,,,0.026,0.026,,,,,
CCL5,ACKR4,,,,,,,,,,,,,,,,
FLT4,FCRL1,,,,,,,,,,,,,,,,
CRLF1,LIFR,,,,,,0.194,0.496,,,0.388,0.498,,,,,
PCSK9,CD36,,,,,,,,,,,,,,,,
THBS1,GP9,,,,,,,,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,,,,,,,,
VCAN,LDLR,,,,,,0.0,1.0,,,0.048,0.89,,,,,
CEACAM5,CEACAM6,,,,,,,,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,,,,,,,,
CCN1,ITGA6,,,,,,0.0,1.0,,,0.994,1.0,,,0.802,1.0,
CCL3L1,CCR4,,,,,,,,0.0,,,,0.008,,,,0.006
CTSG,CXCL12,,,,,,,,,,,,,,,,
KDR,FLT1,,,,,,0.096,0.686,0.57,,0.544,0.716,0.656,,,,
KDR,CDH5,,,,,,0.112,0.202,,,0.54,0.326,,,,,
CXCL8,MMP9,,,,,,1.0,0.0,0.582,,1.0,0.0,0.738,,,,
CCL22,CCR7,,,,,,1.0,0.0,,,0.012,0.0,,,0.062,0.0,
FLT4,KDR,,,,,,0.052,0.544,,,0.478,0.616,,,,,
KDR,FLT4,,,,,,0.052,0.478,,,0.544,0.616,,,,,
THBS1,MMP2,,,,,,0.0,0.004,,,1.0,1.0,,,0.996,0.86,
NPPA,MME,,,,,,,,,,,,,,,,
THBS1,MMP9,,,,,,0.976,0.0,0.5,,1.0,0.0,1.0,,0.998,0.0,0.982
SFTPA1,SFTPA2,,,,,,,,,,,,,,,,
KDR,PLCG2,,,,,,0.216,0.432,0.304,,0.556,0.554,0.436,,,,
IFNG,TNF,,,,,,0.822,0.432,,,0.092,0.124,,,0.316,0.378,
PRSS3,F2RL3,,,,,,,,,,,,,,,,
CSF1,TNF,,,,,,0.286,0.364,,,0.262,0.292,,,0.916,0.904,
KDR,HSP90AA1,,,,,0.108,0.004,0.998,0.738,0.116,0.416,0.998,0.762,,,,
THBS1,ELANE,,,,,,,,,,,,,,,,
AREG,MMP9,,,,,,1.0,0.0,0.518,,1.0,0.0,1.0,,0.986,0.0,0.982
IL1RN,IL2RA,,,,,,0.53,0.414,,,0.142,0.158,,,0.684,0.658,
CCL1,ACKR4,,,,,,,,,,,,,,,,
CTSG,F2RL3,,,,,,,,,,,,,,,,
PRSS2,F2RL3,,,,,,,,,,,,,,,,
PRSS1,F2RL3,,,,,,,,,,,,,,,,
THBS4,CD36,,,,,,,,,,,,,,,,
MDK,PTPRB,,,,,,0.0,0.138,,,1.0,1.0,,,1.0,1.0,
CSF2,CSF2,,,,,,0.8,0.064,,,0.064,0.064,,,,,
IFNG,IFNG,,,,,,0.904,0.096,0.326,,0.096,0.096,0.116,,0.326,0.116,0.318
IL13,IL13,,,,,,,,,,,,,,,,
IL1A,IL1B,,,,,,0.0,1.0,0.982,,0.706,1.0,0.984,,,,
IL1B,IL1B,,,,,,0.0,1.0,0.98,,1.0,1.0,1.0,,0.98,1.0,0.986
IL1RN,IL1B,,,,,,0.012,1.0,0.986,,0.12,0.942,0.742,,0.652,0.996,0.96
IL2,IL2,,,,,,,,,,,,,,,,
IL22,IL22,,,,,,,,,,,,,,,,
IL6,IL6,,,,,,0.366,0.318,,,0.318,0.324,,,,,
CLU,TYROBP,,,,,,0.906,0.0,1.0,,0.008,0.0,1.0,,,,
ICOS,CD40LG,,,,,,,0.098,,,,0.004,,,,,
CCL26,CXCR6,,,,,,,,,,,,,,,,
VEGFA,MMP9,,,,,,1.0,0.0,0.572,,,,,,0.792,0.0,0.694
OSM,CXCL10,,,,,,,,,,,,,,,,
THBS1,VCAM1,,,,,,0.0,0.022,,,1.0,0.996,,,0.994,0.876,
IFNG,TYMS,,,,,,0.024,0.558,,,0.07,0.336,,,0.276,0.52,
CSF1,VEGFA,,,,,,0.026,,0.612,,0.242,,0.438,,0.902,,0.908
VEGFA,CSF1,,,,,,0.026,0.242,0.902,,,,,,0.612,0.438,0.908
CSF2,FLT1,,,,,,0.352,0.71,0.588,,0.062,0.496,0.422,,,,
IFNG,CD74,,,,,0.02,0.952,0.0,1.0,0.01,0.116,0.0,1.0,0.012,0.392,0.0,1.0
CCL1,CCR7,,,,,,,,,,,,,,,,
IL6,IL17A,,,,,,,,,,,,,,,,
IL10,PTGS2,,,,,,,,,,,,,,,,
CXCL1,CXCR6,,,,,,0.246,0.066,0.946,,0.522,0.126,0.924,,,,
VWF,THBS1,,,,,,0.0,1.0,0.992,,0.396,1.0,0.954,,1.0,1.0,1.0
XCL2,CCR7,,,,,,0.996,0.0,,,0.32,0.0,,,,,
XCL1,CCR4,,,,,,,,0.0,,,,,,,,
CSF2,PLAU,,,,,,0.02,0.946,0.902,,0.042,0.88,0.846,,,,
STC1,TNF,,,,,,0.04,0.356,,,,,,,,,
CSF2,CD1A,,,,,,,,,,,,,,,,
CSF2,MMP9,,,,,,1.0,0.0,0.588,,0.3,0.0,0.448,,,,
IFNG,PTGS2,,,,,,,,,,,,,,,,
CXCL8,CCR6,,,,,,,,,,,,,,,,
CTSG,THBD,,,,,,,,,,,,,,,,
CCL2,TNF,,,,,,0.502,0.39,,,0.074,0.09,,,0.962,0.968,
IL13,CXCL12,,,,,,,,,,,,,,,,
IL10,VEGFA,,,,,,0.006,,0.62,,0.122,,0.558,,,,
PPBP,CCR4,,,,,,,,,,,,,,,,
CXCL2,CXCR6,,,,,,0.154,0.066,0.944,,0.966,0.436,0.998,,0.776,0.278,0.956
CXCL13,CCR6,,,,,,,,,,,,,,,,
IL2,CXCL12,,,,,,,,,,,,,,,,
IL6,VEGFA,,,,,,0.008,,0.616,,0.28,,0.596,,,,
CCL8,CCR4,,,,,,,,0.0,,,,0.178,,,,
CD40LG,C3,,,,,,,,,,0.074,0.174,0.434,,,,
CXCL14,CCR7,,,,,,,,,,,,,,0.018,0.0,
CXCL11,CCR6,,,,,,,,,,,,,,,,
CXCL11,CXCR6,,,,,,0.0,0.054,0.92,,0.994,0.892,0.998,,1.0,0.978,1.0
CXCL12,CCR6,,,,,,,,,,,,,,,,
CXCL9,CCR4,,,,,,,,0.0,,,,0.0,,,,0.998
IL2,IDO1,,,,,,,,,,,,,,,,
CCL1,CXCR6,,,,,,,,,,,,,,,,
CCL11,PIK3C2G,,,,,,,,,,,,,,,,
IL1B,PLAUR,,,,,,0.0,0.996,,,1.0,1.0,,,0.98,1.0,
CCL7,CCR7,,,,,,1.0,0.0,,,0.256,0.0,,,,,
