cluster_1,,B cell,B cell,B cell,B cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,
CCL2,MMP14,0.0,0.0,0.0,0.0,0.0,0.26256767197735725,0.3344274031715817,0.0,0.0,0.3169653318535135,0.3888250630477379,0.0,0.0,0.1923503888450045,0.26421012003922895,0.0
TNFSF9,TNFRSF9,0.0,0.0,0.0,0.0,0.0,0.023861835816940413,0.056220078563608805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.003968306848117102,0.0,0.04121333280738052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.0,0.0,0.0,0.0,0.0,0.3478735491428384,0.3673738514259338,0.2875708348202982,0.0,0.19443482320761935,0.21393512549071475,0.13413210888507918,0.0,0.22628951621931664,0.24578981850241205,0.16598680189677648
HLA-DRB5,CTSL,0.0,0.0,0.0,0.0,0.0,0.7321163799780716,0.8469145915133037,0.5130539600867368,0.0,0.9705506139811397,1.085348825516372,0.7514881940898049,0.0,0.38207860860368187,0.49687682013891404,0.16301618871234713
HLA-DQA2,CTSL,0.0,0.0,0.0,0.0,0.0,0.5228412948181721,0.6376395063534043,0.30377887492683736,0.0,0.6513340255333058,0.766132237068538,0.4322716056419711,0.0,0.42248431062696096,0.5372825221621932,0.20342189073562622
HLA-DRB1,CTSL,0.0,0.0,0.0,0.0,0.0,1.0599462806821345,1.1747444922173669,0.8408838607907998,0.0,1.3269719376669502,1.4417701492021824,1.1079095177756155,0.0,0.8492583412669727,0.9640565528022049,0.630195921375638
IL2,IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQB2,CTSL,0.0,0.0,0.0,0.0,0.0,0.3375614681047595,0.4523596796399917,0.11849904821342479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
