signature	expected_direction	n_scored_samples	dynamic_range_p90_p10	spearman_DM1_like	p_DM1_like	n_DM1_like	spearman_MHC1	spearman_MHC2	spearman_TLS_CABRITA	verdict	q_DM1_like
IFNG_TIS	immune_readiness_axis	778	2.5393895685065964	0.364180817007011	5.695639679314451e-24	719	0.8949699197287456	0.908222398391143	0.6514394945553508	PASS	1.9934738877600578e-23
CYTOLYTIC	immune_readiness_axis	778	2.489259304524394	0.32641445291161897	2.5980525835037054e-19	719	0.8097389382505054	0.8020735310772272	0.6120568179088292	PASS	7.274547233810375e-19
MHC1_CORE	immune_readiness_axis	206	2.591612166571965	0.5015481129906275	1.6024770165066788e-14	206	1.0	0.8874362960598791	0.5406603589041378	PASS	2.8043347788866878e-14
MHC2_CORE	immune_readiness_axis	206	2.6358630549384507	0.46528156712550667	1.837678672824254e-12	206	0.8874362960598791	1.0	0.5849245161932413	PASS	2.338863765412687e-12
ANTIGEN_PROCESSING	immune_readiness_axis	206	2.5030580980887303	0.5047177808206954	1.0303241202220149e-14	206	0.9337636888399276	0.8581597669079265	0.5261394640117781	PASS	2.0606482404440298e-14
TLS_CABRITA	immune_readiness_axis	206	2.4439686122558997	-0.013025289391771082	0.8525871893711925	206	0.5406603589041378	0.5849245161932413	1.0	PASS	0.8525871893711925
CXCL13_AXIS	immune_readiness_axis	206	2.4325623100745717	0.21491899089526986	0.0019206828945408918	206	0.661682916533682	0.6642911317251627	0.7429247015137943	PASS	0.002068427732582499
T_CELL_EXHAUSTION	immune_readiness_axis	778	2.585325476109629	0.4065713366986801	5.3765055941547424e-30	719	0.746519920243525	0.7631919062964373	0.6916499363389582	PASS	3.76355391590832e-29
TREG	context_dependent_suppressive	778	2.573760327054324	0.43652786225581547	8.247992713287516e-35	719	0.6017941775027712	0.6591886391637238	0.44224553600538113	PASS	1.1547189798602522e-33
M2_TAM	context_dependent_suppressive	778	2.4260776633814687	0.39958785479161585	6.088180997431548e-29	719	0.6996681389355051	0.7542786740657613	0.2622073050616534	PASS	2.841151132134722e-28
MDSC_LIKE	context_dependent_suppressive	206	2.2559039350897336	0.48202905414448827	2.204687842571354e-13	206	0.5909302748578352	0.6826159025625713	0.36794023068977	PASS	3.0865629795998955e-13
STROMAL_EXCLUSION	higher_with_lineage_silencing	206	2.5649474151419955	0.5516642815225112	8.416602925111609e-18	206	0.6088596951820088	0.586989124429024	0.16658327241778115	PASS	1.9638740158593754e-17
IFN_GAMMA_RESPONSE	immune_readiness_axis	206	2.5498217345913154	0.4462745421038001	1.7803356627033744e-11	206	0.9124408432771538	0.8619032420801203	0.6150645018480577	PASS	2.0770582731539366e-11
DEDIFFERENTIATED_EPI	higher_with_lineage_silencing	206	2.2960174719014486	0.4957194384100869	3.567712423900231e-14	206	0.4022313967335537	0.3657452116944133	-0.0021078496981677287	PASS	5.5497748816225813e-14
