dataset	signature	n_genes	n_present	genes_present	genes_missing	source_file
GSE29265	IFNG_TIS	8	8	IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA;GZMB;PRF1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	CYTOLYTIC	5	5	GZMA;GZMB;PRF1;GNLY;NKG7		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	MHC1_CORE	7	7	HLA-A;HLA-B;HLA-C;B2M;TAP1;TAP2;NLRC5		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	MHC2_CORE	7	7	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;CIITA		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	ANTIGEN_PROCESSING	8	8	TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;ERAP1;ERAP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	TLS_CABRITA	7	7	CXCL13;CCL19;CCL21;LTB;CD79A;MS4A1;BANK1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	CXCL13_AXIS	6	6	CXCL13;CXCR5;ICOS;PDCD1;TOX;BCL6		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	T_CELL_EXHAUSTION	7	7	PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;TOX;CXCL13		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	TREG	5	5	FOXP3;IL2RA;CTLA4;IKZF2;TNFRSF18		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	M2_TAM	6	6	CD163;MRC1;MSR1;IL10;VSIG4;MARCO		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	MDSC_LIKE	6	6	S100A8;S100A9;ARG1;IL1B;CXCR2;FCGR3B		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	STROMAL_EXCLUSION	7	7	TGFB1;TGFBI;COL1A1;COL3A1;ACTA2;FAP;CXCL12		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	IFN_GAMMA_RESPONSE	7	7	STAT1;IRF1;GBP1;GBP2;CXCL9;CXCL10;IDO1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE29265	DEDIFFERENTIATED_EPI	7	7	VIM;FN1;SNAI2;TWIST1;ZEB1;ITGA5;MMP2		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE29265_expression_gene_log.tsv.gz
GSE33630	IFNG_TIS	8	8	IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA;GZMB;PRF1		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	CYTOLYTIC	5	5	GZMA;GZMB;PRF1;GNLY;NKG7		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
GSE33630	MHC1_CORE	7	7	HLA-A;HLA-B;HLA-C;B2M;TAP1;TAP2;NLRC5		/home/seungho/personal/THCA_data_analysis/project/results/p_external_expression_validation/GSE33630_expression_gene_log.tsv.gz
