	SLC5A5	TPO	TG	TSHR	PAX8	NKX2-1	FOXE1	DIO1	group	RAI_score_8gene
NG_10	3.0088934367522	8.548751401516554	12.26723653339606	7.161308241358389	8.741588262069026	7.3391932045192485	7.003546650476236	6.118778506084561	PTC	0.6478523682322893
NG_11	2.3835373102974224	9.290230361401688	12.18080704083668	7.377246386880761	8.785240136867625	7.213290389429888	7.092043649586086	3.772308502876574	PTC	0.44076872719740023
NG_12	4.383647274657107	8.605940802996379	12.521560057192008	7.3338013809248475	8.600081835832809	7.08317860909354	7.088714981333602	5.341507650793681	PTC	0.7084382331042042
NG_16	3.28490540232823	8.973592822725792	12.188503352057818	7.539909042363916	8.716249416464056	7.061614986846647	7.395541718427445	6.043102701070567	PTC	0.7993332523237452
NG_18	2.789070865036297	8.815010696126912	12.43180034205214	7.339555859034113	9.236039490280865	7.116349513653104	7.679466995552442	4.812500895087041	PTC	0.7541177764539317
NG_21	4.036648563004691	8.753348718812257	11.775052348226398	6.938815941357765	8.611582824175715	6.556637680699207	6.5230873881583324	6.528323936095962	PTC	0.40773414370900424
NG_22	0.9421571418814305	7.938427319395504	12.21372576241491	7.366382744962436	8.647157094784495	7.2545999383591715	7.548052486831704	3.784578837805753	PTC	0.22476286523418262
NG_32	4.555452736612963	9.651682215668771	12.657503407308536	7.386976541738921	8.639043857403161	6.8798761206707715	7.16560935315922	6.37197253269267	PTC	0.9857342365005339
NG_35	1.0659768712000757	7.402701220374786	11.270995510213535	6.87644214549236	8.12837253855716	6.701336989582593	6.350081705217562	4.445808925091062	PTC	-0.45604360818856243
TH_1	0.9712319441541485	6.10999034721161	10.827702643899134	6.342541287703763	7.448586285124793	6.1266632199501165	5.574871133806781	3.607894970253394	PTC_HT	-1.299957438745321
TH_14	2.8891655010703596	7.169804190711888	11.667632322199958	6.378974598578922	7.761168568337339	5.895770064111767	6.154644468989335	5.019995048831306	PTC_HT	-0.5628721357902021
TH_2	4.738943705194877	7.831261716632516	10.890541412793521	6.2571394891827845	7.692559124778145	5.697864513258045	5.701106949000861	4.41714756506322	PTC_HT	-0.6981355964380516
TH_20	4.8419242737180035	7.721842026402894	11.561935999322118	6.760998487941194	7.536091151361868	6.033172016847418	6.280814931695173	4.5906738110981795	PTC_HT	-0.30503332266052946
TH_29	2.028956294137712	8.00424522932688	11.005207964892264	6.142065854365193	7.528562653610765	5.677594045959769	6.045049391252596	6.184031650135799	PTC_HT	-0.6878019700487816
TH_31	5.868370672043669	9.37098084118477	11.906975081714398	7.266692631306792	8.117889624052218	6.903598254498349	6.702745617677928	5.35576322103448	PTC_HT	0.6019216925440196
TH_4	3.410813376951576	6.083582697714417	11.449056600972389	7.212673218491624	8.172274709898076	6.9893614246350655	6.646769956361771	3.311568796704635	PTC_HT	-0.31128838148579313
TH_8	1.6680542064886557	6.959231698157671	10.16042446518446	5.774896067891645	6.769920932538742	5.062448535481414	5.167897392241353	3.6267397933858603	PTC_HT	-1.8024206523460262
TH_9	3.361574957957779	9.198922235511283	12.180950605638044	7.226535310357483	8.519932890762544	6.570429383118729	7.133236299256676	5.824523785921288	PTC_HT	0.5528898104039603
