	HLA_I	HLA_II	group
NG_10	-0.40003981472696093	-0.6148096567178175	PTC
NG_11	-0.8377661681735593	-0.9062715510713382	PTC
NG_12	-0.8994524700889167	-0.8078329449098147	PTC
NG_16	-1.5954571841783638	-1.245108841915858	PTC
NG_18	-0.8362452605178761	-0.9700068953586666	PTC
NG_21	-0.587887839818925	-0.6376520570720088	PTC
NG_22	-0.8587188992875179	-0.9506345028625501	PTC
NG_32	-1.4170395945975645	-1.3009113289510759	PTC
NG_35	0.79767497673226	-0.06319433570072104	PTC
TH_1	0.8159902832279374	1.2686820193622288	PTC_HT
TH_14	0.7816645952710506	0.9533077899385439	PTC_HT
TH_2	1.2263431364155122	1.196232693233902	PTC_HT
TH_20	1.2977837269815513	1.2411419650203888	PTC_HT
TH_29	1.2858833019060196	1.2330708013443452	PTC_HT
TH_31	0.12619213082340705	0.058115818748079175	PTC_HT
TH_4	0.1693731468802543	0.4469556027831736	PTC_HT
TH_8	1.1277577822853035	1.1235148145107998	PTC_HT
TH_9	-0.19605584913360927	-0.024599390381615967	PTC_HT
