gene	baseMean	log2FoldChange	stat	pvalue	padj
IGHV3-66	622.9871633179237	7.249537332575795	13.237061046398695	5.360575559643705e-40	1.4344900197606556e-35
BLK	916.0634294500376	5.97030378481319	12.710634752640063	5.1613774456040695e-37	6.905923022218245e-33
IGHV3-13	439.9747121246442	7.098692750357237	12.558706848263755	3.561052445607479e-36	3.1764587814818715e-32
IGHV3-16	201.6284778278519	7.858686920934608	12.457271524405604	1.276640670131289e-35	8.540726083178323e-32
LOC102724971	290.4034113239964	7.424853733912512	12.286852688521561	1.0657510947839022e-34	5.703899859283444e-31
IGHV2-70	673.3624012465011	8.040882870556203	11.709889458137754	1.1342740498355216e-31	5.058862262266427e-28
IGKV1-8	493.52905162448155	7.938477704508539	11.607365846973089	3.78084082209158e-31	1.4453614342738667e-27
FER1L4	799.1579093600396	3.476555859073766	11.577519020313595	5.35741594915426e-31	1.7920556349920998e-27
GP1BA	201.94098785689832	7.01905288570607	11.561934604308233	6.424486994563979e-31	1.8866527264066905e-27
MIR650	378.722587802475	6.196984165832578	11.553951466570767	7.050271772820218e-31	1.8866527264066905e-27
MIAT	2466.4474349594825	4.078940207520836	11.531636795034377	9.138945904528552e-31	2.2232562945925822e-27
IGKV1D-12	920.2416441075153	7.321555450137323	11.481136523059984	1.64108988479647e-30	3.659630443096128e-27
SLC2A5	329.4908986081917	4.541222656700461	11.2574115608516	2.1292103651849578e-29	4.382897644026882e-26
SLC17A9	850.0430418743497	3.3819725793882327	11.000919575366943	3.7825473002223898e-28	7.230068982425082e-25
EOMES	500.5855136138304	4.850907540318017	10.97053851659258	5.295604921352193e-28	9.447359179692312e-25
IGHJ1	343.20843276650993	7.133001755420412	10.897560603289646	1.1838873464349339e-27	1.9800515869124267e-24
IGHJ2	265.25053480402534	6.6499354402276305	10.86805157847007	1.6365853067708704e-27	2.5761778123052052e-24
IGHV4-4	1361.007084206229	7.6495562599546965	10.837748930357261	2.280124780592662e-27	3.389785507147758e-24
LINC00426	146.36273265184047	4.2038615573259035	10.798300455468476	3.506335544840743e-27	4.93839679894412e-24
MEI1	462.38525478252825	3.583083216602258	10.75513451474719	5.605217938049136e-27	7.295403554866876e-24
HLA-DOB	1035.6033276044122	5.4308896023682385	10.75318342336483	5.725092475792391e-27	7.295403554866876e-24
ADAM28	1037.2862928692566	3.7911187459333053	10.712918476117215	8.852619960087303e-27	1.07680050059971e-23
IGHGP	15419.464218994573	7.134982874620417	10.694807767900917	1.0764262864409686e-26	1.2523985837026226e-23
IGLV6-57	1152.4555217080547	6.344332344437842	10.663502079551812	1.5080946662167425e-26	1.681525552831668e-23
IGLC5	107.04105086431154	7.1553818624040515	10.656520825049258	1.6256555472924348e-26	1.7401016978218225e-23
IL17REL	204.89214279167817	5.617497873472889	10.64216543252988	1.8966930479936342e-26	1.9521348447811405e-23
PDCD1	747.4377288772945	4.70671912229143	10.557079793550036	4.7108948614957005e-26	4.6690202405046275e-23
FDCSP	1709.2966814635809	10.281002390621442	10.542176508860697	5.520621040717803e-26	5.2761363946288714e-23
IGHV3-11	1595.575216927328	6.444200699865615	10.461614106179635	1.296283407094095e-25	1.1961566887530338e-22
ANKRD36BP2	371.41961679762153	4.626016041684404	10.445506360077061	1.5363330509417313e-25	1.3672609824369987e-22
IGHV4-55	279.61120799513867	8.411042479784232	10.442613058314432	1.5838972517020538e-25	1.3672609824369987e-22
IGHV3-15	2036.9222480712674	6.741466387063806	10.433480780123631	1.7438077893921582e-25	1.4582592638791924e-22
IGHJ3	729.8835094199884	6.729159775226986	10.42337884883301	1.9393832943121848e-25	1.5726635441149715e-22
ADGRG5	659.5510460683928	4.068452354639438	10.377274124201447	3.1463052249192176e-25	2.4763272887893605e-22
IGHV3-43	453.50936245123654	7.492499336589276	10.341102647259717	4.592228691135761e-25	3.5110868507083704e-22
MATK	266.21133310833443	3.240729341106714	10.316564828217041	5.930719834495676e-25	4.4085017436417855e-22
POU2AF1	4216.646557654198	5.572682385598371	10.307220231482155	6.536461563430429e-25	4.727451660470224e-22
KLHL6	2041.3311624879398	4.744350223541439	10.218702251606087	1.6351524128888213e-24	1.1231132120671212e-21
ALPK2	249.0740804460041	7.920990515273589	10.218603182066067	1.636824187990199e-24	1.1231132120671212e-21
LINC00926	1356.959080615089	4.234282787143077	10.209500829624941	1.7978736054159428e-24	1.1889872380181703e-21
CCL5	2665.790635675907	3.389180704238215	10.20695203872295	1.8457180227223548e-24	1.1889872380181703e-21
POU2F2	1940.7789364717594	4.448701075633108	10.205884842671656	1.866123467741523e-24	1.1889872380181703e-21
MAP4K1	1778.873846439189	4.2487492053840406	10.143869603707506	3.52839549380115e-24	2.1958107770725298e-21
