Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	geneset_db
prerank	TICAM1-dependent Activation Of IRF3/IRF7 R-HSA-9013973	0.7426732736552308	1.4266846451185402	0.06223479490806223	0.11307870300756497	1.0	7/12	13.82%	TRAF3;IKBKE;UBA52;TANK;IRF3;TBK1;RPS27A	Reactome_2022
prerank	ROS And RNS Production In Phagocytes R-HSA-1222556	0.6278973186481767	1.4246659460657947	0.035211267605633804	0.11392489499309442	1.0	9/32	8.00%	HVCN1;CYBA;NCF4;RAC2;CYBB;NCF1;TCIRG1;ATP6V0D2;ATP6V0A2	Reactome_2022
prerank	Nucleotide-like (Purinergic) Receptors R-HSA-418038	0.7043441115335698	1.4249036679245846	0.060109289617486336	0.11398161502074676	1.0	9/16	18.24%	P2RY10;P2RY12;ADORA2A;P2RY13;ADORA2B;P2RY6;PPAN-P2RY11;ADORA3;LPAR6	Reactome_2022
prerank	TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116	0.7285273730078589	1.4251376860519265	0.04594594594594595	0.11405635145390979	1.0	10/14	15.78%	E2F8;E2F1;E2F7;CCNE2;CCNA2;TP53;ARID3A;CCNE1;CDK2;CDKN1B	Reactome_2022
prerank	ALK Mutants Bind TKIs R-HSA-9700645	0.7411947790760162	1.4252774388785325	0.06060606060606061	0.11424966680180149	1.0	5/12	11.26%	BCL11A;EML4;STRN;EIF2AK3;BIRC6	Reactome_2022
prerank	Regulation Of TP53 Activity R-HSA-5633007	0.5569246668123932	1.423863757199717	0.00101010101010101	0.11443715546975912	1.0	64/155	20.37%	AURKB;BLM;CDK5R1;TPX2;CHEK1;EXO1;BRIP1;TP53INP1;PIP4K2A;CDKN2A;PRDM1;TP63;CDK1;POU4F1;RFC4;AURKA;CCNA2;DYRK2;RMI2;TP53;TOPBP1;ATM;PPP2R5C;MTA2;USP7;UBA52;DNA2;RFC3;DPEP3;KAT6A;MTOR;MAP2K6;TP73;CHEK2;MDM4;DAXX;RBBP4;RFC2;BANP;BARD1;RNF34;RPS27A;RICTOR;RFC5;TAF7;RAD17;TAF4;CDK2;SUPT16H;TAF10;TAF15;TAF2;MDM2;TAF5;TAF1;MRE11;PHF20;TAF9;GATAD2B;EHMT1;GATAD2A;NUAK1;TP53RK;RMI1	Reactome_2022
prerank	Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942	0.5695327790038123	1.4226109345602473	0.006224066390041493	0.11494382899706969	1.0	37/87	16.71%	NEK2;CCNB2;PLK1;PLK4;CNTRL;CDK1;AURKA;TUBA4A;HAUS8;NDE1;CEP135;HAUS6;TUBB4A;SFI1;CCNB1;CKAP5;NEDD1;UBA52;BORA;CEP250;HAUS5;OPTN;PCNT;HAUS3;ODF2;PRKCA;CEP152;CEP192;CEP76;CUL1;RPS27A;PPP1R12A;RAB8A;CDK5RAP2;CEP131;HAUS1;OFD1	Reactome_2022
prerank	NIK To Noncanonical NF-kB Signaling R-HSA-5676590	0.5854233891771284	1.4230700411167245	0.0227765726681128	0.11504508253392058	1.0	30/57	26.25%	RELB;NFKB2;MAP3K14;PSMB10;PSMB9;PSMB8;PSMA8;UBA52;PSMA5;UBA3;CUL1;RPS27A;PSME4;PSME2;PSME1;PSMD13;PSMB3;PSMA7;PSMB2;PSMA3;CHUK;PSMD12;PSMD7;PSMD4;PSMA6;PSMA4;PSMB4;UBC;PSMD11;PSMA2	Reactome_2022
prerank	Vif-mediated Degradation Of APOBEC3G R-HSA-180585	0.5909534874956605	1.422639637374404	0.029017857142857144	0.11525512327404669	1.0	26/52	26.25%	APOBEC3G;PSMB10;PSMB9;PSMB8;PSMA8;UBA52;PSMA5;RPS27A;PSME4;PSME2;PSME1;PSMD13;PSMB3;PSMA7;PSMB2;CUL5;PSMA3;PSMD12;PSMD7;PSMD4;PSMA6;PSMA4;PSMB4;UBC;PSMD11;PSMA2	Reactome_2022
prerank	Transport Of Mature Transcript To Cytoplasm R-HSA-72202	0.5784008491684764	1.421696043745552	0.005279831045406547	0.11571166264775086	1.0	40/81	21.72%	NUP210;DDX39A;NUP62;NUP88;NUP155;NUP50;NDC1;WDR33;CPSF2;NUP153;NUP107;ALYREF;CPSF3;NUP205;TPR;NCBP1;FIP1L1;NUP188;SRSF7;U2AF2;SRSF1;NUP42;GLE1;NUP43;SRRM1;SEH1L;FYTTD1;NUP133;CPSF4;CDC40;THOC2;SRSF2;SLBP;THOC6;SRSF4;DHX38;ZC3H11A;NUP85;RNPS1;NUP37	Reactome_2022
prerank	TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008	0.6142399380715361	1.4211919279974623	0.03125	0.11603833901718599	1.0	16/44	12.16%	BIRC5;TP53INP1;TP63;TNFRSF10A;BID;TP53;ATM;BAX;NLRC4;CASP2;CASP10;APAF1;TP73;PMAIP1;CASP1;IGFBP3	Reactome_2022
prerank	DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928	0.5786942019717985	1.4207698302544172	0.013978494623655914	0.11621416306539713	1.0	22/68	13.82%	TNFAIP3;NFKB2;CASP8;TRAF3;IKBKE;NLRC5;CYLD;RNF125;IKBKB;CASP10;UBA52;TANK;NFKB1;ITCH;OTUD5;SIKE1;IRF3;RNF216;IKBKG;HMGB1;TBK1;RPS27A	Reactome_2022
prerank	E2F Mediated Regulation Of DNA Replication R-HSA-113510	0.6532875404804334	1.4179871173703265	0.060453400503778336	0.11829831233906683	1.0	9/22	10.04%	ORC6;E2F1;CDK1;POLA2;PRIM1;RB1;CCNB1;MCM8;POLA1	Reactome_2022
prerank	Transport Of SLBP Independent Mature mRNA R-HSA-159227	0.6228273692767347	1.4177004774532518	0.029691211401425176	0.1183068311452928	1.0	17/34	16.78%	NUP210;NUP62;NUP88;NUP155;NUP50;NDC1;NUP153;NUP107;ALYREF;NUP205;TPR;NCBP1;NUP188;NUP42;NUP43;SEH1L;NUP133	Reactome_2022
prerank	G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616	0.6895474668749585	1.4184483231875702	0.06357615894039735	0.11844379729055846	1.0	6/18	9.10%	GNG7;ARHGEF6;GNG2;GNG4;GNGT2;PKN1	Reactome_2022
prerank	Regulation Of IFNA/IFNB Signaling R-HSA-912694	0.7118228604024549	1.4180678284456907	0.04411764705882353	0.11855435946792567	1.0	6/14	11.00%	PTPN6;IFNAR2;PTPN1;JAK1;TYK2;SOCS1	Reactome_2022
prerank	Establishment Of Sister Chromatid Cohesion R-HSA-2468052	0.7541350226677542	1.4164624235864407	0.0524822695035461	0.11919239942315486	1.0	9/11	20.68%	CDCA5;ESCO2;SMC1A;WAPL;SMC3;PDS5B;ESCO1;RAD21;STAG2	Reactome_2022
prerank	Platelet Activation, Signaling And Aggregation R-HSA-76002	0.5444745462891606	1.4167269459297294	0.0	0.11923452632337847	1.0	49/241	7.71%	GP1BA;PIK3R6;PIK3CG;PIK3R5;PRKCB;PLCG2;RASGRP1;APBB1IP;ADRA2A;FERMT3;LCK;CSK;CTSW;PTPN6;RASGRP2;VAV1;GNG7;LCP2;DGKD;RAC2;DGKA;PLEK;P2RY12;GNG2;GNA13;SERPINA1;DGKZ;PFN1;ARRB2;TGFB1;CYRIB;RHOG;GNG4;TUBA4A;SERPINF2;SRGN;PTPN1;PRKCG;GNGT2;PRKCH;GRB2;LYN;PIKFYVE;FYN;LHFPL2;TMSB4X;CAP1;PIK3CA;TTF2	Reactome_2022
prerank	Interleukin-6 Signaling R-HSA-1059683	0.7509089003377274	1.415823235978596	0.06489675516224189	0.1196017880674699	1.0	10/11	22.89%	CBL;JAK2;JAK1;IL6R;TYK2;IL6ST;STAT3;IL6;STAT1;PTPN11	Reactome_2022
prerank	Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276	0.7448095740438321	1.4147094439969015	0.0469208211143695	0.12057323702100875	1.0	5/11	7.65%	PIK3CG;PIK3R5;JAK2;LYN;PIK3CA	Reactome_2022
prerank	Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117	0.6860790034243103	1.4143930071091007	0.057971014492753624	0.1206250313797414	1.0	11/17	18.37%	CNTRL;MYO18A;STAT5A;GRB2;PIK3CA;STAT5B;GAB2;FGFR1OP2;STAT3;CPSF6;LRRFIP1	Reactome_2022
prerank	Mitochondrial Iron-Sulfur Cluster Biogenesis R-HSA-1362409	-0.7786689721205704	-1.798589230541933	0.0	0.12145384859564762	0.404	8/13	17.69%	FDX2;ISCA1;FDX1;FXN;FDXR;GLRX5;NFS1;ISCA2	Reactome_2022
prerank	Condensation Of Prophase Chromosomes R-HSA-2299718	0.6098093070786951	1.4122772696202754	0.04040404040404041	0.12248376284889771	1.0	22/38	25.49%	PLK1;H2AX;SMC4;CDK1;NCAPG2;RB1;CCNB1;H2AZ1;NCAPD3;PHF8;SET;MCPH1;H2BC9;H2BC11;H2AC20;H2AB1;H3C13;H2BC13;H3C7;NCAPH2;H2AC14;H2AC7	Reactome_2022
prerank	Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978	0.594108424561656	1.4123462617073355	0.031425364758698095	0.12274613268035703	1.0	23/47	26.25%	PSMB10;PSMB9;PSMB8;PSMA8;CD207;FCGR1A;PSMA5;PSME4;PSME2;PSME1;PSMD13;PSMB3;PSMA7;PSMB2;PSMA3;PSMD12;PSMD7;PSMD4;PSMA6;PSMA4;PSMB4;PSMD11;PSMA2	Reactome_2022
