panel	n_genes	n_samples	auc_logreg	ci_lo	ci_hi	auc_rf	auc_ensemble
8-gene (current)	8	500	0.9623412698412699	0.9402560728537844	0.978943950612287	0.9793253968253968	0.9778571428571429
10-gene	10	500	0.9718253968253968	0.9523480566862302	0.9865311869959678	0.9837797619047619	0.9848015873015873
12-gene	12	500	0.969107142857143	0.9488629853351769	0.9852947352171753	0.9811904761904762	0.9825
16-gene	16	500	0.9751984126984128	0.9592402989472385	0.9883653134713639	0.9828472222222222	0.9847619047619047
