variant	n	auc_8gene_logreg	ci_lo	ci_hi	auc_8gene_rf	auc_braf_only	delta_auc
A	500	0.9623412698412699	0.9402560728537844	0.978943950612287	0.9793253968253968	0.849404761904762	0.11293650793650789
B	500	0.9251370204285003	0.8952095732711651	0.951919879859927	0.9528732768643083	0.7948015279853845	0.13033549244311582
C	500	0.6641897233201581	0.6119891066043996	0.7147438696172248	0.6941501976284585	0.4897684923771881	0.17442123094297002
D	500	0.9574932795698925	0.9355808369147096	0.9759913856174032	0.9740843413978495	0.8465851814516129	0.11090809811827962
