stage,lr_pair,recurrence,n_samples,PTC_recurrence,LPTC_recurrence,ATC_recurrence,PT_recurrence
PTC,THBS2__ITGA6,1.0,4,,1.0,1.0,0.3333333333333333
PTC,THBS2__CD36,1.0,4,,1.0,0.5,0.6666666666666666
PTC,THBS1__VCAM1,1.0,4,,1.0,0.75,0.6666666666666666
PTC,THBS1__MMP9,1.0,4,,1.0,0.75,0.6666666666666666
PTC,THBS1__MMP2,1.0,4,,1.0,0.75,0.3333333333333333
PTC,CCL2__VEGFA,1.0,4,,1.0,0.75,1.0
PTC,CCL2__PTGS2,1.0,4,,1.0,0.75,0.3333333333333333
PTC,CCL2__MMP14,1.0,4,,1.0,1.0,0.3333333333333333
PTC,CCL2__F3,1.0,4,,1.0,1.0,0.3333333333333333
PTC,CCL2__CXCR6,1.0,4,,1.0,1.0,0.6666666666666666
PTC,CCL2__CCR7,1.0,4,,1.0,0.75,0.3333333333333333
PTC,CCL2__CCR6,1.0,4,,1.0,0.5,0.0
PTC,CCL2__ACKR1,1.0,4,,1.0,0.75,1.0
PTC,CCL19__CXCR6,1.0,4,,1.0,0.75,0.6666666666666666
PTC,CCL19__CCR7,1.0,4,,1.0,0.75,0.3333333333333333
PTC,CCL19__CCR6,1.0,4,,1.0,0.5,0.0
PTC,CCL18__CXCR6,1.0,4,,1.0,1.0,0.6666666666666666
PTC,CCL18__CCR7,1.0,4,,1.0,0.75,0.3333333333333333
PTC,CCL18__CCR6,1.0,4,,1.0,0.5,0.0
PTC,CCL18__ACKR1,1.0,4,,1.0,0.75,0.6666666666666666
PTC,CCL17__CXCR6,1.0,4,,1.0,0.75,0.3333333333333333
PTC,CCL3__CCR6,1.0,4,,1.0,0.5,0.0
PTC,CCL26__CXCR6,1.0,4,,0.75,0.75,0.0
PTC,CCL26__CCR7,1.0,4,,0.75,0.5,0.0
PTC,CCL26__CCR6,1.0,4,,0.75,0.5,0.0
PTC,CCL22__CXCR6,1.0,4,,1.0,0.75,0.0
PTC,CCL22__CCR7,1.0,4,,1.0,0.75,0.0
PTC,CCL22__CCR6,1.0,4,,1.0,0.5,0.0
PTC,CCL21__CXCR6,1.0,4,,0.75,1.0,0.3333333333333333
PTC,CCL21__CCR7,1.0,4,,0.75,0.75,0.3333333333333333
PTC,CCL21__CCR6,1.0,4,,0.75,0.5,0.0
PTC,CCL5__TNFRSF4,1.0,4,,1.0,1.0,1.0
PTC,CCL5__MMP9,1.0,4,,1.0,1.0,0.6666666666666666
LPTC,VWF__THBS1,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,VCAM1__VCAM1,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,VCAM1__CDH5,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,TSPAN1__ITGA6,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,TPSAB1__MMP2,1.0,4,0.75,,0.75,0.0
LPTC,THBS4__ITGB6,1.0,4,1.0,,0.25,0.6666666666666666
LPTC,THBS4__ITGA6,1.0,4,1.0,,0.5,0.3333333333333333
LPTC,THBS4__CD36,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,THBS2__NOTCH4,1.0,4,1.0,,0.5,0.6666666666666666
LPTC,THBS2__NOTCH3,1.0,4,1.0,,0.75,0.0
LPTC,THBS2__ITGB6,1.0,4,1.0,,0.5,0.6666666666666666
LPTC,THBS2__ITGA6,1.0,4,1.0,,1.0,0.3333333333333333
LPTC,THBS2__CD36,1.0,4,1.0,,0.5,0.6666666666666666
LPTC,THBS1__VCAM1,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,THBS1__MMP9,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,CCL18__ACKR1,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,CCL17__CXCR6,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL17__CCR7,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL17__CCR6,1.0,4,1.0,,0.5,0.0
LPTC,CCL17__ACKR1,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL14__CXCR6,1.0,4,0.75,,0.75,0.6666666666666666
LPTC,CCL14__CCR7,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL14__CCR6,1.0,4,1.0,,0.5,0.0
LPTC,CCL14__ACKR1,1.0,4,1.0,,0.5,1.0
LPTC,CCL13__CXCR6,1.0,4,1.0,,0.75,0.0
LPTC,CCL13__CCR7,1.0,4,1.0,,0.75,0.0
LPTC,CCL13__CCR6,1.0,4,1.0,,0.5,0.0
LPTC,CCL13__ACKR1,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL2__VEGFA,1.0,4,1.0,,0.75,1.0
LPTC,CCL2__PTGS2,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL2__MMP14,1.0,4,1.0,,1.0,0.3333333333333333
LPTC,CCL2__F3,1.0,4,1.0,,1.0,0.3333333333333333
LPTC,CCL2__CXCR6,1.0,4,1.0,,1.0,0.6666666666666666
LPTC,CCL2__CCR7,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL2__CCR6,1.0,4,1.0,,0.5,0.0
LPTC,CCL2__ACKR1,1.0,4,1.0,,0.75,1.0
LPTC,CCL19__CXCR6,1.0,4,1.0,,0.75,0.6666666666666666
LPTC,CCL19__CCR7,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL19__CCR6,1.0,4,1.0,,0.5,0.0
LPTC,CCL18__CXCR6,1.0,4,1.0,,1.0,0.6666666666666666
LPTC,CCL18__CCR7,1.0,4,1.0,,0.75,0.3333333333333333
LPTC,CCL18__CCR6,1.0,4,1.0,,0.5,0.0
LPTC,CCL23__KDR,1.0,4,0.5,,0.25,0.0
LPTC,CCL23__CXCR6,1.0,4,0.75,,0.75,0.0
LPTC,CCL23__CCR7,1.0,4,0.75,,0.5,0.0
LPTC,CCL23__CCR6,1.0,4,0.5,,0.5,0.0
LPTC,CCL22__CXCR6,1.0,4,1.0,,0.75,0.0
LPTC,CCL22__CCR7,1.0,4,1.0,,0.75,0.0
LPTC,CCL22__CCR6,1.0,4,1.0,,0.5,0.0
LPTC,THBS1__MMP2,1.0,4,1.0,,0.75,0.3333333333333333
ATC,ADM__CALCRL,1.0,4,1.0,1.0,,1.0
ATC,ADM__HMOX1,1.0,4,1.0,1.0,,1.0
ATC,ADM__RAMP2,1.0,4,1.0,1.0,,0.6666666666666666
ATC,ADM__RAMP3,1.0,4,1.0,1.0,,0.3333333333333333
ATC,ANGPT2__TIE1,1.0,4,1.0,1.0,,1.0
ATC,ANGPTL4__CDH11,1.0,4,1.0,1.0,,1.0
ATC,APOE__TYROBP,1.0,4,1.0,1.0,,1.0
ATC,APOE__LRP1,1.0,4,1.0,1.0,,0.6666666666666666
ATC,APOE__LDLR,1.0,4,1.0,1.0,,0.3333333333333333
ATC,AREG__MMP9,1.0,4,0.5,1.0,,0.0
ATC,CCL2__MMP14,1.0,4,1.0,1.0,,0.3333333333333333
ATC,CCL2__CXCR6,1.0,4,1.0,1.0,,0.6666666666666666
ATC,CCL18__CXCR6,1.0,4,1.0,1.0,,0.6666666666666666
ATC,CCL2__F3,1.0,4,1.0,1.0,,0.3333333333333333
ATC,CCL3__CXCR6,1.0,4,1.0,1.0,,0.0
ATC,CCL21__CXCR6,1.0,4,1.0,0.75,,0.3333333333333333
ATC,CCL21__CXCL10,1.0,4,0.75,0.75,,0.3333333333333333
ATC,CCL5__CXCR6,1.0,4,1.0,1.0,,0.6666666666666666
ATC,CCL5__MMP9,1.0,4,1.0,1.0,,0.6666666666666666
ATC,CCL5__CXCL12,1.0,4,1.0,1.0,,0.6666666666666666
ATC,CSF1__VEGFA,1.0,4,1.0,1.0,,0.6666666666666666
ATC,CCN1__ITGA6,1.0,4,0.75,1.0,,0.6666666666666666
ATC,CLU__TYROBP,1.0,4,1.0,1.0,,1.0
ATC,CCL8__CXCR6,1.0,4,0.5,0.75,,0.0
ATC,CCL5__TNFRSF4,1.0,4,1.0,1.0,,1.0
ATC,VEGFA__VCAM1,1.0,4,1.0,1.0,,0.6666666666666666
ATC,THBS2__ITGA6,1.0,4,1.0,1.0,,0.3333333333333333
ATC,SPP1__PLAU,1.0,4,1.0,1.0,,0.6666666666666666
ATC,SPP1__ITGA6,1.0,4,1.0,1.0,,0.6666666666666666
ATC,VEGFA__MMP9,1.0,4,1.0,1.0,,0.6666666666666666
ATC,S100A8__MMP1,1.0,4,0.5,0.75,,0.0
ATC,S100A8__CD36,1.0,4,1.0,1.0,,0.3333333333333333
ATC,S100A8__CD68,1.0,4,1.0,1.0,,0.3333333333333333
ATC,JAG1__NOTCH3,1.0,4,1.0,1.0,,0.3333333333333333
ATC,KDR__HSP90AA1,1.0,4,1.0,1.0,,0.6666666666666666
ATC,LAMA4__ITGA6,1.0,4,1.0,1.0,,0.3333333333333333
ATC,KDR__VEGFA,1.0,4,1.0,1.0,,1.0
ATC,MDK__ITGA6,1.0,4,1.0,1.0,,0.0
ATC,MDK__TSPAN1,1.0,4,1.0,1.0,,0.6666666666666666
ATC,MDK__PTPRB,1.0,4,1.0,1.0,,0.3333333333333333
ATC,HLA-DRA__LGMN,1.0,4,1.0,1.0,,1.0
ATC,HLA-DRB1__LGMN,1.0,4,1.0,1.0,,0.6666666666666666
ATC,HLA-DRB1__CTSL,1.0,4,1.0,1.0,,0.6666666666666666
ATC,IL6__DCN,1.0,4,1.0,0.75,,0.3333333333333333
ATC,IL6__IL13RA2,1.0,4,0.25,0.5,,0.0
ATC,IL6__VEGFA,1.0,4,1.0,0.75,,0.3333333333333333
ATC,IL6__F3,1.0,4,1.0,0.75,,0.3333333333333333
ATC,IL6__GZMB,1.0,4,1.0,0.75,,0.0
ATC,IGFBP3__MMP14,1.0,4,1.0,1.0,,0.3333333333333333
ATC,DCN__KDR,1.0,4,1.0,1.0,,0.3333333333333333
