lr_pair,PT_n,PT_recurrence,PTC_n,PTC_recurrence,LPTC_n,LPTC_recurrence,ATC_n,ATC_recurrence
ADIPOQ__CXCL12,3,0.0,4,0.0,4,0.25,4,0.25
ADIPOQ__F3,3,0.0,4,0.0,4,0.25,4,0.25
ADIPOQ__TNF,3,0.0,4,0.0,4,0.25,4,0.0
ADIPOQ__WIF1,3,0.0,4,0.0,4,0.0,4,0.0
ADM__CALCRL,3,1.0,4,1.0,4,1.0,4,1.0
ADM__HMOX1,3,1.0,4,1.0,4,1.0,4,1.0
ADM__NOS1,3,0.0,4,0.0,4,0.0,4,0.75
ADM__RAMP2,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
ADM__RAMP3,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
ADM__TSHR,3,1.0,4,1.0,4,1.0,4,0.5
ANGPT2__CDH5,3,1.0,4,1.0,4,1.0,4,0.5
ANGPT2__TIE1,3,1.0,4,1.0,4,1.0,4,1.0
ANGPTL4__CDH11,3,1.0,4,1.0,4,1.0,4,1.0
ANGPTL4__CDH5,3,1.0,4,1.0,4,1.0,4,0.75
ANGPTL4__GPIHBP1,3,1.0,4,0.5,4,0.75,4,0.0
ANGPTL4__TIE1,3,1.0,4,1.0,4,1.0,4,0.75
APELA__APLNR,3,0.0,4,0.0,4,0.25,4,0.0
APOE__LDLR,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
APOE__LRP1,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
APOE__TYROBP,3,1.0,4,1.0,4,1.0,4,1.0
AREG__MMP9,3,0.0,4,0.5,4,1.0,4,1.0
CALCA__CALCRL,3,0.0,4,0.0,4,0.25,4,0.0
CALCA__CDH11,3,0.0,4,0.0,4,0.25,4,0.0
CALCA__RAMP2,3,0.0,4,0.0,4,0.25,4,0.0
CALCA__RAMP3,3,0.0,4,0.0,4,0.25,4,0.0
CALCA__TSHR,3,0.0,4,0.0,4,0.25,4,0.0
CALCB__CALCRL,3,0.0,4,0.25,4,0.25,4,0.0
CALCB__RAMP2,3,0.0,4,0.25,4,0.25,4,0.0
CALCB__RAMP3,3,0.0,4,0.0,4,0.25,4,0.0
CALCB__TSHR,3,0.0,4,0.25,4,0.25,4,0.0
CCL1__ACKR1,3,0.0,4,0.25,4,0.25,4,0.0
