sample,stage,n_spots,n_sc_cells,n_groups,n_significant_lr,elapsed_sec
ATC-1,ATC,4715,36157,3,650,612.1
ATC-2,ATC,2354,36157,4,546,323.2
ATC-3,ATC,1621,36157,2,234,267.8
ATC-4,ATC,2586,36157,3,1194,642.7
LPTC-1,LPTC,1520,23532,5,1717,370.7
LPTC-2,LPTC,4071,23532,7,4117,546.7
LPTC-3,LPTC,3336,23532,6,1293,520.8
LPTC-4,LPTC,4707,23532,6,3308,1248.9
N-1,PT,3395,7989,3,108,101.7
N-2,PT,3780,7989,2,170,125.6
N-3,PT,4538,7989,2,220,128.2
PTC-1,PTC,2262,23532,5,2028,134.5
PTC-2,PTC,4947,23532,5,1484,397.3
PTC-3,PTC,4516,23532,5,1687,402.3
PTC-4,PTC,4498,23532,6,1797,399.1
