stage,lr_pair,this_recurrence,max_other,delta
ATC,ADM__NOS1,0.75,0.0,0.75
ATC,CXCL5__CXCR6,1.0,0.5,0.5
ATC,IFNG__CD74,0.75,0.25,0.5
ATC,IFNG__CTSK,0.75,0.25,0.5
ATC,IFNG__CTSL,0.75,0.25,0.5
ATC,IFNG__CXCL12,0.75,0.25,0.5
ATC,IFNG__TYMS,0.75,0.25,0.5
ATC,IL11__IL13RA2,0.5,0.0,0.5
ATC,IL1A__CSF1,0.5,0.0,0.5
ATC,IL1A__IL1B,0.5,0.0,0.5
ATC,IL1A__IL1R2,0.5,0.0,0.5
ATC,IL1A__ITGA6,0.5,0.0,0.5
ATC,IL1A__MMP9,0.5,0.0,0.5
ATC,IL6__IL13RA2,1.0,0.5,0.5
ATC,SAA1__FPR2,0.75,0.25,0.5
LPTC,RSPO3__LGR5,1.0,0.0,1.0
LPTC,THBS1__ELANE,1.0,0.0,1.0
LPTC,CXCL6__ACKR1,0.75,0.0,0.75
LPTC,PPBP__CCR7,0.75,0.0,0.75
LPTC,CCL23__CCR6,1.0,0.5,0.5
LPTC,CCL23__KDR,1.0,0.5,0.5
LPTC,CXCL13__CCR6,1.0,0.5,0.5
LPTC,CXCL13__CCR7,1.0,0.5,0.5
LPTC,CXCL3__ACKR1,1.0,0.5,0.5
LPTC,CXCL3__CCR6,1.0,0.5,0.5
LPTC,CXCL3__CCR7,1.0,0.5,0.5
LPTC,CXCL6__CCR6,0.75,0.25,0.5
LPTC,CXCL6__CCR7,0.75,0.25,0.5
LPTC,CXCL6__CXCR6,0.75,0.25,0.5
LPTC,GDF15__TTN,0.75,0.25,0.5
LPTC,IL1B__CDH5,1.0,0.5,0.5
LPTC,IL1B__LDLR,1.0,0.5,0.5
LPTC,IL1B__PLAUR,1.0,0.5,0.5
LPTC,IL1B__PTGDS,1.0,0.5,0.5
LPTC,IL1RN__IL1B,1.0,0.5,0.5
LPTC,IL1RN__IL1R2,1.0,0.5,0.5
LPTC,PCSK9__CD36,0.5,0.0,0.5
LPTC,PCSK9__LDLR,0.5,0.0,0.5
LPTC,PCSK9__LRP1,0.5,0.0,0.5
LPTC,PPBP__ACKR1,0.75,0.25,0.5
LPTC,PPBP__CCR6,0.75,0.25,0.5
LPTC,PPBP__CXCR6,0.75,0.25,0.5
LPTC,PRSS3__F2RL3,0.75,0.25,0.5
PT,S100A1__RYR2,1.0,0.25,0.75
PTC,NMU__NMUR2,0.75,0.0,0.75
PTC,HLA-G__KLRC1,0.5,0.0,0.5
