gene	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole_Blood
AIRE	0.255288	0.15770399999999998	0.035228800000000005	0.0708283	0.147781	0.0479609	0.21043800000000001	0.487196	1.6906900000000002	0.834599	0.06847189999999999	0.14502	1.38286	1.30457	0.5465810000000001	4.01706	1.15205	0.57372	0.49190100000000003	0.8485889999999999	0.200457	0.0267741	0.0364515	0.348698	0.488022	0.173381	0.18846500000000002	0.059812300000000006	0.0880148	0.049373099999999996	0.056295000000000005	0.154275	0.0520391	0.287119	0.6048100000000001	0.00848615	0.0530461	0.09097369999999999	0.018382	0.779275	0.021812099999999997	0.0137373	0.45509799999999995	0.296113	0.756532	0.569186	0.592345	0.0973684	0.11253699999999998	0.5248430000000001	0.21394699999999997	0.0784184	0.290779	0.05722530000000001
CD74	1477.3	855.46	571.515	763.051	994.44	500.37800000000004	463.119	122.512	62.3266	103.205	54.7785	36.6498	55.8576	64.6859	123.557	195.826	78.0155	76.4295	683.064	240.46200000000002	1034.33	2.0338700000000003	4390.47	425.07199999999995	1161.27	337.30300000000005	433.055	390.806	289.969	387.662	756.3919999999999	196.453	148.175	605.797	778.4730000000001	112.796	2389.07	529.11	101.198	1541.37	220.33900000000003	89.6111	368.699	543.168	467.60699999999997	521.714	1574.44	3415.21	329.00300000000004	98.8603	901.7189999999999	658.799	472.125	891.9580000000001
CHRNA1	0.0752623	0.0280228	0.0	0.019218	0.0262365	0.0196278	0.0082845	0.11448299999999999	0.14996500000000001	0.13047999999999998	0.0157781	0.013272899999999999	0.23409899999999997	0.386698	0.662826	0.0482913	0.0861984	0.09481210000000001	0.167298	0.0683597	0.040651	0.022040099999999996	0.0229445	0.0155536	0.0169342	0.0144011	0.21297199999999997	0.00908074	0.0	0.00803293	0.0	0.06782360000000001	0.044728	0.0	0.00533218	0.0	0.0657977	0.0996896	29.9158	0.0500865	0.0148702	0.0140255	1.9150900000000002	0.0187956	0.026164099999999996	0.0281629	0.0320051	0.0366276	0.014444899999999998	1.14444	0.0177733	0.0	0.0146529	0.0093752
CIITA	8.33333	4.377619999999999	3.67619	3.3283099999999997	5.3118300000000005	2.3431	3.73366	0.7454350000000001	0.45751000000000003	0.723042	0.637389	0.665586	0.5780420000000001	0.449708	0.7516470000000001	1.29799	0.575757	0.43081899999999995	4.00191	1.38186	6.5278599999999996	0.43834799999999996	35.6924	3.96924	6.88282	2.6079	2.87269	3.19687	3.03856	3.15381	7.4585300000000005	1.31037	1.125	3.99974	7.16935	1.0346	17.5068	4.0479199999999995	0.7646850000000001	10.3527	1.77466	0.88665	2.91053	4.67122	4.06524	4.0686	11.9569	24.4492	2.50711	1.12066	4.93496	5.20866	4.208130000000001	3.72128
CRYAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17333900000000002	3.25064	0.0206761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DIO1	0.201296	0.16902799999999998	0.178559	0.242523	0.22814	0.16542300000000001	0.136467	0.05450750000000001	0.0418639	0.0450935	0.127067	0.16187200000000002	0.0600638	0.055218399999999994	0.05558919999999999	0.0761794	0.0435018	0.04102619999999999	0.144399	0.0849803	0.250237	0.196689	0.259874	0.36324	0.308289	0.14698	0.138163	0.17139400000000002	0.172546	0.148394	0.471746	0.0683243	0.0401326	14.5985	5.34486	48.0334	0.378162	0.15103	0.0367166	0.46505	0.332077	0.04598630000000001	0.13513	0.23934	0.126315	0.138916	0.183894	0.355727	0.126966	1.13799	124.365	0.32085199999999997	0.250821	0.0944559
DIO2	1.48919	0.375848	0.972018	5.23263	2.11035	2.94266	1.36624	17.0963	22.5345	3.32559	1.55874	1.87362	18.7977	15.8523	13.3096	4.24439	4.950130000000001	12.6252	1.8852099999999998	5.59684	1.2882	1.1719	0.031365	19.3739	25.5223	0.237645	0.838657	5.16073	61.6542	5.69939	0.456996	0.589128	2.3409299999999997	0.680389	0.500031	0.0398199	0.64715	34.9246	2.18487	2.76364	0.156315	0.24380300000000002	38.8265	12.7009	4.60006	6.213019999999999	0.8263520000000001	0.18443900000000002	2.2995400000000004	4.96467	85.1058	0.692017	27.0158	0.0195175
DUOX1	1.25321	1.9897200000000002	16.5283	1.20785	2.9339999999999997	0.9409379999999999	6.20383	0.567409	0.42490500000000003	0.911618	6.195930000000001	6.49483	0.664804	0.539036	0.755274	0.571682	0.798461	0.899206	1.31809	0.547277	2.3506099999999996	0.22516999999999998	0.661434	3.8692800000000003	3.9369400000000003	1.7538099999999999	1.1159	1.60531	138.166	1.3876	5.11287	2.7337700000000003	0.506942	0.5102979999999999	0.9540420000000001	0.282535	102.289	10.3572	0.215198	6.88652	3.71178	0.36339099999999996	2.53065	20.5651	91.8673	86.5735	1.27381	0.5651109999999999	58.949	3.7804	149.006	1.48114	76.4741	0.156182
DUOX2	0.335839	0.505722	1.6073600000000001	0.396374	1.30824	0.168726	3.20319	0.0780979	0.05382050000000001	0.131591	0.27617600000000003	0.318932	0.09703669999999999	0.06694270000000001	0.105653	0.08207300000000001	0.117704	0.11136700000000001	0.221185	0.2275	0.698226	0.0395334	0.0572924	0.475361	0.774812	0.643616	1.2442799999999998	0.602583	26.6953	0.365068	0.6118140000000001	0.749671	0.208591	0.569435	0.762798	0.22803400000000001	5.119190000000001	2.74246	0.0389549	1.24129	0.95388	0.16733800000000001	0.28933600000000004	5.04769	8.88637	8.81221	1.4256799999999998	0.0746846	9.830010000000001	1.6955799999999999	124.816	0.277482	30.5465	0.028433999999999997
FOXE1	0.0326598	0.0203315	0.0153764	0.0331113	0.028814999999999997	0.037180300000000006	0.032247399999999996	0.011439200000000002	0.00887715	0.011687799999999998	0.025855799999999998	0.0507856	0.0153973	0.016528400000000002	0.012871	0.013147899999999999	0.016130600000000002	0.00788137	0.018760299999999997	0.0	0.04099559999999999	0.0	0.018465099999999998	0.0287752	0.0323057	0.0281046	0.0209189	0.0334679	8.242280000000001	0.0321923	0.0296823	0.0122195	0.0100869	0.045094199999999994	0.026854700000000002	0.0110807	0.0467338	0.13938399999999998	0.0179635	0.051674	0.0361427	0.0275642	0.037026300000000005	0.289898	1.01474	0.513748	0.031091900000000006	0.021403099999999998	0.020155799999999998	1.1409	164.487	0.0402668	6.13215	0.013993299999999998
