	gencodeId
AIRE	ENSG00000160224.16
CD74	ENSG00000019582.14
CHRNA1	ENSG00000138435.15
CIITA	ENSG00000179583.18
CRYAA	ENSG00000160202.7
DIO1	ENSG00000211452.10
DIO2	ENSG00000211448.11
DUOX1	ENSG00000137857.17
DUOX2	ENSG00000140279.12
FOXE1	ENSG00000178919.8
GAD2	ENSG00000136750.11
GFAP	ENSG00000131095.12
HLA-DMA	ENSG00000204257.14
HLA-DMB	ENSG00000242574.8
HLA-DPA1	ENSG00000231389.7
HLA-DPB1	ENSG00000223865.10
HLA-DQA1	ENSG00000196735.11
HLA-DQB1	ENSG00000179344.16
HLA-DRA	ENSG00000204287.13
HLA-DRB1	ENSG00000196126.11
HLA-DRB5	ENSG00000198502.5
INS	ENSG00000254647.6
IYD	ENSG00000009765.14
MOG	ENSG00000204655.11
MYOG	ENSG00000122180.4
NKX2-1	ENSG00000136352.17
PAX8	ENSG00000125618.16
SLC5A5	ENSG00000105641.3
TG	ENSG00000042832.11
TPO	ENSG00000115705.20
TSHR	ENSG00000165409.16
