sampleId	TG	TPO	TSHR	SLC5A5	INS	GAD2	MOG	CHRNA1	CRYAA	GFAP	MYOG
GTEx_thyroid_donor_0000	12000.0	1930.0	204.4	0.8575	0.0	0.0	0.04289	0.04986	0.02354	0.8404	0.132
GTEx_thyroid_donor_0001	8779.0	1186.0	193.9	6.727	0.3765	0.0	0.03451	0.02006	0.0	1.23	0.3187
GTEx_thyroid_donor_0002	869.4	136.4	47.99	0.2995	0.4089	0.0	0.01405	0.0	0.0	0.06224	0.0
GTEx_thyroid_donor_0003	4356.0	1531.0	137.9	6.883	0.0646	0.02448	0.0	0.1446	0.0	1.437	0.0
GTEx_thyroid_donor_0004	5976.0	1682.0	180.7	1.533	0.1087	0.0	0.0	0.03474	0.0	0.3008	0.0
GTEx_thyroid_donor_0005	7860.0	1553.0	261.2	9.491	0.3252	0.0	0.04471	0.05198	0.0	0.693	0.0
GTEx_thyroid_donor_0006	9227.0	2394.0	264.2	24.56	0.0	0.01952	0.2125	0.0494	0.0	2.78	0.0
GTEx_thyroid_donor_0007	7169.0	492.9	213.2	2.061	0.0	0.0	0.07463	0.0723	0.0	0.721	0.09189
GTEx_thyroid_donor_0008	7892.0	940.1	198.9	73.98	2.659	0.02399	0.02611	0.01518	0.0	0.4836	0.0
GTEx_thyroid_donor_0009	5087.0	2613.0	399.8	8.938	0.2523	0.0	0.03469	0.0	0.0	0.398	0.0
GTEx_thyroid_donor_0010	9014.0	1060.0	283.0	13.59	1.322	0.0	0.04543	0.0	0.0374	0.576	0.0
GTEx_thyroid_donor_0011	9013.0	1214.0	178.6	2.43	0.5506	0.0	0.0	0.02934	0.0831	0.6299	0.0
GTEx_thyroid_donor_0012	6114.0	1916.0	186.3	5.97	0.1454	0.00918	0.05996	0.01162	0.0	1.452	0.0
GTEx_thyroid_donor_0013	6351.0	1587.0	166.0	38.49	0.2763	0.0	0.1519	0.04416	0.0	0.6117	0.1052
GTEx_thyroid_donor_0014	7658.0	1530.0	332.9	28.89	0.1732	0.0	0.02382	0.05537	0.03921	0.5369	0.0
GTEx_thyroid_donor_0015	9025.0	2368.0	293.3	25.76	0.2268	0.0	0.01559	0.00906	0.0	1.808	0.0
GTEx_thyroid_donor_0016	6417.0	873.9	149.4	2.127	0.6125	0.0	0.04812	0.0	0.0	1.143	0.0
GTEx_thyroid_donor_0017	8305.0	1180.0	261.7	20.53	0.0	0.0	0.07936	0.0	0.0	0.9904	0.0
GTEx_thyroid_donor_0018	10050.0	2329.0	164.4	0.4264	0.0	0.01306	0.0711	0.0	0.0	0.8415	0.0
GTEx_thyroid_donor_0019	5830.0	749.9	172.7	14.16	0.0	0.0346	0.1055	0.0	0.0	1.777	0.0
GTEx_thyroid_donor_0020	5451.0	241.4	61.43	0.5978	0.6198	0.0174	0.01894	0.01101	0.0	1.601	0.06995
GTEx_thyroid_donor_0021	8119.0	2236.0	152.8	1.356	0.7864	0.01104	0.02403	0.01397	0.0	0.4498	0.0
GTEx_thyroid_donor_0022	9142.0	1007.0	307.8	1.98	0.0	0.0	0.05928	0.0	0.0	0.4852	0.0
GTEx_thyroid_donor_0023	13770.0	2545.0	332.1	0.03448	1.112	0.0	0.04369	0.0	0.03596	0.4133	0.04034
GTEx_thyroid_donor_0024	1500.0	116.4	45.4	4.413	1.761	0.01348	0.05871	1.246	0.0	0.3663	7.346
GTEx_thyroid_donor_0025	8784.0	2491.0	185.5	13.35	0.05835	0.01474	0.0	0.04664	0.02642	0.5362	0.02964
GTEx_thyroid_donor_0026	6459.0	690.6	192.6	0.2946	0.5431	0.0	0.0	0.0	0.0	0.496	0.0
GTEx_thyroid_donor_0027	9900.0	1398.0	247.2	2.375	0.0	0.0	0.01881	0.02187	0.0	0.5907	0.0
GTEx_thyroid_donor_0028	5227.0	1035.0	229.2	56.72	0.1235	0.0	0.1019	0.0	0.0	1.073	0.0
GTEx_thyroid_donor_0029	2337.0	426.7	159.1	29.83	0.9181	0.0	0.04455	0.1467	0.0	0.2631	0.0
GTEx_thyroid_donor_0030	8240.0	837.2	205.2	1.399	3.102	0.0	0.2007	0.01944	0.0	3.804	0.0
GTEx_thyroid_donor_0031	9672.0	1144.0	314.3	16.45	0.9739	0.06624	0.2472	0.0479	0.0	3.807	0.1522
GTEx_thyroid_donor_0032	9235.0	1295.0	166.6	2.353	0.0	0.0	0.02085	0.0	0.0	1.46	0.0
GTEx_thyroid_donor_0033	7412.0	1810.0	228.9	5.148	0.1868	0.02359	0.0	0.02986	0.0	0.7961	0.04743
GTEx_thyroid_donor_0034	5166.0	1258.0	222.9	30.38	0.1061	0.0	0.3794	0.01696	0.0	0.9281	0.0
GTEx_thyroid_donor_0035	7689.0	1765.0	182.3	0.3135	0.08498	0.01073	0.07011	0.0	0.0	1.152	0.02158
GTEx_thyroid_donor_0036	8439.0	1417.0	305.2	30.53	0.3534	0.0248	0.0324	0.0	0.03556	2.091	0.01994
GTEx_thyroid_donor_0037	4911.0	854.1	317.9	2.439	1.753	0.02013	0.08767	0.02548	0.0	1.615	0.0
GTEx_thyroid_donor_0038	5781.0	627.8	230.5	3.37	0.5823	0.02451	0.2135	0.0	0.0	3.373	0.0
GTEx_thyroid_donor_0039	13820.0	3485.0	281.5	3.131	0.0	0.05625	0.1225	0.02847	0.0	1.735	0.0
GTEx_thyroid_donor_0040	2124.0	332.7	32.7	3.91	0.0	0.0	0.06023	0.01751	0.0	0.9093	0.05562
GTEx_thyroid_donor_0041	3012.0	985.8	102.5	39.89	0.6293	0.01766	0.0769	0.01118	0.0	0.7662	0.03551
GTEx_thyroid_donor_0042	17500.0	4283.0	263.4	0.1066	0.0	0.0	0.06755	0.0	0.0	0.9245	0.06238
GTEx_thyroid_donor_0043	6809.0	726.6	126.4	5.445	0.0	0.0089	0.0	0.06759	0.0	0.6008	0.0
GTEx_thyroid_donor_0044	10230.0	710.3	232.0	7.985	0.06536	0.0	0.01797	0.02089	0.0	0.8248	0.0
GTEx_thyroid_donor_0045	9876.0	1214.0	130.7	31.55	0.0	0.0	0.07652	0.0556	0.0315	0.5545	0.07066
GTEx_thyroid_donor_0046	3227.0	182.2	197.0	0.8846	0.0	0.03613	0.09833	0.02286	0.0	1.188	0.0
GTEx_thyroid_donor_0047	9055.0	715.1	317.2	18.08	0.0	0.1342	0.04871	0.0	0.0	3.863	0.02999
GTEx_thyroid_donor_0048	1888.0	237.5	131.8	0.8696	0.0	0.01557	0.1356	0.01971	0.0	2.0	0.0
GTEx_thyroid_donor_0049	14410.0	2326.0	292.6	0.4027	0.0	0.00808	0.1408	0.06136	0.0	1.133	0.06499
GTEx_thyroid_donor_0050	11620.0	1240.0	215.4	5.974	0.0	0.04747	0.1808	0.06007	0.0	1.924	0.09543
GTEx_thyroid_donor_0051	8286.0	783.1	269.3	5.912	16.58	0.01052	0.09164	0.0	0.0	0.4704	0.0
GTEx_thyroid_donor_0052	5071.0	415.3	159.4	12.9	0.09085	0.02295	0.2623	0.04356	0.02057	0.5582	0.0
GTEx_thyroid_donor_0053	1953.0	109.2	88.01	1.257	0.8691	0.0	0.09957	0.01158	0.0	0.5291	0.0
GTEx_thyroid_donor_0054	7813.0	1423.0	156.6	1.782	1.816	0.0	0.08687	0.0	0.0	0.7693	0.0
GTEx_thyroid_donor_0055	8005.0	3357.0	149.5	125.2	0.1253	0.0	0.0	0.03005	0.0	0.4995	0.0
GTEx_thyroid_donor_0056	9791.0	3040.0	235.5	1.162	0.0	0.00777	0.05076	0.0	0.0	1.219	0.1562
GTEx_thyroid_donor_0057	6182.0	2103.0	266.6	5.17	1.187	0.0	0.02332	0.04066	0.0	0.9198	0.0
GTEx_thyroid_donor_0058	8006.0	909.2	251.2	3.987	1.358	0.0	0.09829	0.09141	0.0	0.364	0.0
GTEx_thyroid_donor_0059	3447.0	379.9	120.1	6.971	0.787	0.0	0.01967	0.0	0.0	0.6811	0.0
