sampleId	gene	TPM
GTEx_thyroid_donor_0000	TG	12000.0
GTEx_thyroid_donor_0001	TG	8779.0
GTEx_thyroid_donor_0002	TG	869.4
GTEx_thyroid_donor_0003	TG	4356.0
GTEx_thyroid_donor_0004	TG	5976.0
GTEx_thyroid_donor_0005	TG	7860.0
GTEx_thyroid_donor_0006	TG	9227.0
GTEx_thyroid_donor_0007	TG	7169.0
GTEx_thyroid_donor_0008	TG	7892.0
GTEx_thyroid_donor_0009	TG	5087.0
GTEx_thyroid_donor_0010	TG	9014.0
GTEx_thyroid_donor_0011	TG	9013.0
GTEx_thyroid_donor_0012	TG	6114.0
GTEx_thyroid_donor_0013	TG	6351.0
GTEx_thyroid_donor_0014	TG	7658.0
GTEx_thyroid_donor_0015	TG	9025.0
GTEx_thyroid_donor_0016	TG	6417.0
GTEx_thyroid_donor_0017	TG	8305.0
GTEx_thyroid_donor_0018	TG	10050.0
GTEx_thyroid_donor_0019	TG	5830.0
GTEx_thyroid_donor_0020	TG	5451.0
GTEx_thyroid_donor_0021	TG	8119.0
GTEx_thyroid_donor_0022	TG	9142.0
GTEx_thyroid_donor_0023	TG	13770.0
GTEx_thyroid_donor_0024	TG	1500.0
GTEx_thyroid_donor_0025	TG	8784.0
GTEx_thyroid_donor_0026	TG	6459.0
GTEx_thyroid_donor_0027	TG	9900.0
GTEx_thyroid_donor_0028	TG	5227.0
GTEx_thyroid_donor_0029	TG	2337.0
GTEx_thyroid_donor_0030	TG	8240.0
GTEx_thyroid_donor_0031	TG	9672.0
GTEx_thyroid_donor_0032	TG	9235.0
GTEx_thyroid_donor_0033	TG	7412.0
GTEx_thyroid_donor_0034	TG	5166.0
GTEx_thyroid_donor_0035	TG	7689.0
GTEx_thyroid_donor_0036	TG	8439.0
GTEx_thyroid_donor_0037	TG	4911.0
GTEx_thyroid_donor_0038	TG	5781.0
GTEx_thyroid_donor_0039	TG	13820.0
GTEx_thyroid_donor_0040	TG	2124.0
GTEx_thyroid_donor_0041	TG	3012.0
GTEx_thyroid_donor_0042	TG	17500.0
GTEx_thyroid_donor_0043	TG	6809.0
GTEx_thyroid_donor_0044	TG	10230.0
GTEx_thyroid_donor_0045	TG	9876.0
GTEx_thyroid_donor_0046	TG	3227.0
GTEx_thyroid_donor_0047	TG	9055.0
GTEx_thyroid_donor_0048	TG	1888.0
GTEx_thyroid_donor_0049	TG	14410.0
GTEx_thyroid_donor_0050	TG	11620.0
GTEx_thyroid_donor_0051	TG	8286.0
GTEx_thyroid_donor_0052	TG	5071.0
GTEx_thyroid_donor_0053	TG	1953.0
GTEx_thyroid_donor_0054	TG	7813.0
GTEx_thyroid_donor_0055	TG	8005.0
GTEx_thyroid_donor_0056	TG	9791.0
