gene	adipose_tissue	adrenal_gland	appendix	bone_marrow	brain	breast	cervix	colon	duodenum	epididymis	esophagus	fallopian_tube	gallbladder	heart_muscle	kidney	liver	lung	lymph_node	ovary	pancreas	parathyroid_gland	pituitary_gland	placenta	prostate	rectum	retina	salivary_gland	seminal_vesicle	skeletal_muscle	skin	small_intestine	smooth_muscle	spleen	stomach	testis	thymus	thyroid_gland	tongue	tonsil	urinary_bladder	vagina
GAD2	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.3	0.0	0.0	0.0	8.8	0.0	0.0	0.0		0.0	0.0	0.0		0.3	0.0	0.0	0.0	0.0	0.0	0.0
GFAP	1.9	1.7	1.9	13.1		3.3	1.2	1.3	0.3	1.4	3.4	2.1	1.4	7.6	2.1	1.4	1.2	1.8	2.1	1.2	1.5	30.6	0.7	1.1	0.9	128.3	1.8	0.9	1.9		0.6	0.9	1.4		1.3	0.4	1.5	0.2	1.1	1.3	0.9
HLA-DMA	78.8	62.6	0.9	22.1		62.9	26.3	27.3	1.5	21.5	15.9	29.5	0.8	24.1	48.3	15.8	96.9	2.3	9.4	18.6	0.1	15.9	0.8	22.6	12.7	0.4	25.5	0.3	11.8		67.2	0.5	119.3		3.9	0.6	33.4	0.2	34.7	24.0	20.0
HLA-DMB	38.2	35.7	12.5	6.5		25.1	17.4	20.5	0.0	7.0	9.2	16.2	0.0	11.5	38.6	7.7	59.0	16.5	5.7	8.7	0.0	9.3	0.7	13.1	14.0	0.5	14.4	0.0	5.2		76.7	0.0	100.7		2.1	9.2	45.2	0.0	17.7	13.5	10.0
HLA-DPA1	71.2	136.1	303.9	78.1		135.0	141.7	136.8	161.8	58.9	84.0	100.9	117.9	73.0	53.8	182.1	516.7	570.0	41.1	55.7	25.3	7.8	17.7	51.4	106.1	9.2	151.1	103.1	25.0		201.9	66.7	457.6		19.2	217.1	36.7	46.4	325.4	200.3	12.2
HLA-DPB1	142.0	96.0	39.6	5.5		105.5	58.4	68.6	11.7	2.7	41.9	56.1	16.1	50.5	81.3	36.5	261.7	62.5	23.9	31.0	0.9	48.0	0.8	67.0	2.3	1.4	54.1	6.0	23.8		161.3	4.3	376.0		12.0	10.2	67.7	1.2	39.4	55.7	52.9
HLA-DQA1	57.9	43.2	104.7	6.8		38.9	46.8	72.0	0.1	30.4	30.1	27.3	119.3	19.5	29.8	88.7	314.2	314.3	9.2	14.2	2.4	14.1	12.8	14.1	108.6	1.7	32.8	7.4	7.1		68.9	17.9	169.4		11.4	218.2	24.3	0.0	301.1	165.0	15.0
HLA-DQB1	55.5	23.6	75.3	38.4		44.3	18.6	44.3	0.2	121.8	20.5	21.4	42.2	20.8	33.5	35.5	173.2	290.6	5.8	13.8	10.2	20.5	9.7	16.3	37.7	1.6	23.4	11.5	9.6		75.3	10.7	138.4		6.8	103.6	26.1	0.0	117.9	86.5	16.6
HLA-DRA	508.8	291.0	287.1	1.0		367.5	156.7	185.6	110.5	246.1	130.1	174.0	57.7	132.7	294.5	89.2	931.1	1196.6	55.8	71.5	0.1	124.6	22.1	138.6	141.5	7.7	154.7	8.0	80.2		700.2	1.3	1077.0		24.6	184.9	178.8	0.0	754.4	173.3	138.5
HLA-DRB1	299.3	155.1	177.6	44.2		231.8	93.1	108.7	0.0	126.2	70.2	121.7	25.4	135.3	212.1	64.7	554.1	574.2	36.7	43.9	0.0	77.4	11.2	82.5	93.3	4.0	90.8	0.0	56.5		337.2	3.8	497.8		21.3	219.7	127.3	0.0	200.1	108.5	88.4
HLA-DRB5	105.4	60.2	131.0	21.8		82.3	35.3	65.7	12.3	103.6	45.5	44.3	2.3	48.4	66.2	39.7	335.8	396.9	17.1	26.3	0.0	26.1	6.2	29.0	49.6	2.8	26.9	0.0	20.9		173.8	0.2	215.0		11.0	154.4	45.3	0.0	152.3	53.0	27.3
INS	18.0	3.3	0.2	47.2		0.8	0.3	12.0	1.4	0.0	1.7	0.3	3.4	5.1	37.8	1.9	1.6	5.0	1.0	12197.1	0.0	0.4	0.9	0.5	0.0	0.0	2.9	0.0	0.4		0.7	0.0	1.7		0.4	0.0	1.4	0.0	0.0	4.7	0.4
IYD	0.1	0.0	0.5	0.3		0.4	0.1	6.0	17.0	0.6	0.1	0.0	8.3	0.5	24.8	31.4	0.7	0.5	0.0	0.4	0.0	0.0	0.0	0.2	6.2	0.2	0.1	0.0	0.0		18.5	0.2	0.1		0.2	0.0	442.1	0.0	0.1	0.1	0.0
MOG	0.0	0.0	0.0	0.0		0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	2.6	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYOG	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	2.1	0.0	0.2	4.9	0.0	98.4		0.0	0.0	0.0		0.1	1.5	0.0	43.5	0.0	0.0	0.0
NKX2-1	0.0	0.1	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	52.0	0.0	0.1	0.1	0.0	11.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.1	0.0	162.9	0.0	0.0	0.0	0.0
PAX8	1.9	5.8	0.4	0.4		1.6	17.1	1.6	0.6	35.8	2.6	48.4	3.6	2.2	241.1	1.1	1.3	1.7	1.6	1.1	1.3	1.3	1.9	1.0	1.0	1.5	1.6	31.9	0.5		2.2	0.9	0.7		2.2	0.5	537.2	0.4	1.0	2.6	1.0
SLC5A5	0.0	0.0	0.2	0.2		0.1	5.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.1	60.7	0.0	0.4		0.2	0.0	0.2		0.4	0.0	11.2	0.0	0.1	0.2	0.0
TG	1.5	3.1	0.5	7.4		1.2	2.2	2.9	0.0	0.9	1.9	0.3	8.0	12.7	3.2	3.1	3.6	11.2	1.1	6.9	2.5	1.0	0.2	3.4	0.1	0.1	3.6	1.7	2.4		1.6	0.1	1.7		2.8	0.4	8743.8	0.0	0.6	0.6	1.5
TPO	10.5	0.3	0.4	0.1		9.0	0.6	3.9	0.6	0.0	1.7	0.6	2.8	9.4	0.2	0.4	0.6	1.3	0.2	1.8	0.3	0.5	0.0	0.5	0.8	0.1	2.7	0.0	4.8		3.1	0.6	18.9		1.1	0.0	1387.6	5.2	0.3	2.1	0.8
TSHR	0.5	0.6	0.7	1.0		0.7	0.2	0.4	0.3	0.4	0.2	1.0	0.4	0.3	0.3	0.4	0.2	1.8	0.1	0.4	0.3	0.2	0.3	0.4	0.3	2.0	0.5	0.2	0.7		0.3	0.1	0.7		0.6	19.4	257.0	0.2	0.8	0.3	0.1
