cluster_1,,B cell,B cell,B cell,B cell,B cell,B cell,B cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,NK cell,NK cell,NK cell,NK cell,NK cell,NK cell,NK cell,T cell,T cell,T cell,T cell,T cell,T cell,T cell
APOE,LDLR,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.972,0.998,1.0,0.998,,0.998,0.546,0.0,0.01,0.116,0.258,,0.006,0.0,0.0,0.0,0.0,0.0,,0.0,0.996,0.918,0.984,0.996,0.99,,0.982,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0
MDK,LRP1,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.224,1.0,1.0,,1.0,1.0,0.354,0.0,0.92,0.04,,0.0,1.0,0.422,0.0,0.994,0.054,,0.0,1.0,1.0,0.704,1.0,1.0,,1.0,,,,,,,,1.0,1.0,0.0,1.0,0.998,,1.0
DLK1,NOTCH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLL4,NOTCH3,1.0,0.0,0.0,1.0,0.992,,0.194,1.0,0.0,0.0,0.888,0.976,,0.022,1.0,0.0,0.0,1.0,0.992,,0.146,1.0,0.0,0.0,1.0,0.99,,0.084,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.99,,0.076
DLL1,NOTCH4,0.998,0.72,0.958,0.402,0.926,,0.706,0.07,0.042,0.0,0.0,0.208,,0.0,0.996,0.582,0.896,0.024,0.872,,0.448,0.996,0.562,0.828,0.002,0.85,,0.32,,,,,,,,,,,,,,,1.0,0.786,0.998,0.624,0.972,,0.876
JAG1,NOTCH4,1.0,1.0,1.0,1.0,1.0,,1.0,0.07,0.034,0.01,0.008,0.13,,0.006,0.768,0.242,0.124,0.002,0.632,,0.054,1.0,0.798,0.998,0.646,0.96,,0.874,1.0,0.974,0.988,0.956,0.994,,0.972,0.086,0.076,0.07,0.062,0.088,,0.066,0.422,0.128,0.038,0.002,0.436,,0.01
DLK1,NOTCH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF14,TNFRSF6B,,,,,,,,0.338,0.0,0.298,0.596,0.088,,0.5,0.1,0.0,0.014,0.052,0.044,,0.112,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.156,0.68,0.072,,0.46
SCT,RAMP2,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.886,,0.388,1.0,0.0,0.0,1.0,0.892,,0.432,,,,,,,,,,,,,,,,,,,,,
SCT,RAMP3,,,,,,,,,,,,,,,0.722,0.0,0.106,1.0,0.958,0.108,0.874,0.752,0.0,0.142,1.0,0.966,0.108,0.892,,,,,,,,,,,,,,,,,,,,,
SCT,TSHR,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
COMP,CD36,1.0,0.942,1.0,1.0,1.0,,1.0,1.0,0.96,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.244,0.0,0.942,1.0,0.626,,0.498,0.924,0.5,0.972,0.998,0.964,,0.952,,,,,,,,1.0,0.11,1.0,1.0,0.998,,1.0
CCL2,ACKR4,,0.922,,,,,0.934,,0.0,,,,,0.0,,0.0,,,,,0.0,,1.0,,,,,1.0,,0.05,,,,,0.054,,,,,,,,,0.0,,,,,0.0
CCL13,ACKR4,,0.68,,,,,0.85,,0.548,,,,,0.646,,0.0,,,,,0.0,,0.97,,,,,1.0,,0.116,,,,,0.146,,,,,,,,,0.004,,,,,0.0
CXCL6,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.152,,0.0,,,,,,,,,,,,,,
CEACAM6,STAB1,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.0,1.0,0.034,,0.016,,,,,,,,,,,,,,,,,,,,,
THBS1,ITGA6,1.0,0.004,1.0,1.0,1.0,,1.0,0.02,0.0,0.004,0.004,0.288,,0.002,0.0,0.0,0.0,0.0,0.052,,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.646,0.008,0.476,0.532,0.898,,0.478,,,,,,,,0.196,0.0,0.004,0.018,0.848,,0.006
THBS1,CD36,0.882,0.006,0.998,1.0,0.922,,0.972,0.0,0.0,0.002,0.054,0.008,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.944,0.0,1.0,1.0,0.942,,1.0,0.22,0.006,0.344,0.752,0.35,,0.252,,,,,,,,0.0,0.0,0.0,0.51,0.05,,0.0
VWF,SCARA5,0.0,0.0,0.0,0.0,0.006,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.866,0.006,0.0,0.68,0.252,,0.0,1.0,1.0,0.998,1.0,1.0,,1.0,0.662,0.22,0.068,0.582,0.456,,0.286,0.564,0.448,0.402,0.536,0.502,,0.462,0.058,0.0,0.0,0.008,0.038,,0.0
FGF7,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTH2,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
