ligand_receptor,cluster_pair,mean,pval
"('VWF', 'LRP1')","('Endothelial cell', 'Fibroblast')",2.5347814507229978,0.0
"('DCN', 'LRP1')","('Fibroblast', 'Fibroblast')",2.389067791966208,0.0
"('TG', 'TPO')","('Malignant cell', 'Endothelial cell')",2.3537546268244043,0.0
"('CCL14', 'ACKR1')","('Endothelial cell', 'Endothelial cell')",2.334977748903256,0.0
"('IL6', 'DCN')","('Endothelial cell', 'Fibroblast')",2.316443739416163,0.0
"('TG', 'TPO')","('Malignant cell', 'Malignant cell')",2.2691504571842156,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'T cell')",2.2678448343904627,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.264412728229099,0.0
"('TG', 'TPO')","('Malignant cell', 'Fibroblast')",2.249730409683084,0.0
"('TG', 'TPO')","('Malignant cell', 'Myeloid cell')",2.2469982051634445,0.0
"('TG', 'TPO')","('Malignant cell', 'T cell')",2.242208554306086,0.0
"('TG', 'TPO')","('Malignant cell', 'B cell')",2.2330958807091412,0.0
"('CLU', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.2196608006085023,0.0
"('DCN', 'LRP1')","('T cell', 'Fibroblast')",2.213260937593354,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'Myeloid cell')",2.208681120387763,0.0
"('CLU', 'TYROBP')","('Endothelial cell', 'Myeloid cell')",2.1867581749334577,0.0
"('IL6', 'DCN')","('NK cell', 'Fibroblast')",2.1687300695420273,0.0
"('IL6', 'DCN')","('Endothelial cell', 'T cell')",2.1406368850433086,0.0
"('VWF', 'THBS1')","('Endothelial cell', 'Fibroblast')",2.133378175798322,0.0
"('DCN', 'LRP1')","('Fibroblast', 'T cell')",2.1221311756336734,0.0
"('CCL14', 'ACKR1')","('NK cell', 'Endothelial cell')",2.1191453310664032,0.0
"('APOE', 'LRP1')","('Malignant cell', 'Fibroblast')",2.1096077322409768,0.0
"('VWF', 'THBS1')","('Endothelial cell', 'Endothelial cell')",2.0965655295594225,0.0
"('CCL2', 'ACKR1')","('Endothelial cell', 'Endothelial cell')",2.0892365800524217,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'Endothelial cell')",2.086751956384159,0.0
"('DCN', 'LRP1')","('Fibroblast', 'Myeloid cell')",2.0629674616309734,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'Malignant cell')",2.048243440771282,0.0
"('CCL14', 'ACKR1')","('B cell', 'Endothelial cell')",2.0451602929814077,0.0
"('CXCL2', 'ACKR1')","('Endothelial cell', 'Endothelial cell')",2.0302031688319824,0.0
"('VWF', 'THBS1')","('Endothelial cell', 'T cell')",2.025238021766632,0.0
