benchmark_family	dataset	algorithm	score_col	claim_status	locally_evaluated	diagnostic_after_failure	notes	n	n_pos	n_neg	positive_rate	binary_metric_possible	low_power	AUPRC	AUROC	top5_precision	top5_hits	top10_precision	top10_hits	top20_precision	top20_hits	top50_precision	top50_hits	top96_precision	top96_hits	training_overlap_fraction	overlap_warning	top24_precision	top24_hits
wave11_public_external	cedar_partial	MHCflurry	score_mhcflurry	local_prediction_file	True	False		845	787	58	0.9313609467455621	True	False	0.9727594949624689	0.737173027209394	1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	0.0011	False		
biodarwin_mode_bank	academic_validation_like	BioDarwin_mode_bank_v4	reported	gated_full_discovery	True	False	Mode-bank v4; industrial win diagnostic until frozen before new data.	430	11	419	0.0255813953488372	True	False	0.8863066757803602	0.97244521588197	1.0	5	0.9	9					0.1041666666666666	10		False	0.4166666666666667	10.0
wave11_public_external	itsndb	DeepImmuno	score_deepimmuno	local_prediction_file	True	False		319	136	183	0.4263322884012539	True	False	0.6109140013999454	0.7019045323047252	0.8	4	0.8	8	0.7	14.0	0.58	29.0	0.6145833333333334	59	0.0063	False		
wave11_public_external	nepdb	PRIME	score_prime	local_prediction_file	True	False		609	263	346	0.4318555008210181	True	False	0.5622634149813797	0.6197828523703818	0.8	4	0.8	8	0.7	14.0	0.54	27.0	0.5520833333333334	53	0.0	False		
wave11_public_external	tesla_mmc4	PRIME	score_prime	local_prediction_file	True	False		605	37	568	0.06115702479338843	True	False	0.1937347677824867	0.8054339550818425	0.2	1	0.2	2	0.2	4.0	0.16	8.0	0.1875	18	0.0	False		
