benchmark_family	dataset	algorithm	score_col	claim_status	locally_evaluated	diagnostic_after_failure	notes	n	n_pos	n_neg	positive_rate	binary_metric_possible	low_power	AUPRC	AUROC	top5_precision	top5_hits	top10_precision	top10_hits	top20_precision	top20_hits	top50_precision	top50_hits	top96_precision	top96_hits	training_overlap_fraction	overlap_warning	top24_precision	top24_hits
wave11_public_external	cedar_partial	RF_biophys	score_rf_biophys	local_prediction_file	True	False		909	851	58	0.9361936193619362	True	False	0.9967463390166009	0.9555289922606264	1.0	5	1.0	10	1.0	20.0	1.0	50.0	1.0	96	1.0	True		
wave11_public_external	nepdb	RF_biophys	score_rf_biophys	local_prediction_file	True	False		572	151	421	0.263986013986014	True	False	0.929962490634546	0.9731166726966699	1.0	5	1.0	10	1.0	20.0	1.0	50.0	0.9375	90	1.0	True		
biodarwin_mode_bank	academic_validation_like	BioDarwin_PanVax_v2	reported	clean_prefreeze_model	True	False	Mode-bank v4; industrial win diagnostic until frozen before new data.	430	11	419	0.0255813953488372	True	False	0.8863066757803602	0.97244521588197	1.0	5	0.9	9					0.1041666666666666	10		False	0.4166666666666667	10.0
wave11_public_external	itsndb	ESM2_Bayesian	score_esm2_bayesian	local_prediction_file	True	False		311	130	181	0.4180064308681672	True	False	0.6912313334954805	0.7840628984275395	1.0	5	0.7	7	0.75	15.0	0.74	37.0	0.6875	66	0.5768	True		
biodarwin_mode_bank	industrial_locked_v0	BioDarwin_mode_bank_v4	reported	diagnostic_mode_bank	True	True	Mode-bank v4; industrial win diagnostic until frozen before new data.	25	9	16	0.36	True	True	0.6279786662139604	0.638888888888889	0.8	4	0.5	5					0.36	9		False	0.375	9.0
wave11_public_external	tesla_mmc7	BigMHC_IM	score_bigmhc_im	local_prediction_file	True	False		310	4	306	0.012903225806451613	True	True	0.5700757575757576	0.991830065359477	0.6	3	0.3	3	0.2	4.0	0.08	4.0	0.041666666666666664	4	1.0	True		
wave11_public_external	tesla_mmc4	RF_biophys	score_rf_biophys	local_prediction_file	True	False		605	37	568	0.06115702479338843	True	False	0.36411644847607555	0.8839455652835935	0.4	2	0.5	5	0.45	9.0	0.38	19.0	0.2604166666666667	25	1.0	True		
