benchmark_family	method_name	method_family	method_role	uses_public_pretraining	training_overlap_audited	clean_comparator_allowed	mean_AUPRC	median_AUPRC	mean_AUROC	mean_top10_precision	mean_top20_precision	mean_ECE	mean_Brier	mean_abstention_rate	n_split_rows	n_total_scored	reviewer_safe_score
clean_neobench_leaderboard	source_balanced_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.8018477297085784	0.945436283259158	0.8684346041324927	0.7886734693877551	0.7446301661997151	0.1185004547209218	0.0884256384439848	0.9161786237915384	70	5305	0.9677323781140372
clean_neobench_leaderboard	pu_weighted_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7856412585510668	0.9282869672048596	0.8273384288327287	0.7786734693877552	0.7446301661997151	0.1299403753005572	0.0938118545182808	0.9161786237915384	70	5305	0.9483819148985622
clean_neobench_leaderboard	source_balanced_plus_pu_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7835661250612553	0.935428178544354	0.842814544733564	0.7801020408163266	0.7460587376282866	0.1274281647560251	0.0925155595139846	0.9161786237915384	70	5305	0.9468437167489182
clean_neobench_leaderboard	W7A_full	classical_biophysical	internal_candidate	False	True	True	0.7105353164970405	0.6657139834439223	0.760384292496489	0.8177083333333334	0.782907196969697	0.2583388533028453	0.2311536466603129	0.7308114958250319	32	886	0.8682430978334227
clean_neobench_leaderboard	W7A_QK_only	qk_fallback	bounded_fallback	False	True	True	0.7185594821534456	0.7047619047619047	0.7431347167244804	0.8020833333333334	0.789157196969697	0.2501888880379391	0.2272991055205062	0.7308114958250319	32	886	0.8539572600163183
clean_neobench_leaderboard	W7B_stacked	ensemble_or_fusion	internal_candidate	False	True	True	0.6905238146782089	0.6429313251390525	0.7218141665250791	0.8083333333333333	0.779782196969697	0.2251069620054684	0.2149079016054801	0.7308114958250319	32	886	0.8496797851443287
clean_neobench_leaderboard	Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.6055242272347535	0.7420424498048128	0.7899999999999999	0.735250626566416	0.1573594162403874	0.1909593534982951	0.6566127175244798	30	1213	0.8446498858561731
clean_neobench_leaderboard	sourceheld_counterfactual_rf	internal_baseline	internal_candidate	False	True	True	0.6960135224342753	0.8766666666666667	0.7526545886494268	0.7601020408163265	0.7210587376282865	0.2653308668472999	0.1739577590674132	0.9161786237915384	70	5305	0.8415008439128107
clean_neobench_leaderboard	hard_decoy_sequence_only_source_stress	classical_biophysical	internal_candidate	False	True	True	0.6815679940633383	0.8196428571428571	0.8166810132222375	0.7286734693877551	0.7032015947711437	0.2342326116775485	0.165826442200033	0.9161786237915384	70	5305	0.8238794267731345
clean_neobench_leaderboard	Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	True	True	0.6557758318401355	0.7305555555555555	0.7433748057220568	0.7958333333333333	0.773532196969697	0.2344317982906944	0.2231322129414442	0.7308114958250319	32	886	0.8114993186777328
clean_neobench_leaderboard	Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	True	True	0.6547226088365166	0.6812368216659963	0.7117900418327132	0.7927083333333333	0.782907196969697	0.2193157684849198	0.2346034313567379	0.7308114958250319	32	886	0.8113326986546913
clean_neobench_leaderboard	D_positive_class_reweighting	classical_biophysical	internal_candidate	False	True	True	0.6611072491150088	0.8104411764705881	0.7121867703864457	0.7429591836734695	0.7082015947711436	0.2171551280337486	0.1683806049938589	0.9161786237915384	70	5305	0.8079835730463278
clean_neobench_leaderboard	anchor_rf_retrained_cf	internal_baseline	anchor	False	True	True	0.6338654497872817	0.7435897435897436	0.7433649769461703	0.7443877551020408	0.7039158804854294	0.2757104258121499	0.2089841099937251	0.9161786237915384	70	5305	0.7951719582264749
clean_neobench_leaderboard	decoy_focal_positive_pattern	classical_biophysical	internal_candidate	False	True	True	0.6449232670520787	0.7222222222222222	0.7461312277812584	0.6875992063492063	0.6858611995947522	0.2667324431132048	0.2098073789057644	0.8543224747088763	72	7008	0.7757698640105996
clean_neobench_leaderboard	anchor_rf	internal_baseline	anchor	False	True	True	0.6145059707030316	0.6928571428571428	0.6889733923695271	0.7098214285714285	0.6789167551503078	0.2820268271796063	0.209643499857655	0.8543224747088763	72	7008	0.7682675736993567
clean_neobench_leaderboard	Stack_median_E2	ensemble_or_fusion	internal_candidate	False	True	True	0.6129595859237941	0.6085650464522606	0.650252562818221	0.7770833333333333	0.773532196969697	0.212227512713173	0.2422122288218582	0.7308114958250319	32	886	0.7671535013191434
clean_neobench_leaderboard	kNN	classical_biophysical	internal_candidate	False	True	True	0.61054647575326	0.6007936507936508	0.662201689886976	0.7958333333333333	0.781344696969697	0.2317392558323434	0.2476912919307545	0.7308114958250319	32	886	0.7665392168366923
clean_neobench_leaderboard	pu_weighted_rf	classical_biophysical	internal_candidate	False	True	True	0.6170767212758665	0.7345238095238095	0.6756344712048312	0.7472448979591837	0.7110587376282865	0.2607044440225223	0.1981677321380755	0.9161786237915384	70	5305	0.7604552564654511
clean_neobench_leaderboard	E_pu_style_conservative_ranker	classical_biophysical	internal_candidate	False	True	True	0.6140849306469575	0.7397621649450293	0.7212613691488489	0.7343877551020408	0.707487309056858	0.2791739561937449	0.2154725609239848	0.9161786237915384	70	5305	0.7530450860479913
clean_neobench_leaderboard	MultiTask_A_only	classical_biophysical	internal_candidate	False	True	True	0.5977420282156533	0.5055555555555555	0.6123000613412224	0.7955555555555556	0.7555555555555556	0.2551142092116616	0.2540192438447279	0.7123909413197463	30	866	0.7513417184055982
