pod_id	pod_name	desired_status	ssh_ip	ssh_port	ssh_available
r8v801csxxscw0	thca-neo-bayesian-aux	RUNNING	135.84.176.142	20878	True
uvp9i2r9s6l85y	thca-spark-dm-a6000-v4	EXITED			False
ytnsyachant0a4	thca-img-dm1-a6000	RUNNING	194.68.245.88	22105	True
