eval	model	fold	AUROC	AUPRC	ECE	n	held_out	subset	n_pos	split	aggregator
in_domain_5fold	BayesianMLP_seed0	0.0	0.8393343815513625	0.7855319904563617	0.12089520806678931	409					
in_domain_5fold	BayesianMLP_seed0	1.0	0.811637419184589	0.6914428838525091	0.12569681870038896	408					
in_domain_5fold	BayesianMLP_seed0	2.0	0.7801029159519727	0.6934616452091725	0.09789204026809803	408					
in_domain_5fold	BayesianMLP_seed0	3.0	0.7670668953687821	0.6763426456880184	0.08266900187613917	408					
in_domain_5fold	BayesianMLP_seed0	4.0	0.8588995909750627	0.8064221618407594	0.1611224467062629	408					
in_domain_5fold	DeepEnsemble	0.0	0.8490566037735849	0.7907700389961523	0.12306806906001203	409					
in_domain_5fold	DeepEnsemble	1.0	0.8193693099353477	0.70260210154201	0.11584867314234669	408					
in_domain_5fold	DeepEnsemble	2.0	0.7893653516295026	0.7009993209179045	0.09316805715435277	408					
in_domain_5fold	DeepEnsemble	3.0	0.7807890222984563	0.7023625492781711	0.09471666330800338	408					
in_domain_5fold	DeepEnsemble	4.0	0.8545454545454545	0.8003357434959031	0.14249031187272537	408					
cross_source_loso	DeepEnsemble		0.6010455224365219	0.9308442765274467	0.5812802777225577	589	CEDAR				
cross_source_loso	DeepEnsemble		0.6032654792196778	0.32034132213073496	0.14007597855072002	537	NEPdb				
cross_source_loso	DeepEnsemble		0.6653977921583556	0.09993564558615087	0.45502713894055896	605	TESLA_mmc4				
cross_source_loso	DeepEnsemble		0.4959150326797386	0.01532075821139322	0.4442979441294747	310	TESLA_mmc7_validation				
ITSNdb	DeepEnsemble		0.5524193548387096	0.7002121742641034	0.163167417786705	192		ITSNdb_main	124.0		
ITSNdb	DeepEnsemble		0.8008849557522123	0.5845410628019323	0.23316543292598566	119		ITSNdb_Val	6.0		
ITSNdb	DeepEnsemble		0.7761155971100723	0.6744857371198304	0.11139682093425578	311		ITSNdb_combined	130.0		
ITSNdb	DeepEnsemble		0.3956866197183099	0.26890630509349056	0.2409485132225509	103		ITSNdb_no_overlap	32.0		
VenusVaccine	DeepEnsemble		0.7663617171006334	0.6397707830035602	0.48957879879535776	78				ext_venus_test	max_score
VenusVaccine	DeepEnsemble		0.5932441942294159	0.5010376639858022	0.020187782171445012	78				ext_venus_test	mean_score
VenusVaccine	DeepEnsemble		0.772695285010556	0.6178412143463147	0.45950566270412546	78				ext_venus_test	top10_mean
VenusVaccine	DeepEnsemble		0.6558761435608726	0.5307265593674766	0.4109051372760381	78				ext_venus_test	top1pct_mean
VenusVaccine	DeepEnsemble		0.6842827728208648	0.527570919655551	0.45139532058666915	78				ext_venus_valid	max_score
VenusVaccine	DeepEnsemble		0.5072065888812629	0.42887081664533405	0.03594126112950152	78				ext_venus_valid	mean_score
VenusVaccine	DeepEnsemble		0.7371310912834592	0.5908990347617838	0.42411426855967604	78				ext_venus_valid	top10_mean
VenusVaccine	DeepEnsemble		0.5765271105010296	0.4706016514439551	0.37730531585522187	78				ext_venus_valid	top1pct_mean
VenusVaccine	DeepEnsemble		0.7144097222222222	0.5668506993387239	0.47048705969101345	156				both	max_score
VenusVaccine	DeepEnsemble		0.5461805555555556	0.46002269430998266	0.015218637119501083	156				both	mean_score
VenusVaccine	DeepEnsemble		0.7473958333333333	0.5911600311488509	0.4418099656319007	156				both	top10_mean
VenusVaccine	DeepEnsemble		0.6210069444444445	0.499147829229431	0.39410522656563	156				both	top1pct_mean
