q	d	depth	n	p_flip	mean_A	haar_mean_prediction	markov_bound_2d	ratio_obs_to_haar	elapsed_s
4	16	2	2000	0.0005	0.07818483897527473	0.0625	0.125	1.2509574236043957	26.44894003868103
4	16	4	2000	0.003	0.08515742179345188	0.0625	0.125	1.3625187486952302	36.447182178497314
6	64	2	1000	0.0	0.019382907802709258	0.015625	0.03125	1.2405060993733925	13.888960123062134
6	64	4	1000	0.0	0.022004018398969864	0.015625	0.03125	1.4082571775340713	28.030904054641724
8	256	2	400	0.0	0.004633155522718354	0.00390625	0.0078125	1.1860878138158986	6.5487682819366455
8	256	4	400	0.0	0.006007689217303627	0.00390625	0.0078125	1.5379684396297284	13.0182363986969
