q	d	n	p_classical	p_quantum_rand	p_quantum_zz	mean_AC	mean_AQ_rand	mean_AQ_zz	theory_bound	elapsed_s
4	16	1000	0.0	0.0	0.001	0.060471687046865875	0.06392681448901326	0.07926210639930892	3.0517578125e-05	8.777488708496094
6	64	1000	0.0	0.0	0.0	0.01493940784915196	0.01575363934392237	0.020279639145476955	1.0842021724855044e-19	12.80250597000122
8	256	1000	0.0	0.0	0.0	0.004212010891630557	0.003946001836786123	0.005265702111459453	1.727233711018889e-77	17.434377431869507
10	1024	1000	0.0	0.0	0.0	0.0009884294689558983	0.0009832862880856227	0.001279140807992491	1.1125369292536007e-308	22.508753061294556
12	4096	1000	0.0	0.0	0.0	0.0002393094323580243	0.0002415817608379111		0.0	0.49085068702697754
