metric	n	Spearman_rho_vs_HT13	p
TLS_coverage_pct	8	0.38050971707388076	0.35241936229409265
n_TLS_spots	8	0.3192559026492481	0.4408263835229313
CXCL13_mean_log1p	8	0.7142857142857144	0.046528232284167255
CD79A_mean_log1p	8	0.5952380952380953	0.11952980613879269
HLA_DRA_mean_log1p	8	0.9761904761904763	3.314396026200098e-05
HT13_breadth_frac	8	0.9047619047619048	0.002008275505429469
LR_CXCL13_CCR6_rho	8	-0.3571428571428572	0.38512064355625614
LR_CXCL13_CCR7_rho	6	-0.14285714285714288	0.7871720116618076
LR_CD79A_MS4A1_rho	7	0.5	0.2531699951003227
MoranI_HT13_z	8	0.4047619047619048	0.3198886412288163
MoranI_CXCL13	8	-0.023809523809523815	0.9553740118158806
MoranI_TLS_like	2		
DM1_like_mean	8	0.523809523809524	0.1827207505397148
