metric	HIGH_HT_n	HIGH_HT_mean	HIGH_HT_median	LOW_HT_n	LOW_HT_mean	LOW_HT_median	delta_HIGH_minus_LOW_mean	MannWhitney_U	MannWhitney_p
TLS_coverage_pct	4	0.7429547937895459	0.049127978383689506	4	0.08213955131183359	0.04248990864669641	0.6608152424777123	9.0	0.8777822803462348
n_TLS_spots	4	17.25	2.0	4	3.75	2.0	13.5	8.5	1.0
CXCL13_mean_log1p	4	0.018776398239424452	0.004935955977998674	4	0.0018124492635251954	0.0011040830868296325	0.016963948975899257	14.0	0.11428571428571428
CD79A_mean_log1p	4	0.08976626046933234	0.04564420832321048	4	0.02794089657254517	0.03520509973168373	0.06182536389678717	10.0	0.6857142857142857
HLA_DRA_mean_log1p	4	2.072985976934433	2.060830593109131	4	1.2428986579179764	1.2738037705421448	0.8300873190164566	16.0	0.02857142857142857
HT13_breadth_frac	4	0.271908159289596	0.25753192504139066	4	0.12925471916240805	0.1340927557716557	0.14265344012718795	15.0	0.05714285714285714
LR_CXCL13_CCR6_rho	4	-0.4909173210631004	-0.4737453994105809	4	-0.45055858191638387	-0.42131531111569154	-0.040358739146716505	7.0	0.8857142857142857
LR_CXCL13_CCR7_rho	3	-0.6473755232222501	-0.6492794050734156	3	-0.4458114698713361	-0.4546670392158597	-0.20156405335091404	3.0	0.7
LR_CD79A_MS4A1_rho	3	-0.42365701454422955	-0.5596544027735085	4	-0.6020918716753427	-0.6072076370808419	0.17843485713111318	8.0	0.6285714285714286
MoranI_HT13_z	4	0.3816347752257607	0.3479706093730123	4	0.3290212973834852	0.3275751687836763	0.05261347784227555	9.0	0.8857142857142857
MoranI_CXCL13	4	0.06500587872711573	-0.0013306748571868675	4	0.009065889374472058	-0.0003689743718265422	0.055939989352643674	6.0	0.6857142857142857
MoranI_TLS_like	1	0.427052040661508	0.427052040661508	1	0.08865233915178423	0.08865233915178423	0.33839970150972376		
DM1_like_mean	4	1.2829352025178764e-08	1.4419868854531614e-08	4	-2.1988268261718957e-08	-1.2478795330395087e-08	3.481762028689772e-08	14.0	0.11428571428571428
