endpoint	var	n	n_events	n_var_pos	HR	HR_lo	HR_hi	p	model
PFI	any_classI_nonsilent	415	21	1					skipped (low events)
PFI	any_classI_lof	415	21	0					skipped (low events)
DSS	any_classI_nonsilent	409	1	1					skipped (low events)
DSS	any_classI_lof	409	1	0					skipped (low events)
OS	any_classI_nonsilent	415	9	1					skipped (low events)
OS	any_classI_lof	415	9	0					skipped (low events)
