classifier	cancer	theta	se	lower	upper	m_value
LogReg_l2	THCA	0.493998	0.0787042	0.339738	0.648258	0.500236
LogReg_l2	SKCM	0	0.0001	-0.000196	0.000196	0.187823
LogReg_l2	LGG	0	0.0001	-0.000196	0.000196	0.187823
LogReg_l2	LUAD	0	0.00745536	-0.0146125	0.0146125	0.499603
LogReg_l2	COAD	0	0.0001	-0.000196	0.000196	0.187823
RandomForest	THCA	0.3235	0.0787042	0.16924	0.47776	0.500038
RandomForest	SKCM	0	0.0001	-0.000196	0.000196	0.268177
RandomForest	LGG	0	0.0001	-0.000196	0.000196	0.268177
RandomForest	LUAD	0	0.00745536	-0.0146125	0.0146125	0.499855
RandomForest	COAD	0	0.0001	-0.000196	0.000196	0.268177
XGBoost	THCA	0.0132894	0.0787042	-0.140971	0.16755	0.5
XGBoost	SKCM	0	0.0001	-0.000196	0.000196	0.5
XGBoost	LGG	0	0.0001	-0.000196	0.000196	0.5
XGBoost	LUAD	0	0.00745536	-0.0146125	0.0146125	0.5
XGBoost	COAD	0	0.0001	-0.000196	0.000196	0.5
LogReg_elasticnet	THCA	0.492174	0.0787042	0.337913	0.646434	0.500232
LogReg_elasticnet	SKCM	0	0.0001	-0.000196	0.000196	0.188418
LogReg_elasticnet	LGG	0	0.0001	-0.000196	0.000196	0.188418
LogReg_elasticnet	LUAD	0	0.00745536	-0.0146125	0.0146125	0.499606
LogReg_elasticnet	COAD	0	0.0001	-0.000196	0.000196	0.188418
GradientBoosting	THCA	0.33381	0.0787042	0.17955	0.488071	0.500855
GradientBoosting	SKCM	0	0.0001	-0.000196	0.000196	0.172978
GradientBoosting	LGG	0	0.0001	-0.000196	0.000196	0.172978
GradientBoosting	LUAD	0.0401878	0.00745536	0.0255753	0.0548003	0.523948
GradientBoosting	COAD	0	0.0001	-0.000196	0.000196	0.172978
