cohort_A	cohort_B	class	n_A	n_B	KS_stat	KS_pvalue	interpretation
GSE27155	TCGA-THCA	BRAF	28	293	1.0	1.3480491946789506e-40	hidden_heterogeneity
GSE27155	TCGA-THCA	RAS	13	58	1.0	3.4420606228833344e-14	hidden_heterogeneity
